Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
塞里奥 ;6043;ITA;1940;1990;1990;1990;3;3;0;1;0;4;0;L6043;1940;1999;x
科皮 ;6044;ITA;1938;1990;1990;1990;3;3;128;1;0;3;0;L6044;1938;1999;x
塞伊 ;6045;ITA;1930;1930;1990;1990;2;4;514;1;0;4;0;L6045;1930;1939;x
西加拉·弗尔高斯 ;6046;ITA;1941;1990;1990;1990;3;4;128;2;0;5;0;L6046;1941;1999;x
克莱里西 ;6047;ITA;1930;1930;1990;1990;2;3;514;1;0;3;0;L6047;1930;1939;x
科纳 ;6048;ITA;1930;1939;1990;1990;2;3;0;1;0;4;0;L6048;1930;1941;x
科特罗内伊 ;6049;ITA;1940;1990;1990;1990;3;3;0;1;0;3;0;L6049;1940;1999;x
克雷 ;6050;ITA;1940;1990;1990;1990;3;4;264;2;0;5;0;L6050;1940;1943;x
达尔·奥拉 ;6051;ITA;1930;1930;1990;1990;2;4;129;1;0;4;0;L6051;1930;1940;x
达尔马佐 ;6052;ITA;1930;1939;1990;1990;2;4;4;2;0;3;0;L6052;1930;1999;x
达皮诺 ;6053;ITA;1942;1990;1990;1990;3;4;129;1;0;4;0;L6053;1942;1999;x
德·博诺 ;6054;ITA;1930;1930;1930;1930;0;4;515;2;0;2;0;L6054;1930;1999;x
德·卡罗里斯 ;6055;ITA;1941;1990;1990;1990;3;5;68;2;0;4;0;L6055;1941;1999;x
德·卡斯提格利昂尼 ;6056;ITA;1940;1945;1990;1990;3;5;256;3;0;5;0;L6056;1940;1999;x
德·奇亚 ;6057;ITA;1940;1990;1990;1990;3;4;264;2;0;5;0;L6057;1940;1999;x
德·西蒙尼 ;6058;ITA;1939;1940;1990;1990;2;4;128;2;0;5;0;L6058;1939;1999;x
德·斯特尼斯 ;6059;ITA;1930;1940;1990;1990;2;5;132;2;0;3;0;L6059;1930;1999;x
德·韦基·迪·瓦尔·西斯蒙 ;6060;ITA;1943;1990;1990;1990;3;3;514;1;0;4;0;L6060;1943;1999;x
迪·哈维特 ;6061;ITA;1939;1940;1990;1990;3;4;258;1;0;4;0;L6061;1939;1999;x
迪·尼西奥 ;6062;ITA;1941;1990;1990;1990;3;4;257;1;0;4;0;L6062;1941;1999;x
杜·庞特 ;6063;ITA;1941;1990;1990;1990;3;3;64;1;0;4;0;L6063;1941;1999;x
埃米利奥 ;6064;ITA;1938;1990;1990;1990;3;5;256;2;0;2;0;L6064;1938;1942;x
埃斯珀斯托 ;6065;ITA;1930;1990;1990;1990;2;6;265;2;0;3;0;L6065;1930;1999;x
费尔梅 ;6066;ITA;1945;1990;1990;1990;3;4;32;2;0;4;0;L6066;1945;1999;x
费拉里·奥尔西 ;6067;ITA;1930;1940;1990;1990;2;4;4;2;0;4;0;L6067;1930;1942;x
菲利贝托·杜卡·迪·皮斯托亚 ;6068;ITA;1930;1930;1938;1990;1;2;0;0;0;3;0;L6068;1930;1999;x
弗朗哥 ;6069;ITA;1942;1990;1990;1990;3;3;8;1;0;5;0;L6069;1942;1999;x
弗兰佐西 ;6070;ITA;1939;1990;1990;1990;3;4;256;1;0;4;0;L6070;1939;1999;x
弗拉蒂尼 ;6071;ITA;1930;1942;1990;1990;2;7;800;3;0;5;0;L6071;1930;1999;x
弗里西奥内 ;6072;ITA;1941;1990;1990;1990;2;3;1;1;0;3;0;L6072;1941;1999;x
弗鲁希 ;6073;ITA;1930;1938;1990;1990;3;4;0;1;0;3;0;L6073;1930;1999;x
甘巴拉 ;6074;ITA;1930;1930;1942;1990;2;6;9;3;0;5;0;L6074;1930;1999;x
加姆贝利 ;6075;ITA;1930;1930;1990;1990;2;4;515;1;0;4;0;L6075;1930;1942;x
甘蒂恩 ;6076;ITA;1930;1990;1990;1990;3;3;9;1;0;4;0;L6076;1930;1999;x
加利波尔蒂 ;6077;ITA;1930;1938;1939;1990;1;5;513;2;0;2;0;L6077;1930;1999;x
杰洛索 ;6078;ITA;1930;1930;1939;1990;1;3;0;1;0;3;0;L6078;1930;1999;x
格尔兹 ;6079;ITA;1942;1990;1990;1990;3;5;3;2;0;4;0;L6079;1942;1999;x
吉奥达 ;6080;ITA;1930;1941;1990;1990;2;3;1;1;0;5;0;L6080;1930;1999;x
吉奥瓦内利 ;6081;ITA;1940;1990;1990;1990;3;3;0;0;0;5;0;L6081;1940;1999;x
贡扎加·德尔·沃迪斯 ;6082;ITA;1930;1930;1990;1990;2;4;578;2;0;5;0;L6082;1930;1939;x
格拉塔罗拉 ;6083;ITA;1939;1990;1990;1990;2;5;515;1;0;4;0;L6083;1939;1999;x
格拉齐亚尼 ;6084;ITA;1930;1930;1930;1937;0;7;645;3;0;5;0;L6084;1930;1999;x
格拉齐奥利 ;6085;ITA;1930;1930;1930;1990;1;3;513;1;0;4;0;L6085;1930;1999;x
格罗西 ;6086;ITA;1930;1930;1930;1990;1;5;513;2;0;4;0;L6086;1930;1941;x
盖伊 ;6087;ITA;1942;1990;1990;1990;3;3;0;1;0;2;0;L6087;1942;1999;x
古佐尼 ;6088;ITA;1930;1930;1930;1990;1;7;257;3;0;3;0;L6088;1930;1999;x
莱昂内 ;6089;ITA;1944;1990;1990;1990;3;2;1;0;0;5;0;L6089;1944;1999;x
利希·F. ;6090;ITA;1930;1930;1939;1990;1;5;4;2;0;4;0;L6090;1930;1999;x
利希·Fr. ;6091;ITA;1946;1990;1990;1990;3;3;64;1;0;5;0;L6091;1946;1999;x
洛伦泽利 ;6092;ITA;1940;1990;1990;1990;3;4;256;2;0;4;0;L6092;1940;1942;x
洛伦齐尼 ;6093;ITA;1937;1990;1990;1990;3;3;0;1;0;4;0;L6093;1937;1941;x
马格里 ;6094;ITA;1939;1990;1990;1990;3;4;128;2;0;4;0;L6094;1939;1999;x
马莱蒂 ;6095;ITA;1938;1990;1990;1990;3;3;0;0;0;4;0;L6095;1938;1940;x
曼奇内利 ;6096;ITA;1937;1943;1990;1990;2;4;1;2;0;2;0;L6096;1937;1999;x
马尔吉诺蒂 ;6097;ITA;1939;1942;1990;1990;2;4;515;1;0;5;0;L6097;1939;1999;x
马里内蒂 ;6098;ITA;1930;1930;1930;1990;1;3;514;1;0;4;0;L6098;1930;1941;x
马拉斯 ;6099;ITA;1930;1939;1990;1990;2;4;4;2;0;5;0;L6099;1930;1999;x
马蒂纳 ;6100;ITA;1940;1990;1990;1990;3;5;776;2;0;5;0;L6100;1940;1999;x
马西纳 ;6101;ITA;1940;1990;1990;1990;3;3;1;1;0;4;0;L6101;1940;1999;x
乔瓦尼·梅塞;6102;ITA;1930;1938;1940;1943;1;8;131;4;0;5;0;L6102;1930;1999;x
莫伊佐 ;6103;ITA;1930;1930;1990;1990;1;4;515;2;0;4;0;L6103;1930;1999;x
莫里梅罗 ;6104;ITA;1943;1990;1990;1990;3;4;641;1;0;4;0;L6104;1943;1999;x
莫利纳里 ;6105;ITA;1938;1990;1990;1990;3;3;0;0;0;4;0;L6105;1938;1999;x
蒙特姆罗 ;6106;ITA;1938;1990;1990;1990;3;3;32;1;0;5;0;L6106;1938;1941;x
纳瓦拉·韦贾尼 ;6107;ITA;1942;1990;1990;1990;3;3;0;1;0;5;0;L6107;1942;1999;x
纳斯 ;6108;ITA;1930;1930;1930;1990;1;3;1;1;0;5;0;L6108;1930;1999;x
内格罗 ;6109;ITA;1930;1990;1990;1990;3;3;0;0;0;4;0;L6109;1930;1940;x
尼古里尼 ;6110;ITA;1930;1939;1990;1990;2;4;517;2;0;4;0;L6110;1930;1942;x
奥兰多 ;6111;ITA;1940;1942;1990;1990;2;5;0;2;0;3;0;L6111;1940;1999;x
帕里亚尼 ;6112;ITA;1930;1930;1930;1990;1;5;513;2;0;5;0;L6112;1930;1999;x
佩利格拉 ;6113;ITA;1930;1942;1990;1990;2;4;0;1;0;2;0;L6113;1930;1999;x
帕鲁基 ;6114;ITA;1939;1990;1990;1990;3;3;256;1;0;4;0;L6114;1939;1999;x
佩斯卡托里 ;6115;ITA;1938;1990;1990;1990;3;5;3;2;0;4;0;L6115;1938;1940;x
皮亚洛尔西 ;6116;ITA;1940;1945;1990;1990;3;4;0;2;0;3;0;L6116;1940;1999;x
平托尔 ;6117;ITA;1930;1930;1930;1990;1;5;4;2;0;5;0;L6117;1930;1940;x
皮尔齐奥·比罗利 ;6118;ITA;1930;1930;1941;1990;1;4;529;2;0;5;0;L6118;1930;1999;x
皮塔古拉 ;6119;ITA;1940;1990;1990;1990;3;3;0;1;0;4;0;L6119;1940;1942;x
波尔奇纳里 ;6120;ITA;1941;1990;1990;1990;3;4;0;2;0;4;0;L6120;1941;1999;x
拉斯特雷利 ;6121;ITA;1930;1990;1990;1990;3;3;0;1;0;5;0;L6121;1930;1999;x
雷韦尔贝里 ;6122;ITA;1930;1939;1990;1990;2;3;256;1;0;4;0;L6122;1930;1999;x
里卡诺 ;6123;ITA;1937;1941;1990;1990;2;5;264;2;0;5;0;L6123;1937;1999;x
瑞奇·R. ;6124;ITA;1930;1990;1990;1990;3;3;0;0;0;5;0;L6124;1930;1999;x
瑞奇·U. ;6125;ITA;1945;1990;1990;1990;3;3;0;0;0;3;0;L6125;1945;1999;x
罗阿塔 ;6126;ITA;1930;1930;1990;1990;2;8;1;3;0;5;0;L6126;1930;1999;x
罗梅罗 ;6127;ITA;1930;1940;1990;1990;2;3;0;1;0;4;0;L6127;1930;1999;x
罗西·A. ;6128;ITA;1937;1938;1990;1990;2;5;64;2;0;4;0;L6128;1937;1999;x
罗西·R. ;6129;ITA;1930;1939;1943;1990;2;3;0;2;0;3;0;L6129;1930;1999;x
萨拉 ;6130;ITA;1942;1990;1990;1990;3;6;256;3;0;5;0;L6130;1942;1999;x
斯卡蒂尼 ;6131;ITA;1930;1942;1990;1990;2;5;256;3;0;4;0;L6131;1930;1999;x
斯科蒂 ;6132;ITA;1941;1990;1990;1990;3;4;515;1;0;4;0;L6132;1941;1999;x
索杜 ;6133;ITA;1930;1930;1930;1990;0;2;0;0;0;5;0;L6133;1930;1999;x
斯特里波利 ;6134;ITA;1943;1990;1990;1990;3;3;256;1;0;5;0;L6134;1943;1999;x
塔尔塔利亚 ;6135;ITA;1945;1990;1990;1990;3;4;4;1;0;3;0;L6135;1945;1999;x
泰尔齐亚尼 ;6136;ITA;1939;1941;1990;1990;2;3;2;1;0;4;0;L6136;1939;1999;x
托尼 ;6137;ITA;1930;1930;1990;1990;2;5;576;2;0;4;0;L6137;1930;1939;x
特雷扎尼 ;6138;ITA;1930;1938;1945;1990;1;5;4;2;0;4;0;L6138;1930;1999;x
特里科利 ;6139;ITA;1940;1990;1990;1990;3;3;64;1;0;4;0;L6139;1940;1999;x
恩贝托·普林西佩·迪·皮耶蒙特 ;6140;ITA;1930;1930;1930;1942;0;3;0;1;0;3;0;L6140;1930;1999;x
乌蒂利 ;6141;ITA;1939;1944;1990;1990;2;5;4;2;0;2;0;L6141;1939;1999;x
瓦卡·马吉奥里尼 ;6142;ITA;1930;1930;1930;1990;1;3;514;1;0;5;0;L6142;1930;1942;x
韦基亚雷利 ;6143;ITA;1930;1939;1990;1990;2;5;384;2;0;4;0;L6143;1930;1999;x
韦尔切利诺 ;6144;ITA;1930;1930;1930;1990;1;5;5;2;0;4;0;L6144;1930;1999;x
凡尔纳 ;6145;ITA;1939;1944;1990;1990;2;4;5;1;0;5;0;L6145;1939;1999;x
维斯康蒂·普拉斯卡 ;6146;ITA;1930;1930;1941;1990;1;4;0;2;0;5;0;L6146;1930;1999;x
维瓦尔迪 ;6147;ITA;1942;1990;1990;1990;3;3;256;1;0;3;0;L6147;1942;1999;x
沃尔皮尼 ;6148;ITA;1930;1990;1990;1990;2;3;0;1;0;5;0;L6148;1930;1941;x
津科内 ;6149;ITA;1930;1990;1990;1990;3;3;0;1;0;5;0;L6149;1930;1940;x
津加莱斯 ;6150;ITA;1930;1930;1990;1990;2;6;133;2;0;4;0;L6150;1930;1999;x
埃蒙尼·迪·萨沃亚·奥斯塔 ;6151;ITA;1930;1930;1930;1990;1;2;1024;0;0;4;1;L6151;1930;1999;x
巴尔萨莫 ;6152;ITA;1939;1944;1990;1990;3;4;0;2;0;4;1;L6152;1939;1999;x
贝尔加米尼 ;6153;ITA;1938;1939;1941;1943;2;5;4096;2;0;4;1;L6153;1938;1999;x
比安切里 ;6154;ITA;1930;1990;1990;1990;3;3;0;1;0;4;1;L6154;1930;1941;x
比利沃恩斯 ;6155;ITA;1930;1939;1990;1990;3;4;4096;1;0;4;1;L6155;1930;1999;x
卡西奥波 ;6156;ITA;1939;1943;1990;1990;2;4;0;1;0;4;1;L6156;1939;1999;x
坎皮奥尼·A·D. ;6157;ITA;1930;1930;1939;1945;1;6;12288;3;0;3;1;L6157;1930;1999;x
坎皮奥尼·I. ;6158;ITA;1937;1941;1990;1990;2;6;4096;2;0;5;1;L6158;1937;1999;x
卡塔尼奥 ;6159;ITA;1930;1990;1990;1990;3;3;0;1;0;4;1;L6159;1930;1941;x
卡瓦尼亚利 ;6160;ITA;1930;1930;1990;1990;0;6;4608;3;0;5;1;L6160;1930;1942;x
奇亚诺 ;6161;ITA;1930;1938;1943;1990;1;3;0;2;0;4;1;L6161;1930;1999;x
达·扎拉 ;6162;ITA;1939;1941;1990;1990;3;6;4096;3;0;5;1;L6162;1939;1999;x
邓兹·阿玛瑞蒂 ;6163;ITA;1930;1930;1930;1990;1;7;12288;3;0;4;1;L6163;1930;1999;x
迪·科萨塔 ;6164;ITA;1941;1990;1990;1990;3;3;1024;1;0;4;1;L6164;1941;1999;x
德·科尔登 ;6165;ITA;1938;1941;1990;1990;2;3;0;1;0;3;1;L6165;1938;1999;x
德·劳伦蒂斯 ;6166;ITA;1940;1945;1990;1990;3;4;0;2;0;5;1;L6166;1940;1999;x
德·马蒂诺 ;6167;ITA;1939;1990;1990;1990;3;3;0;1;0;5;1;L6167;1939;1942;x
费迪南多·迪·萨沃亚 ;6168;ITA;1930;1930;1930;1990;1;2;0;0;0;4;1;L6168;1930;1999;x
菲奥伦兹韦拉 ;6169;ITA;1945;1990;1990;1990;3;5;0;2;0;5;1;L6169;1945;1999;x
加莱蒂 ;6170;ITA;1930;1990;1990;1990;3;4;0;1;0;4;1;L6170;1930;1999;x
加斯帕里 ;6171;ITA;1938;1990;1990;1990;3;3;0;1;0;4;1;L6171;1938;1999;x
加维埃里 ;6172;ITA;1945;1990;1990;1990;3;3;0;1;0;4;1;L6172;1945;1999;x
加扎纳 ;6173;ITA;1942;1990;1990;1990;3;3;1024;0;0;5;1;L6173;1942;1999;x
盖 ;6174;ITA;1930;1930;1930;1990;1;6;4608;1;0;4;1;L6174;1930;1941;x
伊亚基诺 ;6175;ITA;1930;1930;1939;1990;1;6;12288;3;0;3;1;L6175;1930;1999;x
因特里托 ;6176;ITA;1930;1990;1990;1990;3;3;0;1;0;4;1;L6176;1930;1940;x
隆巴尔蒂 ;6177;ITA;1944;1946;1990;1990;3;5;0;2;0;3;1;L6177;1944;1999;x
马蒂嫩戈 ;6178;ITA;1938;1990;1990;1990;3;4;4096;1;0;4;1;L6178;1938;1999;x
马斯切尔帕 ;6179;ITA;1930;1939;1990;1990;2;5;8192;1;0;5;1;L6179;1930;1999;x
米姆波利 ;6180;ITA;1948;1990;1990;1990;3;7;1024;3;0;5;1;L6180;1948;1999;x
奥里瓦 ;6181;ITA;1930;1930;1990;1990;2;3;8704;1;0;3;1;L6181;1930;1999;x
帕拉蒂诺 ;6182;ITA;1939;1943;1990;1990;2;5;0;2;0;4;1;L6182;1939;1999;x
帕罗纳 ;6183;ITA;1941;1990;1990;1990;3;3;0;1;0;3;1;L6183;1945;1999;x
奎利奇 ;6184;ITA;1930;1939;1943;1990;1;4;2048;2;0;5;1;L6184;1930;1999;x
拉法埃利 ;6185;ITA;1938;1942;1945;1990;1;4;0;2;0;3;1;L6185;1938;1999;x
里卡尔迪 ;6186;ITA;1930;1930;1941;1990;3;6;8704;2;0;3;1;L6186;1930;1999;x
里佐 ;6187;ITA;1937;1990;1990;1990;3;3;0;1;0;4;1;L6187;1937;1999;x
塔昂·迪·雷韦尔 ;6188;ITA;1930;1930;1930;1946;0;4;8704;1;0;5;1;L6188;1930;1999;x
托里西 ;6189;ITA;1945;1990;1990;1990;3;3;0;1;0;5;1;L6189;1945;1999;x
托斯卡纳 ;6190;ITA;1930;1930;1990;1990;2;4;0;1;0;4;1;L6190;1930;1941;x
蒂尔 ;6191;ITA;1940;1990;1990;1990;3;3;0;0;0;4;1;L6191;1940;1999;x
瓦萨雷拉 ;6192;ITA;1940;1990;1990;1990;3;3;0;0;0;5;1;L6192;1940;1999;x
阿杰莫尼 ;6193;ITA;1930;1939;1990;1990;2;3;0;1;0;3;2;L6193;1930;1999;x
巴尔博 ;6194;ITA;1930;1930;1930;1930;0;7;131072;3;0;5;2;L6194;1930;1999;x
贝尔纳斯科尼 ;6195;ITA;1937;1990;1990;1990;3;3;0;1;0;5;2;L6195;1937;1999;x
比安奇 ;6196;ITA;1939;1941;1990;1990;2;5;0;2;0;5;2;L6196;1939;1999;x
比塞奥 ;6197;ITA;1930;1990;1990;1990;3;3;0;0;0;4;2;L6197;1930;1942;x
博托 ;6198;ITA;1942;1946;1990;1990;3;5;0;2;0;5;2;L6198;1942;1999;x
布雷甘迪 ;6199;ITA;1930;1930;1990;1990;2;5;131072;1;0;4;2;L6199;1930;1999;x
布斯卡利亚 ;6200;ITA;1937;1990;1990;1990;3;5;131072;1;0;4;2;L6200;1937;1942;x
卡尼亚 ;6201;ITA;1930;1990;1990;1990;3;3;0;1;0;4;2;L6201;1930;1999;x
塞鲁蒂 ;6202;ITA;1942;1990;1990;1990;3;4;0;2;0;4;2;L6202;1942;1999;x
康蒂 ;6203;ITA;1943;1945;1990;1990;2;5;4096;2;0;4;2;L6203;1943;1999;x
科尔兹 ;6204;ITA;1930;1930;1939;1990;1;3;0;1;0;5;2;L6204;1930;1999;x
克瑞米 ;6205;ITA;1945;1990;1990;1990;3;4;0;1;0;5;2;L6205;1945;1999;x
迪·费罗 ;6206;ITA;1938;1943;1990;1990;3;5;131072;2;0;3;2;L6206;1938;1999;x
迪·蒙特格纳科 ;6207;ITA;1942;1990;1990;1990;3;4;0;1;0;4;2;L6207;1942;1999;x
法格吉奥尼 ;6208;ITA;1942;1990;1990;1990;3;5;16384;2;0;5;2;L6208;1942;1999;x
弗吉尔 ;6209;ITA;1930;1938;1940;1990;1;7;24576;3;0;4;2;L6209;1930;1999;x
加蒙迪 ;6210;ITA;1930;1940;1990;1990;2;3;0;1;0;4;2;L6210;1930;1942;x
格拉齐亚尼·朱利奥 ;6211;ITA;1940;1990;1990;1990;3;5;131072;1;0;4;2;L6211;1940;1999;x
伊拉里 ;6212;ITA;1940;1945;1990;1990;3;3;0;1;0;4;2;L6212;1940;1999;x
克林格尔 ;6213;ITA;1939;1990;1990;1990;3;3;0;1;0;4;2;L6213;1939;1942;x
里奥塔 ;6214;ITA;1940;1990;1990;1990;3;3;0;1;0;4;2;L6214;1940;1999;x
朗格 ;6215;ITA;1930;1939;1990;1990;2;5;0;2;0;4;2;L6215;1930;1999;x
卢奇尼 ;6216;ITA;1938;1990;1990;1990;3;5;4096;2;0;5;2;L6216;1938;1941;x
马尔基 ;6217;ITA;1942;1990;1990;1990;3;5;4096;2;0;5;2;L6217;1942;1999;x
梅科齐 ;6218;ITA;1937;1939;1990;1990;2;5;16384;2;0;1;2;L6218;1937;1999;x
南尼尼 ;6219;ITA;1930;1938;1990;1990;2;3;0;1;0;4;2;L6219;1930;1942;x
帕帕莱奥 ;6220;ITA;1930;1930;1990;1990;2;3;0;1;0;5;2;L6220;1930;1940;x
佩莱格里尼 ;6221;ITA;1938;1942;1945;1990;2;4;0;2;0;4;2;L6221;1938;1999;x
佩齐 ;6222;ITA;1938;1990;1990;1990;3;3;0;1;0;4;2;L6222;1938;1942;x
皮亚琴蒂尼 ;6223;ITA;1930;1990;1990;1990;3;4;131072;1;0;4;2;L6223;1930;1941;x
波利 ;6224;ITA;1938;1942;1946;1990;2;5;131072;2;0;3;2;L6224;1938;1999;x
波罗 ;6225;ITA;1930;1942;1990;1990;2;3;33280;1;0;4;2;L6225;1930;1999;x
普里科洛 ;6226;ITA;1930;1930;1930;1990;1;6;4096;2;0;5;2;L6226;1930;1941;x
兰扎 ;6227;ITA;1930;1990;1990;1990;3;3;0;1;0;4;2;L6227;1930;1942;x
雷扎 ;6228;ITA;1930;1938;1990;1990;2;3;0;1;0;5;2;L6228;1930;1941;x
里奇 ;6229;ITA;1930;1930;1990;1990;2;6;131072;3;0;5;2;L6229;1930;1999;x
罗马尼奥利 ;6230;ITA;1939;1990;1990;1990;3;5;4096;2;0;4;2;L6230;1939;1942;x
桑达利 ;6231;ITA;1930;1930;1940;1990;1;5;16384;2;0;3;2;L6231;1930;1999;x
桑蒂尼 ;6232;ITA;1930;1930;1941;1990;1;4;0;2;0;3;2;L6232;1930;1999;x
桑托罗 ;6233;ITA;1938;1990;1990;1990;3;3;0;0;0;4;2;L6233;1938;1999;x
席尔维斯特里  ;6234;ITA;1939;1945;1990;1990;2;5;65536;2;0;4;2;L6276;1939;1999;x
索弗里蒂 ;6235;ITA;1930;1930;1990;1990;2;3;0;1;0;4;2;L6235;1930;1939;x
乌尔巴尼 ;6236;ITA;1941;1944;1945;1990;1;5;0;2;0;3;2;L6236;1941;1999;x
维斯康蒂 ;6237;ITA;1942;1990;1990;1990;3;6;4096;3;0;5;2;L6237;1942;1999;x
维森蒂尼 ;6238;ITA;1930;1990;1990;1990;3;4;0;2;0;5;2;L6238;1930;1999;x
拉·费拉 ;6239;ITA;1930;1990;1990;1990;3;6;5;2;0;5;0;L6239;1930;1999;x
乔治斯 ;6240;ITA;1930;1990;1990;1990;3;5;2;0;0;5;0;L6240;1930;1943;x
乔治斯 ;6241;ITA;1930;1990;1990;1990;3;5;0;2;0;5;1;L6240;1930;1943;x
普廖雷 ;6242;ITA;1939;1941;1990;1990;2;5;4;1;0;5;0;L6242;1939;1999;x
贝托斯 ;6243;ITA;1930;1943;1990;1990;3;5;514;2;0;5;0;L6243;1930;1999;x
阿尔利诺·泰斯特罗 ;6244;ITA;1930;1990;1990;1990;3;6;133;2;0;5;0;L6244;1930;1943;x
艾莫尼诺 ;6245;ITA;1930;1930;1990;1990;2;4;1;2;0;5;0;L6245;1930;1999;x
贝纳蒂 ;6246;ITA;1930;1930;1990;1990;2;5;576;2;0;5;0;L6246;1930;1939;x
卡尔卡尼奥 ;6247;ITA;1930;1939;1990;1990;2;4;515;1;0;5;0;L6247;1930;1999;x
