Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x 
宋先 ;543037;IDC;1930;1940;1990;1990;2;5;16;1;0;5;0;M541051;1930;1999;1999;x
梭发那 ;543038;IDC;1938;1944;1990;1990;2;2;0;1;0;5;0;M540009;1938;1999;1999;x
滔博寿 ;543039;IDC;1945;1990;1990;1990;3;2;0;0;0;5;0;L542032;1945;1999;1999;x
永禄 ;543040;IDC;1944;1990;1990;1990;3;2;1;0;0;5;0;L542034;1944;1999;1999;x
武元甲 ;543041;IDC;1930;1939;1942;1990;1;7;20;3;0;5;0;L542035;1930;1999;1999;x
旺文同 ;543042;IDC;1945;1990;1990;1990;3;2;256;0;0;5;0;L542036;1945;1999;1999;x
安水高 ;543043;IDC;1945;1990;1990;1990;3;2;1024;0;0;5;1;L542037;1945;1999;1999;x
阿派 ;543044;IDC;1938;1990;1990;1990;3;2;0;0;0;5;1;M540034;1938;1999;1999;x
胡丹权 ;543045;IDC;1941;1946;1990;1990;2;3;1024;1;0;5;1;M542051;1941;1999;1999;x
希永 ;543046;IDC;1939;1990;1990;1990;3;2;8192;0;0;5;1;M541041;1939;1999;1999;x
黎军 ;543047;IDC;1938;1944;1990;1990;2;3;8192;1;0;5;1;M542042;1938;1999;1999;x
阮成智 ;543048;IDC;1943;1990;1990;1990;3;2;2048;0;0;5;1;L542043;1943;1999;1999;x
诺罗敦·西哈努克 ;543049;IDC;1930;1930;1990;1990;2;2;0;0;0;5;1;M541054;1941;1999;1999;x
苏发努 ;543050;IDC;1939;1990;1990;1990;3;2;0;0;0;5;1;M540041;1939;1999;1999;x
梭发那 ;543051;IDC;1930;1944;1990;1990;2;2;0;1;0;5;1;M540009;1938;1999;1999;x
庄敦督 ;543052;IDC;1945;1990;1990;1990;3;2;0;0;0;5;1;M542052;1945;1999;1999;x
奔 ;543053;IDC;1930;1930;1990;1990;2;2;16384;1;0;5;2;M540010;1930;1999;1999;x
阮友寿 ;543054;IDC;1930;1930;1990;1990;2;2;4096;0;0;5;2;M542055;1930;1999;1999;x
诺罗敦·西哈努克 ;543055;IDC;1930;1930;1990;1990;2;2;32768;0;0;5;2;M541058;1942;1999;1999;x
萨索里 ;543056;IDC;1941;1990;1990;1990;3;2;4096;0;0;5;2;L540021;1941;1999;1999;x
