Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
绫部 橘树;1250033;U87;1938;1940;1990;1990;2;6;0;3;0;5;0;L101016;1938;1990;x
长勇;1250034;U87;1930;1930;1990;1990;2;5;0;2;0;5;0;L101020;1930;1943;x
土肥原;1250035;U87;1930;1937;1940;1990;1;6;1;3;0;5;0;L101021;1930;1990;x
东久迩宫稔彦王;1250037;U87;1930;1930;1930;1941;0;7;4;4;0;5;0;L101038;1930;1944;x
樋口季一郎;1250038;U87;1938;1942;1990;1990;2;6;0;2;0;5;0;L101039;1938;1990;x
本田雅晴;1250039;U87;1938;1940;1990;1990;2;6;3;2;0;5;0;L101043;1938;1990;x
百武晴吉;1250040;U87;1930;1939;1990;1990;2;6;0;3;0;5;0;L101051;1930;1947;x
饭村 穰;1250041;U87;1939;1941;1990;1990;2;6;0;2;0;5;0;L101056;1939;1990;x
今村 均;1250042;U87;1930;1938;1943;1990;2;7;260;3;0;5;0;L101059;1930;1990;x
石原莞尔;1250043;U87;1930;1930;1990;1990;2;6;20;4;0;5;0;L101064;1930;1943;x
板垣征四郎;1250044;U87;1930;1937;1941;1990;1;7;4;3;0;5;0;L101070;1930;1990;x
Kawabe  M.;1250045;U87;1937;1940;1941;1990;1;7;36;4;0;5;0;L101083;1937;1990;x
Kawabe  S.;1250046;U87;1930;1941;1990;1990;2;7;0;2;0;5;0;L101084;1930;1990;x
Kimura  H.;1250047;U87;1930;1939;1945;1990;1;5;256;2;0;5;0;L101093;1930;1990;x
Kita;1250048;U87;1941;1944;1990;1990;2;5;0;2;0;5;0;L101096;1941;1990;x
小矶国昭;1250049;U87;1930;1930;1937;1990;1;6;16;2;0;5;0;L101101;1930;1945;x
小松原 道太郎;1250050;U87;1930;1938;1990;1990;2;4;0;2;0;5;0;L101103;1930;1940;x
上月 良夫;1250051;U87;1937;1942;1946;1990;2;6;0;3;0;5;0;L101106;1937;1990;x
森 赳;1250052;U87;1937;1941;1990;1990;2;5;0;2;0;5;0;L101121;1937;1990;x
牟田口 廉也;1250053;U87;1930;1938;1990;1990;2;4;0;2;0;5;0;L101122;1930;1944;x
武藤章;1250054;U87;1937;1942;1990;1990;2;6;4;2;0;5;0;L101123;1937;1990;x
西尾寿造;1250055;U87;1930;1930;1939;1990;2;6;12;3;0;5;0;L101134;1930;1939;x
岗村宁次;1250056;U87;1930;1930;1940;1990;1;7;4;4;0;5;0;L101141;1930;1990;x
佐藤 幸德;1250057;U87;1937;1943;1990;1990;2;5;0;2;0;5;0;L101153;1937;1990;x
田中静一;1250058;U87;1930;1938;1941;1990;2;7;16;4;0;5;0;L101175;1930;1990;x
寺内寿一;1250059;U87;1930;1930;1930;1943;0;7;4;4;0;5;0;L101179;1930;1946;x
富永 恭次;1250060;U87;1939;1943;1990;1990;2;5;128;2;0;3;0;L101184;1939;1990;x
植田 谦吉;1250061;U87;1930;1930;1930;1990;1;4;4;2;0;5;0;L101191;1930;1939;x
梅津美治郎;1250062;U87;1930;1930;1930;1990;1;6;0;3;0;5;0;L101192;1930;1990;x
山田乙三;1250063;U87;1930;1930;1940;1990;1;7;4;3;0;5;0;L101200;1930;1990;x
横山 勇;1250064;U87;1938;1942;1990;1990;3;6;2;2;0;5;0;L101212;1938;1990;x
吉田 喜八郎;1250065;U87;1942;1945;1990;1990;2;5;0;2;0;5;0;L101214;1942;1990;x
