Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x 
ÒÁÊ²Äª·ò¡¤I. ;521014;KYG;1930;1990;1990;1990;3;2;8;0;0;5;0;L521014;1930;1999;1999;x
ÑÅÅ¬Ê² ;521015;KYG;1930;1990;1990;1990;3;2;32;0;0;5;0;L521015;1930;1999;1999;x
ÓÚ¶û¼ÓÂ³¶û ;521016;KYG;1930;1990;1990;1990;3;2;1;0;0;5;0;L521016;1930;1999;1999;x
¿²ÄÛ¼ªÈû¶û ;521017;KYG;1930;1990;1990;1990;3;3;64;0;0;5;0;L521017;1930;1999;1999;x
¿â°ÍÌØ±´¿Æ·ò ;521018;KYG;1930;1990;1990;1990;3;2;0;0;0;5;0;L521018;1930;1999;1999;x
°ÂË¹ÌØÂü ;521019;KYG;1930;1990;1990;1990;3;1;0;0;0;5;0;L521019;1930;1999;1999;x
²¨²¨·ò ;521020;KYG;1930;1990;1990;1990;3;3;256;0;0;5;0;M521053;1930;1999;1999;x
À×µÂÄá¿Æ·ò ;521021;KYG;1930;1930;1990;1990;2;4;8;1;0;5;0;M521045;1930;1999;1999;x
É³ÂíÒ®·ò ;521022;KYG;1930;1990;1990;1990;3;4;256;0;0;5;0;M521058;1930;1999;1999;x
Ë÷¿ÆÂå·ò ;521023;KYG;1930;1930;1942;1990;2;4;4;2;0;5;0;M521050;1930;1999;1999;x
ËÕËþÀûÅµ·ò ;521024;KYG;1930;1942;1990;1990;2;4;128;1;0;5;0;L521024;1930;1999;1999;x
Ëþ¹þ°ÍÒ®·ò ;521025;KYG;1930;1941;1990;1990;3;3;2;1;0;5;0;M521048;1930;1999;1999;x
ÍÐÂ¬±ðÒ®·ò ;521026;KYG;1930;1990;1990;1990;3;3;256;0;0;5;0;M521052;1930;1999;1999;x
ÌØÁÖ ;521027;KYG;1930;1990;1990;1990;3;2;32;0;0;5;0;L521027;1930;1999;1999;x
ÎÚÀ­×È±ð¿Æ·ò ;521028;KYG;1930;1930;1990;1990;2;2;0;1;0;5;0;M521017;1930;1999;1999;x
·ë¡¤°Í¶à¶û·ò ;521029;KYG;1930;1930;1939;1990;1;4;576;1;0;5;0;M521047;1930;1999;1999;x
·ë¡¤µÏ·Ñ ;521030;KYG;1930;1990;1990;1990;3;4;515;1;0;5;0;L521030;1930;1999;1999;x
·ë¡¤Ë¹ÌØÅËÄá ;521031;KYG;1930;1990;1990;1990;3;2;0;0;0;5;0;L521031;1930;1999;1999;x
ÑÇÇÙ¿Æ ;521032;KYG;1930;1990;1990;1990;3;2;0;0;0;5;0;L521032;1930;1999;1999;x
µÂÀ­ÇÙ¿Æ ;521033;KYG;1930;1930;1990;1990;2;3;1024;1;0;5;1;L500120;1930;1999;1999;x
ºÕÂå²¨·ò ;521034;KYG;1930;1990;1990;1990;3;3;0;0;0;5;1;L10420;1930;1999;1999;x
Ã×ÂÞÅµ·ò ;521035;KYG;1930;1990;1990;1990;3;2;0;0;0;5;1;L10427;1930;1999;1999;x
ÅÁ·òÂåÎ¬Ææ ;521036;KYG;1930;1990;1990;1990;3;2;0;0;0;5;1;L10432;1930;1999;1999;x
À­¶û ;521037;KYG;1930;1942;1990;1990;2;3;0;1;0;5;1;L10438;1930;1999;1999;x
·üÁúÖ¥ ;521038;KYG;1930;1930;1930;1990;1;4;0;2;0;5;2;M521008;1930;1999;1999;x
ÀÊ¸ñÂõ¶û ;521039;KYG;1930;1930;1990;1990;2;3;32768;1;0;5;2;M521059;1930;1999;1999;x
ÂÀÌØ¡¤·ë¡¤¿ÆÂ×±´¸ñ ;521040;KYG;1930;1990;1990;1990;3;3;65536;1;0;5;2;L521040;1930;1999;1999;x
É³ÂíÒ®·ò ;521041;KYG;1930;1990;1990;1990;3;3;16384;0;0;5;2;M521058;1930;1999;1999;x
Ë÷¿ÆÂå·ò ;521042;KYG;1930;1943;1990;1990;3;3;4096;1;0;5;2;M521010;1930;1999;1999;x
·ë¡¤µÂÍß¶û ;521043;KYG;1930;1941;1990;1990;3;3;0;1;0;5;2;L521043;1930;1999;1999;x
·ë¡¤¹þºà±´¸ñ ;521044;KYG;1930;1990;1990;1990;3;3;0;0;0;5;2;L521044;1930;1999;1999;x
