UIR;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
65737;Head of Military Intelligence;斯蒂芬 赫普加利 ;36;NS;Naval Intelligence Specialist;Medium;L1356;x
65738;Chief of Staff;沙 纳瓦兹 汗 ;36;NS;School of Manoeuvre;Very High;M59017;x
65739;Chief of Staff;卡瑞帕 ;36;NS;School of Fire Support;High;M59093;x
65740;Chief of Staff;默翰 斯格 ;36;NS;School of Mass Combat;Very Low;M59028;x
65741;Chief of Staff;阿伊扬加 ;36;NS;School of Defence;High;M59044;x
65742;Chief of Staff;萨达拉 ;36;NS;School of Psychology;Medium;M59092;x
65743;Chief of Army;卡瑞帕 ;36;NS;Elastic Defence Doctrine;Low;M59093;x
65744;Chief of Army;古雷希 ;36;NS;Static Defence Doctrine;Medium;M59040;x
65745;Chief of Army;纳斯鲁拉 胡赛因 ;36;NS;Decisive Battle Doctrine;Medium;M54019;x
65746;Chief of Army;雷纳托 巴尔多鲁奇 ;36;NS;Armoured Spearhead Doctrine;Medium;M54065;x
65747;Chief of Army;拉姆 辛格 塔库 ;36;NS;Guns and Butter Doctrine;Very High;M59099;x
65748;Chief of Navy;沙阿 瓦里 汗 ;36;NS;Open Seas Doctrine;Medium;M54042;x
65749;Chief of Navy;巴斯卡 索曼 ;36;NS;Decisive Naval Battle Doctrine;Medium;M59107;x
65750;Chief of Navy;拉姆 德斯 卡塔瑞 ;36;NS;Power Projection Doctrine;Medium;M59019;x
65751;Chief of Navy;哈宁德 辛格 ;36;NS;Indirect Approach Doctrine;Medium;M59112;x
65752;Chief of Navy;瑞得拉 瑞纳 ;36;NS;Base Control Doctrine;Medium;M75009;x
65753;Chief of Air Force;阿拉加 辛格 维布赫桑 ;36;NS;Air Superiority Doctrine;medium;M59113;x
65754;Chief of Air Force;阿斯皮亚 梅瓦 恩格尼尔 ;36;NS;Naval Aviation Doctrine;medium;M59117;x
65755;Chief of Air Force;梅哈尔 辛格 ;36;NS;Army Aviation Doctrine;medium;M59114;x
65756;Chief of Air Force;拉文德拉 达拉萨 辛格 ;36;NS;Carpet Bombing Doctrine;High;M59118;x
65757;Chief of Air Force;古拉姆 瓦里 ;36;NS;Vertical Envelopment Doctrine;Medium;M54063;x
