SOV;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
4083;Head of State;克莱门特·叶夫罗莫维奇·伏罗希洛夫;43;ST;Insignificant Layman;High;M4008;x
4081;Head of Government;尼基塔·赫鲁晓夫 ;43;ST;Khrushchev;High;M4075;x
4082;Minister of Armament;尼·布哈林 ;38;LE;Administrative Genius;Very High;M4076;x
4077;Minister of Security;谢尔盖·克鲁格洛夫 ;53;ST;Back Stabber;Very High;M4077;x
4078;Chief of Air Force;维克托·阿巴库莫夫 ;46;ST;Naval Aviation Doctrine;Very High;M4078;x
4079;Head of Military Intelligence;谢苗·伊格纳托夫 ;51;ST;Political Specialist;Very High;M4079;x
4080;Head of Military Intelligence;伊万·谢罗夫 ;53;ST;Political Specialist;Very High;M4080;x
4084;Head of State;列昂尼德·勃列日涅夫 ;50;LE;Benevolent Gentleman;High;M4084;x
4085;Head of Government;格奥尔基·马林科夫 ;43;ST;Political Protege;High;M4085;x
4086;Head of Government;尼古拉·布尔加宁 ;45;ST;Old General;High;M4071;x
4087;Foreign Minister;德米特里·谢皮洛夫 ;56;ST;Apologetic Clerk;Medium;M4087;x
4088;Foreign Minister;安德烈·葛罗米柯 ;57;ST;The Cloak N Dagger Schemer;Medium;M4088;x
4089;Minister of Armament;格奥尔基·朱可夫 ;55;ST;Military Entrepreneur;High;M4028;x
4090;Minister of Armament;罗迪安·马利诺夫斯基 ;59;ST;Tank Proponent;High;L10102;x
4091;Minister of Security;尼古拉·杜多罗夫 ;56;ST;Back Stabber;Very High;M4091;x
4093;Head of Military Intelligence;弗拉基米尔 谢米恰斯内 ;61;ST;Dismal Enigma;Very High;M4093;x
