ECU;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
40062;Head of Government;曼努埃尔 伯雷罗 冈萨雷斯 ;38;PA;Political Protege;High;M40044;x
40063;Head of Government;朱利奥 莫雷诺 佩纳赫雷拉 ;40;PA;Old Admiral;High;M40045;x
40064;Head of Government;贝尼格诺 安德拉德 弗洛雷斯 ;41;PA;Old General;High;M40007;x
40065;Head of Government;朱利奥 塞尔姆 加莱戈斯 ;44;SD;Old General;High;M40047;x
40066;Head of Government;卡洛斯 曼切诺 塞加斯 ;47;PA;Smiling Oilman;High;M40048;x
40067;Foreign Minister;恩里克 吉尔 吉尔伯特 ;37;LWR;Great Compromiser;Medium;M40023;x
40068;Foreign Minister;何塞马科斯 韦拉斯科 伊巴拉 ;40;SD;Apologetic Clerk;Medium;M40068;x
40069;Foreign Minister;卡米洛 庞塞 恩里克斯 ;44;SD;Iron Fisted Brute;High;M40034;x
40070;Foreign Minister;胡安 文森特 特鲁希略 ;45;SD;The Cloak N Dagger Schemer;High;M40070;x
40071;Foreign Minister;古斯塔沃 贝塞拉 帕兹 ;47;LWR;Ideological Crusader;Very Low;M40021;x
40072;Foreign Minister;何塞贝尼特斯 阿帕拉西奥 ;39;SL;Iron Fisted Brute;Medium;M40072;x
40074;Foreign Minister;米奎尔 安德拉蒙特 ;40;SL;Apologetic Clerk;Medium;M40074;x
40075;Foreign Minister;安东尼奥 庞斯 坎普扎诺 ;47;SL;The Cloak N Dagger Schemer;Medium;M40037;x
40077;Foreign Minister;拉斐尔 维斯冈内兹 ;41;SC;Iron Fisted Brute;Medium;M40077;x
40078;Foreign Minister;里卡多 奥莱斯波 奥多内兹 ;42;SC;Great Compromiser;Medium;M40078;x
40079;Foreign Minister;弗朗西斯科 加德拉斯 佩雷斯 ;43;SC;Ideological Crusader;Medium;M40079;x
40080;Foreign Minister;胡安 德 迪亚兹 梅拉 ;44;SC;The Cloak N Dagger Schemer;Medium;M40015;x
40081;Foreign Minister;路易斯 波萨诺 ;37;PA;Ideological Crusader;Medium;M40081;x
40083;Foreign Minister;贝尼格诺 安德拉德 弗洛雷斯 ;41;PA;General Staffer;Medium;M40007;x
40084;Minister of Armament;何塞马科斯 韦拉斯科 伊巴拉 ;37;SD;Infantry Proponent;Medium;M40068;x
40085;Minister of Armament;纳普塔利 博诺费兹 阿斯卡祖比 ;40;SD;Administrative Genius;Medium;M40028;x
40086;Minister of Armament;卡洛斯 阿罗萨米纳 托拉 ;41;SD;laissez-faire capitalist;High;M40038;x
40087;Minister of Armament;尼古拉斯 德尔加多 ;47;SD;Tank Proponent;Medium;M40024;x
40088;Minister of Armament;欧勒里奥 莫斯奎拉 纳瓦斯 ;38;SL;Battle Fleet Proponent;High;M40006;x
40089;Minister of Armament;安东尼奥 庞斯 坎普扎诺 ;39;SL;Corrupt Kleptocrat;Medium;M40037;x
40090;Minister of Armament;费德里克 佩兹 奇里伯加 ;36;SL;Air to Sea Proponent;Medium;M40001;x
40091;Minister of Armament;米奎尔 安德拉蒙特 ;44;SL;Air Superiority Proponent;Medium;M40074;x
40092;Minister of Armament;法比安 德尔 卡斯泰洛 ;37;SC;laissez-faire capitalist;Medium;M40004;x
40093;Minister of Armament;胡安 德 迪亚兹 梅拉 ;38;SC;Corrupt Kleptocrat;Medium;M40015;x
40094;Minister of Armament;加洛 普拉兹 拉索 ;40;SC;Resource Industrialist;High;M40094;x
40095;Minister of Armament;朱利奥 莫雷诺 佩纳赫雷拉 ;43;SC;Theoretical Scientist;High;M40045;x
40096;Minister of Armament;艾斯德罗 阿约拉 克维弗 ;45;SC;Submarine Proponent;Medium;M40041;x
40097;Minister of Armament;卡洛斯 阿罗约 德尔 里奥 ;47;SC;Air to Ground Proponent;Medium;M40040;x
40098;Minister of Armament;古斯塔弗 尤拉尔提 ;37;PA;Corrupt Kleptocrat;Low;M40014;x
40099;Minister of Armament;卡洛斯 M. 拉里 ;40;PA;Administrative Genius;Medium;M40042;x
40100;Minister of Security;卡洛斯 格瓦拉 ;37;SD;Man of the People;High;M40100;x
40101;Minister of Security;胡安 文森特 特鲁希略 ;41;SD;Efficient Sociopath;High;M40070;x
40102;Minister of Security;何塞马科斯 韦拉斯科 伊巴拉 ;45;SD;Back Stabber;Medium;M40068;x
40103;Minister of Security;阿尔贝托 蒙塔尔沃 佩雷斯 ;37;SL;Back Stabber;Medium;M40103;x
40104;Minister of Security;古斯塔沃 拉斯 萨拉斯 ;41;SL;Crime Fighter;Medium;M40104;x
40105;Minister of Security;安东尼奥 庞斯 坎普扎诺 ;37;SC;Silent Lawyer;Low;M40105;x
40106;Minister of Security;卡洛斯 阿罗萨米纳 托拉 ;41;SC;Compassionate Gentleman;High;M40038;x
40107;Minister of Security;拉斐尔 维斯冈内兹 ;42;SC;Crime Fighter;Medium;M40077;x
40108;Minister of Security;艾斯德罗 阿约拉 克维弗 ;44;SC;Prince of Terror;Medium;M40041;x
40109;Minister of Security;胡安 德 迪亚兹 梅拉 ;47;SC;Crooked Kleptocrat;Medium;M40015;x
40110;Minister of Security;曼努埃尔 伯雷罗 冈萨雷斯 ;37;PA;Compassionate Gentleman;Medium;M40044;x
40111;Minister of Security;朱利奥 莫雷诺 佩纳赫雷拉 ;38;PA;Man of the People;High;M40045;x
40112;Minister of Security;卡米洛 庞塞 恩里克斯 ;47;SC;Crooked Kleptocrat;High;M40034;x
40113;Head of Military Intelligence;古斯塔沃 贝塞拉 帕兹 ;37;LWR;Technical Specialist;Medium;M40021;x
40114;Head of Military Intelligence;尼古拉斯 德尔加多 ;41;LWR;Naval Intelligence Specialist;Low;M40024;x
40115;Head of Military Intelligence;卡洛斯 曼切诺 塞加斯 ;45;SD;Dismal Enigma;Low;M40048;x
40116;Head of Military Intelligence;阿尔贝托 拉里 奇里伯加 ;38;SL;Logistics Specialist;Medium;M40003;x
40117;Head of Military Intelligence;大卫 弗洛雷斯 ;39;SL;Industrial Specialist;Medium;M40005;x
40118;Head of Military Intelligence;安东尼奥 德 奎瓦多 ;41;SL;Technical Specialist;Medium;M40118;x
40119;Head of Military Intelligence;雷蒙 巴奎里佐 戴维拉 ;47;SL;Dismal Enigma;Medium;M40119;x
40120;Head of Military Intelligence;卡洛斯 M. 拉里 ;37;SC;Naval Intelligence Specialist;Medium;M40042;x
40121;Head of Military Intelligence;拉斐尔 维斯冈内兹 ;40;SC;Technical Specialist;Medium;M40077;x
40122;Head of Military Intelligence;弗朗西斯科 加德拉斯 佩雷斯 ;45;SC;Political Specialist;Medium;M40079;x
40123;Head of Military Intelligence;欧勒里奥 莫斯奎拉 纳瓦斯 ;38;PA;Logistics Specialist;Medium;M40006;x
40124;Head of Military Intelligence;吉耶莫 法莱尔 波索 ;44;PA;Industrial Specialist;Medium;M40016;x
40125;Head of Military Intelligence;卡洛斯 曼切诺 塞加斯 ;47;PA;Dismal Enigma;Low;M40048;x
40126;Chief of Staff;路易斯 拉里 阿尔巴 ;37;LWR;School of Psychology;Low;M40027;x
40127;Chief of Staff;朱利奥 塞尔姆 加莱戈斯 ;44;SD;School of Fire Support;High;M40047;x
40129;Chief of Staff;吉尔伯托 恩里克斯 加洛 ;38;SL;School of Manoeuvre;Low;M40008;x
40130;Chief of Staff;雷蒙 巴奎里佐 戴维拉 ;39;SL;School of Fire Support;Medium;M40119;x
40131;Chief of Staff;胡安 德 迪亚兹 梅拉 ;37;SC;School of Psychology;Medium;M40015;x
40133;Chief of Staff;卡洛斯 M. 拉里 ;45;SC;School of Fire Support;Medium;M40042;x
40135;Chief of Staff;雨果 安达拉 佩纳赫雷拉 ;40;PA;School of Manoeuvre;Medium;M40019;x
40136;Chief of Staff;吉耶莫 法莱尔 波索 ;44;PA;School of Mass Combat;Medium;M40016;x
40137;Chief of Staff;卡洛斯 曼切诺 塞加斯 ;47;PA;School of Fire Support;Low;M40048;x
40138;Chief of Army;纳普塔利 博诺费兹 阿斯卡祖比 ;37;LWR;Guns and Butter Doctrine;Medium;M40028;x
40139;Chief of Army;雷蒙 巴奎里佐 戴维拉 ;41;SD;Static Defence Doctrine;Medium;M40139;x
40140;Chief of Army;卡洛斯 黑达尔戈 加西亚 ;45;SD;Armoured Spearhead Doctrine;Medium;M40140;x
40143;Chief of Army;洛多尔弗 拉里 阿尔巴 ;47;SC;Static Defence Doctrine;Low;M40027;x
40148;Chief of Army;路易斯 加布雷拉 塞维利亚 ;40;PA;Armoured Spearhead Doctrine;Medium;M40018;x
40149;Chief of Army;胡安 帕布洛 马丁内斯 伊古尔提 ;47;PA;Elastic Defence Doctrine;Medium;M40149;x
40150;Chief of Navy;古斯塔沃 贝塞拉 帕兹 ;37;LWR;Base Control Doctrine;Medium;M40021;x
40151;Chief of Navy;乔治 艾斯克贝多 杜拉尔提 ;45;SD;Open Seas Doctrine;Medium;M40151;x
40153;Chief of Navy;雨果 安达拉 佩纳赫雷拉 ;41;SL;Indirect Approach Doctrine;Medium;M40019;x
40155;Chief of Navy;雷蒙 莫兰 瓦尔维德 ;43;SC;Base Control Doctrine;Medium;M40155;x
40156;Chief of Navy;雨果 安达拉 佩纳赫雷拉 ;37;PA;Indirect Approach Doctrine;Medium;M40019;x
40157;Chief of Navy;乔治 艾斯克贝多 杜拉尔提 ;44;PA;Open Seas Doctrine;Medium;M40151;x
40158;Chief of Air Force;胡安 巴亚多 图巴 ;37;LWR;Carpet Bombing Doctrine;Medium;M40030;x
40162;Chief of Air Force;朱利奥 塞尔姆 加莱戈斯 ;37;SC;Air Superiority Doctrine;High;M40047;x
40163;Chief of Air Force;雷蒙 卡斯特罗 琼 ;37;PA;Air Superiority Doctrine;Medium;M40020;x
40165;Chief of Army;尤拉尔提 凡吉尔 德尔 庞特 ;39;SL;Elastic Defence Doctrine;Low;M40142;x
40168;Head of State;卡洛斯 阿罗约 德尔 里奥 ;39;SL;Powerhungry Demagogue;High;M40040;x
40169;Head of Government;卡洛斯 阿罗约 德尔 里奥 ;39;SL;Flamboyant Tough Guy;High;M40040;x
40170;Head of State;马里亚诺 苏阿雷兹 万提米拉 ;47;SC;Benevolent Gentleman;High;M40168;x
40171;Head of Government;马里亚诺 苏阿雷兹 万提米拉 ;39;SL;Happy Amateur;High;M40168;x
40172;Foreign Minister;阿尔贝托 拉里 奇里伯加 ;36;PA;The Cloak N Dagger Schemer;Medium;M40003;x
40174;Foreign Minister;朱利奥 托帕 多诺索 ;41;SC;General Staffer;Medium;M40082;x
40175;Foreign Minister;弗朗西斯科 加德拉斯 佩雷斯 ;44;SD;Great Compromiser;Medium;M40079;x
40015;Minister of Security;胡安 德 迪亚兹 梅拉 ;36;PA;Crooked Kleptocrat;Medium;M40015;x
40176;Head of State;加洛 普拉兹 拉索 ;48;SC;Insignificant Layman;High;M40094;x
40177;Head of Government;加洛 普拉兹 拉索 ;48;SC;Silent Workhorse;High;M40094;x
