SAF;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
70074;Chief of Staff;简 C. 斯姆特斯 ;44;ML;School of Mass Combat;High;M70005;x
70075;Chief of Staff;罗伯特 帕默 ;44;SC;School of Psychology;High;M70075;x
70076;Chief of Army;乔舒亚 F. 诺德 ;36;SC;Guns and Butter Doctrine;Very High;M70076;x
70077;Chief of Army;詹姆斯 米切尔-贝克 ;39;ML;Decisive Battle Doctrine;Medium;M70071;x
70078;Chief of Army;C. 德 温伯格 杜 托特 ;42;PA;Armoured Spearhead Doctrine;Medium;M70015;x
70079;Chief of Army;伦纳德 贝耶斯 ;43;SC;Static Defence Doctrine;Medium;M70072;x
70080;Chief of Army;皮埃尔 范 赖尼维尔德 ;43;ML;Elastic Defence Doctrine;Very High;M70007;x
70081;Chief of Army;佛朗哥斯 瑟伦 ;46;SC;Armoured Spearhead Doctrine;Medium;M70081;x
70082;Chief of Navy;吉诺特 德 拉 托利尔 ;36;SC;Decisive Naval Battle Doctrine;Very High;M70066;x
70083;Chief of Navy;戈尼列斯 范 戈尼列斯 ;38;SC;Indirect Approach Doctrine;Very High;M70050;x
70084;Chief of Air Force;克利斯托菲尔 文特 ;40;ML;Vertical Envelopment Doctrine;Very High;M70084;x
70085;Chief of Air Force;阿道夫 马伦 ;41;SC;Army Aviation Doctrine;Low;M70047;x
70086;Chief of Air Force;马力诺斯 范 奥斯特克普 ;41;SC;Naval Aviation Doctrine;Low;M70053;x
70087;Chief of Air Force;S.P. 勒 罗克斯 ;43;ML;Vertical Envelopment Doctrine;Low;M70043;x
70011;Head of State;J. F. 范 任斯伯格 ;36;FA;Resigned Generalissimo;High;M70011;x
70012;Head of Government;J. F. 范 任斯伯格 ;36;FA;Old General;High;M70011;x
70088;Head of State;E.G. 简森 ;51;SL;Autocratic Charmer;High;M70036;x
70089;Head of State;E.G. 简森 ;51;SC;Autocratic Charmer;High;M70036;x
70090;Minister of Armament;简 C. 斯姆特斯 ;39;ML;Military Entrepreneur;Very High;M70005;x
70091;Minister of Armament;F.C. 伊拉兹马斯 ;48;SC;Submarine Proponent;Very High;M70063;x
70092;Minister of Security;H.G. 劳伦斯 ;43;ML;Prince of Terror;High;M70092;x
70093;Head of State;C. R. 斯沃特 ;59;SC;Pig-headed Isolationist;High;M70057;x
70094;Head of State;C. R. 斯沃特 ;59;SL;Pig-headed Isolationist;High;M70057;x
70095;Head of Government;J. G. 斯特里基多姆 ;54;SC;Backroom Backstabber;High;M70041;x
70096;Head of Government;亨德利 F. 维活德 ;58;SC;Ambitious Union Boss;High;M70055;x
70097;Head of Government;德 维利尔斯 格拉夫 男爵 ;50;SL;Happy Amateur;High;M70097;x
70098;Foreign Minister;雅克布斯 德 比尔 ;50;SL;Great Compromiser;Very High;M70098;x
70099;Minister of Armament;F.C. 伊拉兹马斯 ;52;SC;laissez-faire capitalist;Low;M70063;x
70100;Minister of Armament;约翰尼斯 J. 福歇 ;59;SC;Resource Industrialist;Low;M70100;x
70101;Minister of Security;乔舒亚 F. 诺德 ;58;SC;Compassionate Gentleman;Low;M70076;x
70102;Minister of Security;约翰尼斯 德 克拉克 ;61;SC;Silent Lawyer;Low;M70102;x
70103;Minister of Security;乔舒亚 F. 诺德 ;61;SL;Man of the People;High;M70076;x
