ETH;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
65073;Chief of Staff;凯贝德 亲王 ;36;FA;School of Defence;Medium;M65017;x
65074;Chief of Staff;沃德梅斯卡 塔利库 ;36;SC;School of Defence;Medium;M65027;x
65075;Chief of Staff;阿班尼法索 贝尔卡 ;41;SC;School of Mass Combat;Medium;M65075;x
65077;Chief of Army;海尔 艾巴 梅萨 ;41;PA;Decisive Battle Doctrine;Very High;M65077;x
65078;Chief of Army;利 埃比 阿比比 ;45;PA;Armoured Spearhead Doctrine;High;M65078;x
65079;Chief of Army;卡塞 亲王 ;36;FA;Decisive Battle Doctrine;Medium;M65018;x
65080;Chief of Army;休姆 亲王 ;39;FA;Static Defence Doctrine;Medium;M65009;x
65081;Chief of Army;沃德梅斯卡 塔利库 ;36;SC;Guns and Butter Doctrine;Medium;M65027;x
65082;Chief of Army;卡塞 亲王 ;41;SC;Static Defence Doctrine;Medium;M65018;x
65083;Chief of Army;利 埃比 阿比比 ;45;SC;Armoured Spearhead Doctrine;High;M65078;x
65084;Chief of Navy;万道森 卡塞 ;37;PA;Open Seas Doctrine;Medium;M65084;x
65085;Chief of Navy;利 约翰内斯 ;36;FA;Open Seas Doctrine;Medium;M65011;x
65086;Chief of Navy;休姆 亲王 ;39;FA;Indirect Approach Doctrine;Very High;M65009;x
65087;Chief of Navy;代德加 兹纳奇 纳丹 ;36;SC;Power Projection Doctrine;Medium;M65029;x
65089;Chief of Air Force;麦斯芬 塞尔奇 ;39;PA;Carpet Bombing Doctrine;Medium;M65089;x
65090;Chief of Air Force;法塔里 扎德 格比诺 ;45;PA;Air Superiority Doctrine;Medium;M65020;x
65091;Chief of Air Force;法塔里 扎德 格比诺 ;36;FA;Air Superiority Doctrine;Medium;M65020;x
65092;Chief of Air Force;加百利 扎德 吉拉尼 ;36;SC;Army Aviation Doctrine;Medium;M65030;x
