TUR;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
12081;Chief of Navy;阿赫迈特 埃当 B鰈ak ;46;ML;Base Control Doctrine;Medium;M12081;x
12083;Chief of Air Force;厄坎 加塔利 ;43;ML;Army Aviation Doctrine;Medium;M12083;x
12084;Chief of Air Force;梅穆杜赫 塔格马克 ;46;ML;Air Superiority Doctrine;Medium;M12059;x
12012;Head of Government;泽基 维利迪 托干 ;36;FA;Old General;High;M12012;x
12013;Foreign Minister;阿里·费特希·奥克亚尔;36;PA;Ideological Crusader;Medium;M12013;x
12014;Minister of Armament;萨迪 奥兹贝克 ;36;FA;Air to Sea Proponent;Medium;M12014;x
12016;Head of Military Intelligence;阿里·费特希·奥克亚尔;36;SC;Dismal Enigma;Medium;M12013;x
12017;Chief of Staff;穆斯塔法·伊斯麦特·伊诺努;36;PA;School of Defence;Medium;M12002;x
12018;Chief of Army;阿尔帕斯兰 图尔克斯 ;36;FA;Guns and Butter Doctrine;Medium;M12018;x
12019;Chief of Navy;劳夫 奥尔拜伊 ;36;FA;Base Control Doctrine;Medium;M12019;x
12020;Chief of Air Force;萨迪 奥兹贝克 ;36;PA;Naval Aviation Doctrine;Medium;M12014;x
12021;Head of State;瑟菲克 胡斯内 ;36;ST;Stern Imperialist;High;M12021;x
12022;Head of Government;佩特夫 耐利 博纳塔夫 ;36;ST;Naive Optimist;High;M12022;x
12023;Foreign Minister;纳吉姆 希克梅特 南 ;36;ST;The Cloak N Dagger Schemer;Medium;M12023;x
12024;Minister of Armament;雷菲克 萨伊达姆 ;36;LWR;Infantry Proponent;Medium;M12024;x
12027;Chief of Staff;阿巴斯 塞瓦特 ;36;LWR;School of Manoeuvre;Medium;M12025;x
12028;Chief of Army;佩特夫 耐利 博纳塔夫 ;36;LWR;Elastic Defence Doctrine;Very Low;M12022;x
12029;Chief of Navy;伊斯梅尔·尼哈特·埃里姆;36;LE;Decisive Naval Battle Doctrine;Medium;M12029;x
12030;Chief of Air Force;雷菲克 萨伊达姆 ;36;LE;Air Superiority Doctrine;Medium;M12024;x
12085;Head of State;马赫穆特·杰拉勒·拜亚尔;50;ML;Barking Buffoon;High;M12032;x
12086;Head of Government;梅米特 雷杰普 佩凯尔 ;46;SC;Political Protege;High;M12067;x
12087;Head of Government;哈桑 萨卡 ;47;SC;Happy Amateur;High;M12038;x
12088;Head of Government;梅米特 吉纳尔塔伊 ;49;SC;Silent Workhorse;High;M12051;x
12089;Head of Government;阿德南 门德莱斯 ;50;ML;Ambitious Union Boss;High;M12046;x
12090;Foreign Minister;梅米特 法阿特 库尔鲁拉 ;50;ML;Iron Fisted Brute;Medium;M12090;x
12091;Minister of Armament;法伊克 阿赫迈特 Barutcu ;47;SC;Battle Fleet Proponent;Medium;M12091;x
12092;Minister of Armament;伊斯梅尔·尼哈特·埃里姆;49;SC;Resource Industrialist;Medium;M12029;x
12093;Minister of Armament;塞梅特 阿高戈鲁 ;50;ML;Theoretical Scientist;Medium;M12093;x
12094;Minister of Armament;法蒂姆 鲁斯图 Zorlu ;52;ML;Administrative Genius;Medium;M12094;x
12095;Minister of Security;雷菲克 克拉尔坦 ;50;ML;Silent Lawyer;Medium;M12095;x
