SPA;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
10064;Foreign Minister;杰维尔 德 波彭-帕尔马 ;36;FA;General Staffer;High;M10034;x
10066;Foreign Minister;维特 普拉德拉 ;43;FA;Ideological Crusader;High;M10066;x
10067;Foreign Minister;路易斯 赫尔南多 德 拉兰蒙蒂 ;46;FA;Biased Intellectual;High;M10067;x
10068;Foreign Minister;曼诺尔 福 康德 ;47;FA;The Cloak N Dagger Schemer;High;M10049;x
10071;Foreign Minister;J. 德 阿雷萨 y 马丁斯-罗德斯 ;42;FA;Great Compromiser;High;M10071;x
10072;Foreign Minister;杰西 路易斯 阿雷斯 马格拉 ;39;FA;Iron Fisted Brute;High;M10072;x
10073;Foreign Minister;曼诺尔 海迪拉 拉雷耶 ;46;FA;Biased Intellectual;High;M10050;x
10074;Foreign Minister;雷蒙多 费南迪斯 古斯塔 ;47;FA;The Cloak N Dagger Schemer;High;M10074;x
10075;Foreign Minister;拉米罗 德 马斯图 ;36;SC;Ideological Crusader;High;M10075;x
10077;Foreign Minister;弗朗西斯科 德 波彭 德 拉 图雷 ;41;SC;General Staffer;Medium;M10077;x
10080;Foreign Minister;亚库布 菲斯-詹姆斯 斯图亚特 ;45;SC;Biased Intellectual;Medium;M10080;x
10081;Foreign Minister;杰西 亚古斯 梅西亚 ;36;SC;Great Compromiser;High;M11150;x
10082;Foreign Minister;克劳迪奥 圣克斯 阿布诺斯 ;36;ML;Ideological Crusader;High;M11072;x
10083;Foreign Minister;杰西 马丁斯 德 维拉斯科 ;37;ML;Iron Fisted Brute;Low;M11110;x
10084;Foreign Minister;路易斯 卢西亚 卢西亚 ;38;ML;Biased Intellectual;Low;M11113;x
10085;Foreign Minister;杰西 安古里亚 吉门斯 ;40;FA;General Staffer;High;M10085;x
10086;Foreign Minister;奈西托 阿卡拉-萨莫拉 ;41;ML;Great Compromiser;High;M11001;x
10087;Foreign Minister;杰西 德 阿雷萨 y 马丁斯-罗德斯 ;46;ML;The Cloak N Dagger Schemer;High;M10071;x
10088;Minister of Armament;杰西 德 阿雷萨 y 马丁斯-罗德斯 ;36;PA;Laissez-Faire Capitalist;High;M10071;x
10089;Minister of Armament;拉蒙 弗朗西斯科 巴哈蒙德 ;37;PA;Air Superiority Proponent;Medium;M10089;x
10090;Minister of Armament;费度 迪维拉 埃朗多 ;38;PA;Military Entrepreneur;High;M10002;x
10092;Minister of Armament;尼古拉斯 弗朗哥 巴哈蒙德 ;36;PA;Battle Fleet Proponent;Very High;M10092;x
10093;Minister of Armament;乔奎恩 本杰明 布林 ;41;FA;Resource Industrialist;High;M10093;x
10094;Minister of Armament;杰西 拉雷斯 洛佩斯 ;39;FA;Laissez-Faire Capitalist;High;M11139;x
10096;Minister of Armament;马里亚诺 安松 ;46;PA;Air to Ground Proponent;Medium;M10096;x
10097;Minister of Armament;乔奎恩 波 诺拉 ;37;FA;Administrative Genius;Medium;M10095;x
10098;Minister of Armament;路易斯 赫尔南多 德 拉雷蒙蒂 ;39;FA;Resource Industrialist;High;M10067;x
10102;Minister of Armament;杰西 马里亚 拉蒙梅尔 ;45;FA;Laissez-Faire Capitalist;Medium;M10102;x
10103;Minister of Armament;维特 帕德拉 ;46;FA;Theoretical Scientist;High;M10066;x
10047;Minister of Armament;J.A. 普里莫 德 李维拉 德 赫雷迪亚 ;36;FA;Resource Industrialist;High;M10036;x
10105;Minister of Armament;雷蒙多 费南迪斯 古西塔 ;37;FA;Laissez-Faire Capitalist;High;M10105;x
10106;Minister of Armament;曼诺尔 赫迪拉 拉雷耶 ;38;FA;Military Entrepreneur;High;M10050;x
10107;Minister of Armament;奥斯莫 雷东多 奥特加 ;39;FA;Tank Proponent;High;M10107;x
10109;Minister of Armament;圣科 达维拉 ;41;FA;Infantry Proponent;Medium;M10109;x
10110;Minister of Armament;奥古斯丁 阿斯纳 古尔内 ;42;FA;Air to Ground Proponent;Medium;M10110;x
10111;Minister of Armament;杰西 卡沃-索特罗 ;36;PA;Laissez-Faire Capitalist;Very High;M11014;x
10112;Minister of Armament;杰西 恩利奎 瓦雷拉 伊格雷西萨 ;36;SC;Military Entrepreneur;High;M10014;x
10113;Minister of Armament;吉恩 马奇 奥迪纳斯 ;36;SC;Administrative Genius;High;M10113;x
10115;Minister of Armament;吉恩 伊格纳克 卢卡 德 提纳 ;39;SC;Laissez-Faire Capitalist;Medium;M10115;x
10117;Minister of Armament;阿费多 甘德拉 多尼 ;37;PA;Strategic Air Proponent;High;M10010;x
10118;Minister of Armament;吉恩 维隆 苏洛迪拉斯 ;38;SC;Theoretical Scientist;High;M10118;x
10120;Minister of Armament;弗朗西斯科 德 波彭 德 拉 图雷 ;38;SC;Tank Proponent;Medium;M10077;x
10121;Minister of Armament;迭戈 西多格 都兰 ;36;ML;Military Entrepreneur;High;M11101;x
10123;Minister of Armament;埃米洛 赫雷拉 ;41;ML;Air Superiority Proponent;High;M11145;x
10124;Minister of Armament;乔奎恩 卡帕雷塔 图雷格萨 ;42;ML;Resource Industrialist;High;M11155;x
10125;Minister of Armament;杰西 马里亚 吉尔-罗贝斯 奎诺斯 ;43;ML;Resource Industrialist;High;M10012;x
10126;Minister of Armament;路易斯 卢西亚 卢西亚 ;44;ML;Theoretical Scientist;Low;M11113;x
10127;Minister of Security;裴多 桑斯 罗德里格斯 ;36;FA;Man of the People;High;M10127;x
10128;Minister of Security;萨维利诺 马丁斯 安尼多 ;39;PA;Prince of Terror;Medium;M10128;x
10129;Minister of Security;迪奥尼西奥 列德雷杰 ;38;PA;Back Stabber;Medium;M10129;x
10130;Minister of Security;布拉斯 佩雷斯 冈萨雷斯 ;42;PA;Silent Lawyer;High;M10130;x
10131;Minister of Security;杰西 米兰 阿斯特拉 ;41;PA;Efficient Sociopath;Medium;M10131;x
10132;Minister of Security;瓦雷丁 加拉萨 莫兰特 ;40;PA;Man of the People;High;M10132;x
10134;Minister of Security;路易斯 瓦德斯 卡瓦利拉斯 ;42;PA;Prince of Terror;High;M10134;x
10135;Minister of Security;托马西 卡西亚诺 格尼 ;36;PA;Compassionate Gentleman;Medium;M10135;x
10137;Minister of Security;托马西 康德 德 雷德斯诺 ;37;FA;Prince of Terror;High;M10099;x
10139;Minister of Security;曼诺尔 福 康德 ;42;FA;Man of the People;High;M10049;x
10140;Minister of Security;杰西 马里亚 拉蒙梅尔 ;44;FA;Efficient Sociopath;Medium;M10102;x
10141;Minister of Security;奥古斯丁 阿斯纳 古尔内 ;36;FA;Back Stabber;Medium;M10110;x
10142;Minister of Security;拉米洛 雷德斯马 拉莫斯 ;38;FA;Silent Lawyer;High;M10069;x
10143;Minister of Security;皮拉 普里莫 德 李维拉 ;42;FA;Prince of Terror;High;M10037;x
10146;Minister of Security;雷蒙多 费南迪斯 古斯塔 ;45;FA;Man of the People;High;M10074;x
10147;Minister of Security;杰西 路易斯 阿雷斯 马格拉 ;46;FA;Crime Fighter;High;M10072;x
10148;Minister of Security;亚库布 菲斯-詹姆斯 斯图亚特 ;36;SC;Compassionate Gentleman;Medium;M10080;x
10149;Minister of Security;杰西 亚古斯 梅西亚 ;39;SC;Efficient Sociopath;High;M11150;x
10150;Minister of Security;杰西 马丁斯 德 维拉斯科 ;41;SC;Crime Fighter;Low;M11110;x
10151;Minister of Security;安德雷斯 萨利奎特 祖梅塔 ;42;SC;Man of the People;Medium;M10015;x
10154;Minister of Security;米古 卡贝诺拉斯 费雷拉 ;36;SC;Crime Fighter;High;M10001;x
10156;Minister of Security;冈萨罗 奎波 德 兰诺 ;37;ML;Man of the People;High;M10055;x
10157;Minister of Security;米古 莫拉 加马索 ;44;ML;Compassionate Gentleman;High;M11073;x
10159;Head of Military Intelligence;安东尼奥 巴罗索 桑兹-古拉 ;39;PA;Logistics Specialist;High;M10159;x
10160;Head of Military Intelligence;吉恩 维隆 索罗迪亚斯 ;39;PA;Technical Specialist;High;M10118;x
10162;Head of Military Intelligence;杰西 安古里亚 吉门斯 ;36;PA;Industrial Specialist;High;M10085;x
10163;Head of Military Intelligence;伊西多 戈马 y 托马西 ;36;FA;Dismal Enigma;High;M10065;x
10164;Head of Military Intelligence;乔奎恩 波 诺拉 ;41;FA;Political Specialist;Medium;M10095;x
10165;Head of Military Intelligence;路易斯 赫尔南多 德 拉兰蒙蒂 ;43;FA;Technical Specialist;High;M10067;x
10166;Head of Military Intelligence;里卡多 德 拉达 ;37;FA;Logistics Specialist;High;M10166;x
10168;Head of Military Intelligence;曼诺尔 赫迪拉 拉雷耶 ;36;FA;Political Specialist;High;M10050;x
10169;Head of Military Intelligence;杰西 路易斯 阿雷斯 马古拉 ;39;FA;Dismal Enigma;High;M10072;x
10170;Head of Military Intelligence;迪奥尼西奥 列德雷杰 ;42;FA;Technical Specialist;Medium;M10129;x
10171;Head of Military Intelligence;奥西莫 雷东多 奥特加 ;43;FA;Logistics Specialist;High;M10107;x
10173;Head of Military Intelligence;恩利奎 普拉 y 丹尼尔 ;36;SC;Political Specialist;Medium;M10063;x
10177;Head of Military Intelligence;路易斯 奥哥萨 约迪 ;36;SC;Logistics Specialist;High;M10016;x
10178;Head of Military Intelligence;里卡多 萨姆帕 伊巴尼斯 ;36;ML;Political Specialist;Medium;M11104;x
10179;Head of Military Intelligence;吉恩 马奇 奥迪纳斯 ;39;ML;Dismal Enigma;High;M10113;x
10180;Head of Military Intelligence;迭戈 西多格 度兰 ;40;ML;Logistics Specialist;High;M11101;x
10181;Head of Military Intelligence;路易斯 卢西亚 卢西亚 ;41;ML;Technical Specialist;Low;M11113;x
10182;Head of Military Intelligence;乔奎恩 卡帕雷塔 图雷格萨 ;43;ML;Industrial Specialist;High;M11155;x
10183;Chief of Staff;弗朗西斯科 弗朗哥 巴哈蒙德 ;36;PA;School of Psychology;Very High;L3426;x
10184;Chief of Staff;吉恩 雅古 布兰科 ;37;PA;School of Manoeuvre;Medium;M10184;x
10186;Chief of Staff;杰西 恩利奎 瓦雷拉 伊格雷西萨 ;39;PA;School of Fire Support;High;M10014;x
10187;Chief of Staff;卡洛斯 阿森西奥 卡贝诺拉斯 ;45;PA;School of Mass Combat;High;M10187;x
10188;Chief of Staff;何塞·桑胡尔霍;36;FA;School of Psychology;High;M10040;x
10189;Chief of Staff;埃米洛 莫拉 维多 ;36;FA;School of Manoeuvre;High;M10008;x
10190;Chief of Staff;吉维尔 德 波彭-帕尔马 ;39;FA;School of Defence;High;M10034;x
10191;Chief of Staff;里卡多 德 拉达 ;40;FA;School of Mass Combat;High;M10166;x
10193;Chief of Staff;奥古斯丁 阿斯纳 古尔内 ;38;FA;School of Psychology;High;M10070;x
10194;Chief of Staff;奥古斯丁 穆诺斯 格兰迪斯 ;39;FA;School of Fire Support;High;M10194;x
10196;Chief of Staff;圣科 德维拉 ;41;FA;School of Defence;Medium;M10109;x
10197;Chief of Staff;奥西莫 雷东多 奥特加 ;43;FA;School of Mass Combat;High;M10107;x
10200;Chief of Staff;冈萨罗 奎波 德 兰诺 ;38;SC;School of Mass Combat;High;M10055;x
10202;Chief of Staff;吉奎恩 凡杰 格尼 ;43;SC;School of Fire Support;Medium;M10202;x
10204;Chief of Staff;米古 卡贝诺拉斯 费雷拉 ;38;ML;School of Psychology;High;M10001;x
10206;Chief of Army;费度 达维拉 埃朗多 ;36;PA;Static Defence Doctrine;High;M10002;x
10207;Chief of Army;拉菲尔 加西亚 瓦利诺 ;39;PA;Decisive Battle Doctrine;High;M10207;x
10208;Chief of Army;卡洛斯 阿森西奥 卡贝诺拉斯 ;39;PA;Armoured Spearhead Doctrine;High;M10208;x
10209;Chief of Army;吉恩 雅古 布兰科 ;39;PA;Elastic Defence Doctrine;Medium;M10184;x
10210;Chief of Army;杰西 恩利奎 瓦雷拉 伊格雷西萨 ;39;PA;Guns and Butter Doctrine;High;M10014;x
10211;Chief of Army;何塞·桑胡尔霍;36;FA;Armoured Spearhead Doctrine;High;M10040;x
10214;Chief of Army;里卡多 德 拉达 ;37;FA;Static Defence Doctrine;High;M10166;x
10216;Chief of Army;奥古斯丁 阿斯纳 古尔内 ;38;FA;Guns and Butter Doctrine;High;M10070;x
10217;Chief of Army;奥古斯丁 穆诺斯 格兰迪斯 ;39;FA;Armoured Spearhead Doctrine;High;M10194;x
10219;Chief of Army;奥西莫 雷东多 奥特加 ;41;FA;Static Defence Doctrine;High;M10107;x
10220;Chief of Army;圣科 德维拉 ;41;FA;Decisive Battle Doctrine;Medium;M10109;x
10225;Chief of Army;安东尼奥 阿兰达 马塔 ;42;SC;Static Defence Doctrine;Low;M10018;x
10227;Chief of Army;米古 卡贝诺拉斯 费雷拉 ;38;ML;Static Defence Doctrine;High;M10001;x
10228;Chief of Army;冈萨罗 奎波 德 兰诺 ;39;ML;Guns and Butter Doctrine;High;M10055;x
10229;Chief of Navy;卡洛斯 巴雷达 特里 ;36;PA;Indirect Approach Doctrine;High;M10229;x
10230;Chief of Navy;萨瓦多 莫雷诺 费南迪斯 ;38;PA;Decisive Naval Battle Doctrine;High;M10230;x
10231;Chief of Navy;尼古拉斯 弗朗哥 巴哈蒙德 ;41;PA;Power Projection Doctrine;Very High;M10092;x
10232;Chief of Navy;路易斯 卡雷诺 布兰科 ;44;PA;Base Control Doctrine;High;M10232;x
10233;Chief of Navy;弗朗西斯科 雷格拉多 罗德里格斯 ;44;PA;Open Seas Doctrine;High;M10233;x
10235;Chief of Navy;杰西 马里亚 拉蒙梅尔 ;42;FA;Indirect Approach Doctrine;Medium;M10102;x
10236;Chief of Navy;托马西 多明戈斯 阿雷瓦诺 ;43;FA;Base Control Doctrine;High;M10048;x
10237;Chief of Navy;J. 德 阿雷萨 y 马丁斯-罗德斯 ;36;FA;Decisive Naval Battle Doctrine;High;M10071;x
10239;Chief of Navy;杰西 米兰 阿斯特拉 ;41;SC;Base Control Doctrine;Medium;M10131;x
10240;Chief of Navy;拉米洛 雷德斯马 拉莫斯 ;43;FA;Open Seas Doctrine;High;M10069;x
10242;Chief of Navy;弗朗西斯科 努内斯 德 阿兰尼塔 ;36;PA;Base Control Doctrine;High;M10019;x
10245;Chief of Navy;安东尼奥 阿萨洛拉 格里西朗 ;36;ML;Open Seas Doctrine;High;M11009;x
10246;Chief of Navy;米古 莫拉 加马索 ;40;ML;Decisive Naval Battle Doctrine;High;M11073;x
10247;Chief of Air Force;拉蒙 弗朗哥 巴哈蒙德 ;36;PA;Naval Aviation Doctrine;High;M10089;x
10249;Chief of Air Force;吉恩 雅古 布兰科 ;39;PA;Air Superiority Doctrine;Medium;M10184;x
10250;Chief of Air Force;埃杜拉多 冈萨雷斯 加拉萨 ;44;PA;Vertical Envelopment Doctrine;High;M10250;x
10251;Chief of Air Force;吉恩 维隆 索罗迪亚斯 ;40;PA;Army Aviation Doctrine;High;M10118;x
10252;Chief of Air Force;J. 德 克拉克 德 拉 科利纳 ;36;FA;Vertical Envelopment Doctrine;Medium;M10252;x
10254;Chief of Air Force;托马西 多明戈斯 阿雷瓦诺 ;41;FA;Air Superiority Doctrine;High;M10048;x
10255;Chief of Air Force;曼诺尔 福 康德 ;42;FA;Naval Aviation Doctrine;High;M10049;x
10257;Chief of Air Force;杰西 路易斯 阿雷斯 马古拉 ;38;FA;Army Aviation Doctrine;High;M10072;x
10258;Chief of Air Force;J. 德 阿雷萨 y 马丁斯-罗德斯 ;41;FA;Carpet Bombing Doctrine;High;M10071;x
10259;Chief of Air Force;拉米洛 雷德斯马 拉莫斯 ;43;FA;Air Superiority Doctrine;High;M10069;x
10260;Chief of Air Force;弗朗西斯科 雷格拉多 罗德里格斯 ;45;FA;Naval Aviation Doctrine;High;M10233;x
10262;Chief of Air Force;吉恩 I.L. 德 提纳 加西亚 ;38;SC;Vertical Envelopment Doctrine;Low;M10262;x
10263;Chief of Air Force;吉恩 安索多 维杰拉诺 ;37;SC;Air Superiority Doctrine;High;M10263;x
10266;Chief of Air Force;安德雷斯 萨利奎特 祖梅塔 ;36;ML;Naval Aviation Doctrine;High;M10266;x
10267;Chief of Air Force;埃米洛 赫雷拉 ;38;ML;Army Aviation Doctrine;High;M11145;x
10268;Chief of Air Force;迭戈 西多格 度兰 ;40;ML;Air Superiority Doctrine;High;M11101;x
10269;Chief of Air Force;鲁道夫 冯 莫雷 ;42;ML;Carpet Bombing Doctrine;High;M10269;x
10270;Chief of Air Force;卡米洛 阿隆索 维加 ;44;ML;Vertical Envelopment Doctrine;High;M10270;x
10272;Minister of Armament;托马西 多明戈斯 阿雷瓦诺 ;36;PA;Air to Ground Proponent;High;M10271;x
10273;Minister of Armament;迭戈 西多格 度兰 ;38;SC;Military Entrepreneur;High;M11101;x
10274;Minister of Security;托马西 多明戈斯 阿雷瓦诺 ;36;PA;Prince of Terror;High;M10271;x
10275;Minister of Security;埃米洛 莫拉 维多 ;37;PA;Prince of Terror;Medium;M10008;x
10276;Chief of Army;弗朗西斯科 弗朗哥 巴哈蒙德 ;36;PA;Decisive Battle Doctrine;Very High;L3426;x
10277;Chief of Navy;J. 德 克拉克 德 拉 科利纳 ;36;FA;Indirect Approach Doctrine;High;M10252;x
10278;Head of State;埃米洛 莫拉 维多 ;36;FA;Resigned Generalissimo;Very High;M10008;x
10279;Head of State;何塞·桑胡尔霍;36;PA;Resigned Generalissimo;Very High;M10040;x
10280;Head of State;杰西 卡沃-索特罗 ;36;SC;Insignificant Layman;Very High;M11014;x
10281;Head of Government;何塞·桑胡尔霍;36;PA;Old General;Very High;M10040;x
10282;Head of Government;杰西 安东尼奥 普里莫 德 李维拉 ;36;FA;Silent Workhorse;Very High;M10036;x
10283;Minister of Security;杰西 安东尼奥 普里莫 德 李维拉 ;36;FA;Man of the People;Very High;M10036;x
10013;Foreign Minister;吉恩 贝戈贝德 阿提萨 ;36;PA;Apologetic Clerk;Medium;M10013;x
10017;Chief of Staff;路易斯 奥格萨 约迪 ;36;PA;School of Defence;Medium;M10016;x
10019;Chief of Navy;弗朗西斯科 努内斯 德 奥兰塔 ;36;PA;Indirect Approach Doctrine;High;M10019;x
10020;Chief of Air Force;阿费多 甘德兰 多尼 ;36;PA;Carpet Bombing Doctrine;High;M10010;x
10021;Head of State;杰西 迪亚斯 拉莫斯 ;36;ST;Powerhungry Demagogue;High;M10021;x
10022;Head of Government;杰西 迪亚斯 拉莫斯 ;36;ST;Backroom Backstabber;High;M10021;x
10023;Foreign Minister;朱利奥 阿维拉斯 迪 瓦约 ;36;ST;Ideological Crusader;High;M10023;x
10024;Minister of Armament;恩利奎 卡斯特罗 迪加多 ;36;ST;Infantry Proponent;High;M10024;x
10025;Minister of Security;圣地亚哥 卡利洛 索拉雷斯 ;36;LE;Prince of Terror;Very High;M10025;x
10026;Head of Military Intelligence;杰西 迪亚斯 拉莫斯 ;36;LE;Technical Specialist;Medium;M10021;x
10027;Chief of Staff;米古 塔古纳 拉克特 ;36;LE;School of Manoeuvre;Very High;M10027;x
10028;Chief of Army;恩利奎 李斯特 福贾 ;36;LE;Decisive Battle Doctrine;Very High;M10028;x
10029;Chief of Navy;弗朗西斯科 戈兰 罗德里格斯 ;36;LE;Open Seas Doctrine;Medium;M10029;x
10030;Chief of Air Force;伊格纳西奥 西多格 德 西斯内罗斯 ;36;LE;Air Superiority Doctrine;High;M10030;x
