FIN;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
29095;Minister of Armament;乌尔霍 J. 卡斯特伦 ;43;SC;Infantry Proponent;NA;M29064;x
29096;Minister of Armament;埃德温 H. 林考米斯 ;44;SC;Administrative Genius;Medium;M29063;x
29097;Minister of Armament;葛瑞格 A. 德 格里彭博格 ;46;SC;Strategic Air Proponent;High;M29097;x
29098;Minister of Armament;卡尔 R. 瓦尔登 ;44;PA;Resource Industrialist;Medium;M29098;x
29099;Minister of Armament;尤霍 纽克南 ;36;FA;Tank Proponent;Medium;M29014;x
29100;Minister of Armament;维特里 科索拉 ;41;FA;Infantry Proponent;Low;M29012;x
29101;Minister of Armament;毛里茨 罗森博格 ;39;ST;Resource Industrialist;Low;M29024;x
29102;Minister of Security;乌尔霍 K. 吉科宁 ;36;ML;Compassionate Gentleman;Medium;M29051;x
29103;Minister of Security;雨果 艾米 阿特拉 ;43;SD;Prince of Terror;Medium;M29103;x
29104;Minister of Security;瓦尔弗里德 埃斯科拉 ;44;SD;Back Stabber;Medium;M29104;x
29105;Minister of Security;欧拉维 I. 克加拉 ;46;SD;Crime Fighter;Medium;M29105;x
29106;Minister of Security;理查德 洛伦茨 ;36;ML;Crime Fighter;Medium;M29106;x
29107;Minister of Security;厄恩斯特 V.L. 冯 博恩 ;41;ML;Silent Lawyer;Medium;M29107;x
29108;Minister of Security;维尼 L. 维尔夫 ;43;ML;Compassionate Gentleman;Medium;M29009;x
29109;Minister of Security;莱奥 R. 艾恩路斯 ;44;ML;Man of the People;Medium;M29109;x
29110;Minister of Security;阿维 K. 莱诺 ;45;ML;Efficient Sociopath;Medium;M29025;x
29111;Minister of Security;卡洛 H. 休伊勒 ;46;ML;Prince of Terror;Medium;M29111;x
29112;Minister of Security;托依沃 J. 豪勒莱 ;36;SC;Compassionate Gentleman;Medium;M29112;x
29113;Minister of Security;埃斯科 瑞奇 ;37;SC;Crime Fighter;High;M29006;x
29114;Minister of Security;约翰 W. 蓝格 ;39;SC;Man of the People;High;M29059;x
29115;Minister of Security;柯尤苏泰 扎维尼恩 ;43;SC;Silent Lawyer;Medium;M29062;x
29116;Minister of Security;里斯托·海基·吕蒂;46;SC;Back Stabber;High;M29033;x
29117;Minister of Security;朱科尔 埃塔尔 ;36;FA;Prince of Terror;Low;M29015;x
29118;Minister of Security;布鲁诺 萨尔米亚拉 ;43;FA;Back Stabber;Medium;M29011;x
29119;Minister of Security;阿维 莱诺 ;39;ST;Man of the People;Low;M29025;x
29120;Head of Military Intelligence;埃德瓦德 卡加拉 ;36;SD;Naval Intelligence Specialist;High;M29120;x
29121;Head of Military Intelligence;布鲁诺 苏维兰塔 ;44;SD;Dismal Enigma;High;M29121;x
29123;Head of Military Intelligence;哈杰马 F. 普罗科 ;41;ML;Political Specialist;High;M29123;x
29124;Head of Military Intelligence;伯恩特 R. 冯 费恩特 ;43;ML;Technical Specialist;High;M29124;x
29125;Head of Military Intelligence;阿杰 W. 普哈卡 ;36;SC;Dismal Enigma;Medium;M29005;x
29126;Head of Military Intelligence;维尼 L. 维尔夫 ;39;SC;Naval Intelligence Specialist;High;M29009;x
29127;Head of Military Intelligence;托依沃 M. 基维马奇 ;43;SC;Logistics Specialist;High;M29002;x
29128;Head of Military Intelligence;葛瑞格 A. 德 格里彭博格 ;44;SC;Industrial Specialist;High;M29097;x
29129;Head of Military Intelligence;维尔霍 安纳拉 ;36;FA;Dismal Enigma;Medium;M29016;x
29130;Head of Military Intelligence;维特里 科索拉 ;44;FA;Industrial Specialist;Medium;M29012;x
29131;Head of Military Intelligence;图尔 莱恩 ;39;ST;Political Specialist;High;M29026;x
29132;Chief of Staff;莱昂纳德 格兰代尔 ;36;SD;School of Fire Support;Very High;M29093;x
29136;Chief of Staff;雨果 奥斯特曼 ;36;SC;School of Mass Combat;Medium;M29008;x
29137;Chief of Staff;卡尔 G. 曼纳海姆 ;40;SC;School of Defence;Very High;M29034;x
29138;Chief of Staff;库尔特 威廉纽斯 ;36;FA;School of Psychology;High;M29017;x
29139;Chief of Staff;阿克塞利 安泰拉 ;39;ST;School of Mass Combat;Very High;M29027;x
29140;Chief of Army;卡尔 维隆马 ;36;SD;Guns and Butter Doctrine;Very High;M29140;x
29144;Chief of Army;K.L. 埃斯 ;36;SC;Elastic Defence Doctrine;High;M29007;x
29145;Chief of Army;卡尔 G. 曼纳海姆 ;40;SC;Decisive Battle Doctrine;Very High;M29034;x
29146;Chief of Army;维尔霍 赫兰尼 ;36;FA;Static Defence Doctrine;High;M29018;x
29147;Chief of Army;阿克塞利 安泰拉 ;39;ST;Guns and Butter Doctrine;Very High;M29027;x
29148;Chief of Navy;克里斯 豪罗拉 ;36;SD;Open Seas Doctrine;High;M29148;x
29150;Chief of Navy;埃罗 拉豪拉 ;36;SC;Power Projection Doctrine;High;M29150;x
29151;Chief of Navy;劳利 提艾尼 ;36;FA;Decisive Naval Battle Doctrine;Medium;M29019;x
29152;Chief of Navy;埃罗 拉豪拉 ;39;ST;Indirect Approach Doctrine;Very High;M29029;x
29153;Chief of Air Force;瓦里奥 波尔瓦里 ;36;SD;Army Aviation Doctrine;Very High;M29153;x
29155;Chief of Air Force;托依沃 索默托 ;36;SC;Air Superiority Doctrine;Very High;M29155;x
29156;Chief of Air Force;陶努 维加南 ;36;FA;Army Aviation Doctrine;Medium;M29020;x
29157;Chief of Air Force;阿克塞利 安泰拉 ;39;ST;Army Aviation Doctrine;Very High;M29027;x
29158;Foreign Minister;卡尔 J. 恩克尔 ;44;PA;Biased Intellectual;Medium;M29070;x
29160;Head of Government;卡尔 R. 瓦尔登 ;40;SC;Happy Amateur;Medium;M29098;x
29161;Head of Government;埃德温 H. 林考米斯 ;43;PA;Naive Optimist;High;M29063;x
29162;Head of State;屈厄斯蒂·卡利奥;37;ML;Stern Imperialist;High;M29032;x
29163;Head of State;卡尔 G. 曼纳海姆 ;44;ML;Resigned Generalissimo;High;M29034;x
29164;Head of Government;卡尔 A. 法格霍姆 ;48;SD;Ambitious Union Boss;High;M29083;x
29165;Minister of Armament;拉尔夫 约翰 陶格伦 ;48;SD;Military Entrepreneur;Medium;M29165;x
29166;Minister of Security;卡尔 A. 法格霍姆 ;48;SD;Man of the People;Medium;M29083;x
29167;Foreign Minister;阿克 亨里克 加茨 ;50;ML;Apologetic Clerk;Medium;M29167;x
29168;Foreign Minister;萨卡里 S. 杜米奥雅 ;51;ML;Biased Intellectual;Medium;M29168;x
29169;Foreign Minister;乌尔霍 K. 吉科宁 ;52;ML;Iron Fisted Brute;Medium;M29051;x
29170;Minister of Armament;奥尼 A. 希特南 ;50;ML;Infantry Proponent;Very High;M29170;x
29171;Minister of Armament;维埃诺 约翰内斯 苏克舍拉宁 ;51;ML;Administrative Genius;Very High;M29171;x
29172;Minister of Armament;维尔加 兰塔拉 ;52;ML;Laissez-Faire Capitalist;Very High;M29172;x
29173;Chief of Staff;约翰内斯 希霍 ;48;SL;School of Psychology;Very High;L9738;x
29174;Chief of Army;卡洛 马尔姆博格 ;47;SL;Armoured Spearhead Doctrine;Very High;L9723;x
29175;Chief of Navy;欧拉维 阿霍 ;48;SL;Indirect Approach Doctrine;Medium;L9757;x
29176;Chief of Air Force;欧拉维 萨尔科 ;48;SL;Vertical Envelopment Doctrine;Very High;L9777;x
