COL;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
37099;Minister of Security;恩里克 戈麦斯 胡塔多 ;45;SL;Crime Fighter;Medium;M37099;x
37100;Minister of Security;爱德瓦多 祖勒他 卡斯蒂洛 ;46;SL;Crooked Kleptocrat;High;M37064;x
37101;Minister of Security;卡萨勒 伯纳 古斯塔夫斯 ;38;SC;Crooked Kleptocrat;Medium;M37101;x
37102;Minister of Security;约瑟 伊里斯 奎因萨多 ;42;SC;Back Stabber;Medium;M37016;x
37103;Minister of Security;乌皮亚诺 伦吉弗 卡登纳斯 ;45;SC;Efficient Sociopath;Medium;M37103;x
37104;Minister of Security;弗朗西斯科 约瑟 乌尔提亚 ;47;SC;Man of the People;Medium;M37096;x
37105;Minister of Security;马勒茨 罗德利格斯 罗丹 ;38;FA;Efficient Sociopath;Low;M37013;x
37106;Minister of Security;古斯塔夫 罗杰斯 皮尼拉 ;45;PA;Prince of Terror;Medium;M37040;x
37107;Minister of Security;M.E. 罗杰斯 德 莫勒诺 ;47;PA;Man of the People;Medium;M37107;x
37108;Minister of Security;里昂 德 古里夫 ;38;LWR;Man of the People;Very Low;M37025;x
37109;Minister of Security;乔杰 洛佩斯 苏约 ;41;LWR;Prince of Terror;Low;M37109;x
37110;Minister of Security;达尔 伊卡汉德 ;46;LWR;Compassionate Gentleman;Medium;M37045;x
37111;Head of Military Intelligence;乔杰 洛佩斯 苏约 ;42;SD;Political Specialist;Low;M37109;x
37112;Head of Military Intelligence;曼努埃尔 阿利赞 洛佩斯 ;44;SD;Technical Specialist;Low;M37112;x
37113;Head of Military Intelligence;爱德瓦多 桑托斯 蒙特约 ;38;SL;Technical Specialist;Medium;M37032;x
37114;Head of Military Intelligence;马里希奥 索托 戈麦斯 ;42;SL;Naval Intelligence Specialist;Medium;M37081;x
37116;Head of Military Intelligence;恩里库 迪茨 卡里斯 ;46;SL;Political Specialist;Low;M37116;x
37117;Head of Military Intelligence;爱德瓦多 伯勒尔 伊斯库巴 ;38;SC;Logistics Specialist;Medium;M37008;x
37118;Head of Military Intelligence;安东尼奥 阿瑟维多  伊斯库巴 ;42;SC;Dismal Enigma;Medium;M37014;x
37119;Head of Military Intelligence;古勒莫 帕蒂拉 马里奎 ;45;SC;Dismal Enigma;Medium;M37119;x
37120;Head of Military Intelligence;约瑟 伊斯利 奎因萨多 ;38;FA;Logistics Specialist;Medium;M37016;x
37121;Head of Military Intelligence;马勒茨 罗德利格斯 罗丹 ;46;PA;Political Specialist;Low;M37013;x
37122;Head of Military Intelligence;恩里库 迪斯 卡里斯 ;47;PA;Dismal Enigma;Low;M37116;x
37123;Head of Military Intelligence;奎拉斯塔 瑟劳 ;38;ST;Dismal Enigma;Medium;M37021;x
37124;Head of Military Intelligence;里昂 德 古里夫 ;46;LWR;Technical Specialist;Very Low;M37025;x
37126;Chief of Staff;陆伊斯 阿瑟维多 ;42;SD;School of Mass Combat;Medium;M37009;x
37127;Chief of Staff;约瑟 古萨 伊斯卡拉 ;43;SD;School of Defence;Medium;M37127;x
37128;Chief of Staff;卡米洛 达扎 阿尔维拉斯 ;38;SL;School of Psychology;Medium;M37078;x
37130;Chief of Staff;爱德瓦多 伯勒尔 伊斯库巴 ;38;SC;School of Fire Support;High;M37008;x
37131;Chief of Staff;萨尔瓦多 提亚加 贡扎尔茨 ;42;SC;School of Psychology;High;M37131;x
37132;Chief of Staff;鲁本 皮德拉希塔  阿兰格 ;38;PA;School of Manoeuvre;Medium;M37017;x
37133;Chief of Staff;古斯塔夫 罗杰斯 皮尼拉 ;46;PA;School of Psychology;Medium;M37133;x
37134;Chief of Staff;陆伊斯 伯纳多 安德拉德 ;38;ST;School of Psychology;Medium;M37027;x
37135;Chief of Staff;乔杰 洛佩斯 苏约 ;46;LWR;School of Manoeuvre;Low;M37109;x
37136;Chief of Army;陆伊斯 阿瑟维多 ;38;SD;Armoured Spearhead Doctrine;Medium;M37009;x
37137;Chief of Army;古斯塔夫 罗杰斯 皮尼拉 ;44;SD;Static Defence Doctrine;Medium;M37133;x
37138;Chief of Army;曼努埃尔 奎因诺斯 ;38;SL;Static Defence Doctrine;Medium;M37138;x
37139;Chief of Army;约瑟 古萨 伊斯卡拉 ;42;SL;Elastic Defence Doctrine;Medium;M37127;x
37140;Chief of Army;鲁本 皮德拉希塔 阿兰格 ;38;SC;Decisive Battle Doctrine;Medium;M37017;x
37141;Chief of Army;古勒莫 帕蒂拉 马里奎 ;46;SC;Guns and Butter Doctrine;Medium;M37119;x
37143;Chief of Army;奎拉斯塔 瑟劳 ;38;ST;Guns and Butter Doctrine;Medium;M37021;x
37145;Chief of Navy;马里奥 伊斯皮纳扎 加西图瓦 ;38;SL;Decisive Naval Battle Doctrine;Medium;M37019;x
37146;Chief of Navy;马里希奥 索托 戈麦斯 ;45;SL;Open Seas Doctrine;Medium;M37081;x
37147;Chief of Navy;萨尔瓦多 提亚加 贡扎尔茨 ;38;SC;Base Control Doctrine;High;M37131;x
37149;Chief of Navy;加布莱尔 昆坦尼拉 莫拉斯 ;38;LWR;Power Projection Doctrine;Medium;M37029;x
37150;Chief of Air Force;陆伊斯 阿瑟维多 ;42;SD;Naval Aviation Doctrine;Medium;M37009;x
37151;Chief of Air Force;萨尔瓦多 提亚加 贡扎尔茨 ;43;SD;Vertical Envelopment Doctrine;High;M37131;x
37152;Chief of Air Force;曼努埃尔 奎因诺斯 ;38;SL;Carpet Bombing Doctrine;Medium;M37138;x
37153;Chief of Air Force;卡米洛 达扎 阿尔维拉斯 ;42;SL;Air Superiority Doctrine;Medium;M37078;x
37154;Chief of Air Force;阿图洛 勒马 帕萨达 ;45;SL;Vertical Envelopment Doctrine;Medium;M37154;x
37156;Chief of Air Force;菲利克斯 梅卡多 ;38;SC;Army Aviation Doctrine;Medium;M37156;x
37157;Chief of Air Force;恩里库 迪斯 卡里斯 ;42;SC;Naval Aviation Doctrine;Low;M37116;x
37158;Chief of Air Force;陆伊斯 罗德利格斯 ;38;PA;Carpet Bombing Doctrine;Medium;M37020;x
37159;Chief of Air Force;杰尔曼 欧兰诺 ;45;PA;Air Superiority Doctrine;Medium;M37010;x
37160;Chief of Air Force;陆伊斯 伯纳多 安德拉德 ;38;ST;Naval Aviation Doctrine;Medium;M37027;x
37161;Chief of Air Force;拉菲尔 霍尔曼 ;46;LWR;Vertical Envelopment Doctrine;Medium;M37094;x
37166;Head of State;阿方索 李奥斯 普马尔乔 ;42;SD;Weary Stiffneck;High;M37001;x
37167;Head of State;古斯塔夫 罗杰斯 皮尼拉 ;45;SD;Resigned Generalissimo;High;M37040;x
37168;Head of State;劳里诺 吉兹 卡斯特罗 ;50;SC;Barking Buffoon;High;M37067;x
37169;Chief of Army;加布莱尔 帕里斯 古迪洛 ;52;SD;Elastic Defence Doctrine;Medium;M37169;x
