GRE;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
18107;Minister of Armament;尼古拉斯 普拉斯提拉斯 ;45;PA;Infantry Proponent;Very High;M18060;x
18108;Minister of Armament;吉奥吉斯 先托斯 ;36;ST;Resource Industrialist;High;M18021;x
18109;Minister of Security;乔治 帕潘德里欧 ;36;SL;Efficient Sociopath;High;M18015;x
18110;Minister of Security;马科斯 阿甘诺梭斯 ;41;SL;Silent Lawyer;Medium;M18086;x
18111;Minister of Security;埃利亚斯 帕纳吉里斯 ;44;SL;Crime Fighter;Medium;M18111;x
18112;Minister of Security;伊万基洛斯 帕帕诺德索斯 ;45;SL;Compassionate Gentleman;Medium;M18112;x
18113;Minister of Security;帕纳吉奥里斯 波利萨斯 ;46;SL;Prince of Terror;High;M18048;x
18114;Minister of Security;吉奥吉奥斯 尼古拉蒂斯 ;36;SC;Back Stabber;Medium;M18114;x
18115;Minister of Security;劳尔 比比卡 罗塞蒂 ;41;SC;Compassionate Gentleman;Medium;M18115;x
18116;Minister of Security;迪米特里奥斯 马克西莫斯 ;44;SC;Crime Fighter;High;M18054;x
18117;Minister of Security;康斯坦丁 查達里斯 ;44;SC;Man of the People;Medium;M18117;x
18118;Minister of Security;萨纳西斯 阿尼德斯 ;45;SC;Efficient Sociopath;Medium;M18118;x
18119;Minister of Security;帕纳吉奥蒂斯 卡凡塔里斯 ;46;SC;Silent Lawyer;Medium;M18119;x
18120;Minister of Security;史蒂芬诺斯 拉金托斯 ;47;SC;Crooked Kleptocrat;Medium;M18120;x
18122;Minister of Security;克里斯托斯 辛加特斯 ;38;FA;Prince of Terror;Medium;M18104;x
18123;Minister of Security;格里高利 莫诺夫 ;41;NS;Crime Fighter;Low;M18040;x
18124;Minister of Security;马里奥 维塞里诺 ;42;NS;Back Stabber;Low;M18041;x
18125;Minister of Security;赖因哈德 阿登堡 ;43;NS;Crooked Kleptocrat;High;M18042;x
18126;Minister of Security;达马斯基诺斯 大主教 ;44;PA;Efficient Sociopath;Very High;M18032;x
18127;Minister of Security;阿奇比亚德斯 史蒂芬诺普洛斯 ;44;PA;Compassionate Gentleman;Medium;M18100;x
18128;Minister of Security;克里斯托斯 乔塔菲利蒂斯 ;46;PA;Man of the People;Medium;M18128;x
18129;Minister of Security;吉安内斯 伊奥内德斯 ;36;ST;Prince of Terror;High;M18025;x
18130;Minister of Security;马科斯 瓦普哈蒂斯 ;41;ST;Silent Lawyer;High;M18066;x
18131;Minister of Security;斯特拉托斯 佩奥姆斯 ;45;ST;Efficient Sociopath;Medium;M18131;x
18132;Head of Military Intelligence;乔治 帕潘德里欧 ;36;SL;Political Specialist;High;M18015;x
18133;Head of Military Intelligence;科斯塔 莫拉斯 ;44;SL;Naval Intelligence Specialist;Medium;M18133;x
18134;Head of Military Intelligence;阿纳斯塔西奥斯 巴迪维利亚斯 ;36;SC;Naval Intelligence Specialist;Medium;M18097;x
18135;Head of Military Intelligence;乔治 德罗索普洛斯 ;41;SC;Technical Specialist;High;M18135;x
18136;Head of Military Intelligence;乔治 斯瑞特 ;44;SC;Industrial Specialist;High;M18136;x
18137;Head of Military Intelligence;阿纳塔西奥斯 卡纳洛普洛斯 ;46;SC;Dismal Enigma;Very High;M18098;x
18138;Head of Military Intelligence;亚历山大 普洛帕尼斯 ;47;SC;Logistics Specialist;Medium;M18138;x
18139;Head of Military Intelligence;克里斯托斯 乔塔菲利蒂斯 ;36;FA;Dismal Enigma;Medium;M18128;x
18140;Head of Military Intelligence;阿奇比亚德斯 史蒂芬诺普洛斯 ;37;FA;Industrial Specialist;Medium;M18100;x
18141;Head of Military Intelligence;克里斯托斯 辛加特斯 ;41;NS;Industrial Specialist;Medium;M18104;x
18142;Head of Military Intelligence;塞万斯蒂安 弗利蒂斯 ;42;NS;Logistics Specialist;High;M18142;x
18143;Head of Military Intelligence;拿破仑 泽瓦斯 ;44;PA;Logistics Specialist;Low;M18143;x
18145;Head of Military Intelligence;吉安内斯 伊奥内德斯 ;36;ST;Political Specialist;High;M18025;x
18146;Head of Military Intelligence;厄里皮蒂斯 巴吉尔奎斯 ;41;ST;Industrial Specialist;High;M18065;x
18150;Chief of Staff;亚历山大 帕普哥斯 ;36;SC;School of Defence;Medium;M18007;x
18151;Chief of Staff;吉奥吉奥斯 拉乌达斯 ;39;SC;School of Manoeuvre;Medium;M18099;x
18152;Chief of Staff;帕拉斯克斯 梅里斯诺斯 ;40;SC;School of Mass Combat;Medium;M18152;x
18153;Chief of Staff;瓦希里奥斯 特索诺卡斯 ;44;SC;School of Fire Support;Medium;M18153;x
18154;Chief of Staff;阿纳斯塔西奥斯 萨凯拉里欧 ;46;SC;School of Psychology;Medium;M18009;x
18155;Chief of Staff;吉奥吉奥斯 坎迪里斯 ;36;FA;School of Manoeuvre;Medium;M18155;x
18157;Chief of Staff;乔治 特索拉古洛 ;41;NS;School of Manoeuvre;Very High;M18056;x
18158;Chief of Staff;尼古拉斯 普拉斯提拉斯 ;44;PA;School of Psychology;Very High;M18060;x
18159;Chief of Staff;莱昂尼达斯 帕拉斯克沃普洛斯 ;46;PA;School of Mass Combat;Medium;M18159;x
18160;Chief of Staff;史蒂芬诺斯 萨拉菲斯 ;36;ST;School of Mass Combat;High;M18027;x
18162;Chief of Army;吉奥吉奥斯 卢梭普洛斯 ;41;SL;Elastic Defence Doctrine;Low;M18162;x
18165;Chief of Army;瓦希里奥斯 特索诺卡斯 ;41;SC;Decisive Battle Doctrine;Low;M18153;x
18166;Chief of Army;乔治 斯瑞特 ;44;SC;Guns and Butter Doctrine;Low;M18136;x
18167;Chief of Army;吉奥吉奥斯 拉乌达斯 ;45;SC;Armoured Spearhead Doctrine;Low;M18099;x
18169;Chief of Army;特奥多尔 潘加洛斯 ;38;FA;Static Defence Doctrine;Low;M18008;x
18170;Chief of Army;乔治 特索拉古洛 ;41;NS;Decisive Battle Doctrine;Very High;M18056;x
18171;Chief of Army;尼古拉斯 普拉斯提拉斯 ;44;PA;Guns and Butter Doctrine;Very High;M18060;x
18172;Chief of Army;阿里斯 维勒奇奥蒂斯 ;36;ST;Decisive Battle Doctrine;High;M18028;x
18173;Chief of Navy;尼古拉斯 沃西斯 ;36;SL;Base Control Doctrine;High;M18019;x
18174;Chief of Navy;塔麦乔斯 高西斯 ;41;SL;Decisive Naval Battle Doctrine;High;M18090;x
18176;Chief of Navy;阿莱西奥 塔萨莫托斯 ;41;SC;Decisive Naval Battle Doctrine;High;M18091;x
18177;Chief of Navy;佩特罗斯 沃尔加里斯 ;44;SC;Indirect Approach Doctrine;Low;M18061;x
18179;Chief of Navy;亚历山大 奥科诺莫 ;41;NS;Open Seas Doctrine;Very Low;M18179;x
18181;Chief of Navy;米利提达斯 波凡拉金斯 ;36;ST;Decisive Naval Battle Doctrine;High;M18029;x
18183;Chief of Air Force;加西亚 基纳多斯 ;41;SL;Carpet Bombing Doctrine;Medium;M18096;x
18184;Chief of Air Force;尤索纳索斯 佩里克斯 ;44;SL;Vertical Envelopment Doctrine;Medium;M18184;x
18185;Chief of Air Force;帕纳高迪斯 帕帕尼古拉 ;36;SC;Carpet Bombing Doctrine;Medium;M18182;x
18186;Chief of Air Force;安托万 弗兰古里斯 ;41;SC;Air Superiority Doctrine;Medium;M18092;x
18187;Chief of Air Force;阿纳斯塔西奥斯 巴迪维利亚斯 ;44;SC;Naval Aviation Doctrine;Medium;M18097;x
18191;Chief of Air Force;尼科斯 贝罗亚尼斯 ;36;ST;Naval Aviation Doctrine;High;M18030;x
18192;Foreign Minister;地米斯托克利 索夫卢斯 ;36;SL;The Cloak N Dagger Schemer;high;M18014;x
18194;Head of State;达马斯基诺斯 大主教 ;46;SL;Barking Buffoon;High;M18032;x
18195;Head of State;达马斯基诺斯 大主教 ;46;SC;Barking Buffoon;High;M18032;x
18196;Head of State;乔治二世 ;46;SL;Insignificant Layman;High;M18001;x
18197;Head of State;乔治二世 ;46;SC;Insignificant Layman;High;M18001;x
18198;Head of Government;地米斯托克利 索夫卢斯 ;46;SL;Flamboyant Tough Guy;High;M18014;x
18199;Head of Government;康斯坦丁 查達里斯 ;47;SC;Corporate Suit;NA;M18053;x
18200;Foreign Minister;艾欧尼斯 萨芬诺普洛斯 ;45;PA;The Cloak N Dagger Schemer;Medium;M18068;x
18201;Foreign Minister;佩特罗斯 沃尔加里斯 ;45;PA;Biased Intellectual;High;M18061;x
18202;Head of Government;亚历山大迪奥米蒂斯 ;49;SL;Political Protege;High;M18202;x
18203;Head of Government;艾欧尼斯 索托基斯 ;50;SL;Happy Amateur;High;M18203;x
18204;Head of Government;迪米特里奥斯 吉奥索普洛斯 ;52;SC;Smiling Oilman;High;M18204;x
18205;Head of Government;亚历山大 帕普哥斯 ;52;SC;Old General;High;M18007;x
18206;Foreign Minister;帕纳奥提斯 皮潘内里斯 ;50;SC;Apologetic Clerk;Very High;M18206;x
18207;Foreign Minister;史蒂芬诺斯 史蒂芬诺普洛斯 ;52;SC;Biased Intellectual;Very High;M18207;x
