BHU;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
74027;Minister of Armament;兰戈亚尔 巴哈杜尔 ;44;PA;Strategic Air Proponent;Medium;M74007;x
74028;Minister of Armament;阿瑟 约翰 霍普金森 ;44;PA;Theoretical Scientist;High;M74016;x
74029;Minister of Armament;索南 帕拉杜哈 ;45;PA;Tank Proponent;Medium;M74029;x
74030;Minister of Security;阿马德 亚哈斯 ;39;PA;Prince of Terror;Medium;M74004;x
74031;Minister of Security;巴西尔 古尔德爵士 ;40;PA;Silent Lawyer;High;M74011;x
74032;Minister of Security;索南 托布加伊 多杰 ;40;PA;Man of the People;Medium;M74002;x
74033;Minister of Security;兰戈亚尔 巴哈杜尔 ;42;PA;Compassionate Gentleman;Medium;M74007;x
74034;Minister of Security;卡尔马 S. 巴哈杜尔 ;44;PA;Back Stabber;Medium;M74019;x
74035;Minister of Security;爱德华 库克 ;44;PA;Efficient Sociopath;High;M74017;x
74036;Minister of Security;威廉 斯蒂文斯on 梅耶尔 ;45;PA;Crime Fighter;Medium;M74015;x
74037;Head of Military Intelligence;阿瑟 约翰 霍普金森 ;36;PA;Technical Specialist;High;M74016;x
74038;Head of Military Intelligence;爱德华 库克 ;38;PA;Political Specialist;High;M74017;x
74039;Head of Military Intelligence;兰戈亚尔 巴哈杜尔 ;41;PA;Industrial Specialist;Medium;M74007;x
74040;Head of Military Intelligence;亨利 威东-古尔德 ;43;PA;Logistics Specialist;Medium;M74040;x
74041;Head of Military Intelligence;卡尔马 S. 巴哈杜尔 ;43;PA;Dismal Enigma;Medium;M74019;x
74042;Head of Military Intelligence;汤米 古尔德 ;43;PA;Naval Intelligence Specialist;Medium;M74009;x
74043;Chief of Staff;菲利普 托泽伊 ;39;PA;School of Defence;Medium;M74008;x
74044;Chief of Staff;汤米 古尔德 ;43;PA;School of Psychology;Medium;M74009;x
74045;Chief of Staff;雷吉诺德 B. 斯蒂文斯 ;41;PA;School of Manoeuvre;Medium;M74006;x
74046;Chief of Staff;亨利 威东-古尔德 ;42;PA;School of Mass Combat;Medium;M74040;x
74047;Chief of Staff;索南 帕拉杜哈 ;44;PA;School of Fire Support;Medium;M74029;x
74049;Chief of Army;吉格梅 旺楚克 ;40;PA;Static Defence Doctrine;Medium;M74001;x
74050;Chief of Army;雷吉诺德 B. 斯蒂文斯 ;43;PA;Decisive Battle Doctrine;Medium;M74006;x
74051;Chief of Army;索南 帕拉杜哈 ;45;PA;Armoured Spearhead Doctrine;Medium;M74029;x
74052;Chief of Army;亨利 威东-古尔德 ;45;PA;Guns and Butter Doctrine;Medium;M74040;x
74053;Chief of Navy;阿马德 亚哈斯 ;44;PA;Decisive Naval Battle Doctrine;Medium;M74004;x
74054;Chief of Air Force;比尔 科勒特 ;43;PA;Army Aviation Doctrine;Medium;M74026;x
74055;Chief of Air Force;兰戈亚尔 巴哈杜尔 ;45;PA;Carpet Bombing Doctrine;Medium;M74007;x
74056;Head of State;吉格梅 多杰 旺楚克 ;52;PA;Weary Stiffneck;High;M74056;x
74057;Head of Government;吉格梅 帕尔登 多杰 ;52;PA;Corporate Suit;High;M74057;x
