u04;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
400014;Minister of Armament;安东·斯切格诺夫 ;36;SC;Military Entrepreneur;Medium;M4014;x
400015;Minister of Security;弗拉基米尔·马雷伊什金 ;36;FA;Back Stabber;Very High;M4015;x
400016;Chief of Staff;米哈伊尔·门德洛夫 ;36;SC;School of Defense;Very High;M4016;x
400017;Chief of Staff;费多尔·托尔金 ;36;FA;School of Mass Combat;High;M4017;x
400018;Chief of Army;维塔利·马尔采夫 ;36;FA;Elastic Defense Doctrine;Very High;M4018;x
400019;Chief of Navy;P 杜鲁斯特 ;36;FA;Power Projection Doctrine;High;M4019;x
400020;Chief of Air Force;S A 车尔尼克 ;36;ML;Army Aviation Doctrine;High;M4020;x
400023;Foreign Minister;德米特里·帕夫洛维奇 ;36;SC;Biased Intellectual;Medium;M4023;x
400024;Chief of Army;弗拉基米尔·斯米尔诺夫 ;36;SC;Armoured Spearhead Doctrine;High;M4024;x
400025;Minister of Security;伊格尔·特鲁别茨柯依 ;36;ML;Man of the People;Medium;M4025;x
400026;Head of Military Intelligence;伊格尔·特鲁别茨柯依 ;36;SC;Technical Specialist;Medium;M4025;x
400027;Chief of Staff;康斯坦丁·罗科索夫斯基 ;36;ML;School of Manoeuvre;High;M4027;x
400028;Chief of Army;格奥尔基·朱可夫 ;36;ML;Decisive Battle Doctrine;Medium;M4028;x
400029;Chief of Navy;尼古拉·库兹涅佐夫 ;36;ML;Decisive Naval Battle Doctrine;Medium;M4029;x
400030;Chief of Air Force;帕威尔·日加列夫 ;36;SC;Army Aviation Doctrine;Medium;M4030;x
400071;Minister of Armament;尼古拉·布尔加宁 ;53;ST;Resource Industrialist;High;M4071;x
400083;Head of State;克莱门特·伏罗希洛夫 ;53;ST;Resigned Generalissimo;High;M4008;x
400081;Head of Government;尼基塔·赫鲁晓夫 ;58;ST;Flamboyant Tough Guy;High;M4075;x
400082;Minister of Armament;尼·布哈林 ;36;LE;Administrative Genius;Very high;M4076;x
400077;Minister of Security;谢尔盖·克鲁格洛夫 ;53;ST;Back Stabber;Very High;M4077;x
400078;Head of Military Intelligence;维克托·阿巴库莫夫 ;46;ST;Naval Aviation Doctrine;Very High;M4078;x
400079;Head of Military Intelligence;谢苗·伊格纳托夫 ;51;ST;Political Specialist;Very High;M4079;x
400080;Head of Military Intelligence;伊万·谢罗夫 ;53;ST;Political Specialist;Very High;M4080;x
400084;Head of State;列昂尼德·勃列日涅夫 ;60;LE;Benevolent Gentleman;High;M4084;x
400085;Head of Government;格奥尔基·马林科夫 ;53;ST;Political Protege;High;M4085;x
400086;Head of Government;尼古拉·布尔加宁 ;55;ST;Old General;High;M4071;x
400087;Foreign Minister;德米特里·谢皮洛夫 ;56;ST;Apologetic Clerk;Medium;M4087;x
400088;Foreign Minister;安德烈·葛罗米柯 ;57;ST;The Cloak N Dagger Schemer;Medium;M4088;x
400089;Minister of Armament;格奥尔基·朱可夫 ;55;ST;Military Entrepreneur;High;M4028;x
400090;Minister of Armament;罗迪安·马利诺夫斯基 ;59;ST;Tank Proponent;High;L10102;x
400091;Minister of Security;尼古拉·杜多罗夫 ;56;ST;Back Stabber;Very High;M4091;x
400092;Head of Military Intelligence;亚历山大·谢列平 ;58;ST;Political Specialist;Very High;M4092;x
400093;Head of Military Intelligence;弗拉基米尔 谢米恰斯内 ;61;ST;Dismal Enigma;Very High;M4093;x
