BLR;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
517031;Minister of Security;米哈伊 博驰-布鲁维希 ;36;LE;Man of the People;Medium;M517025;x
517032;Minister of Security;亚历山大 奥萨金-弗拉基米尔斯基 ;36;SD;Crime Fighter;Medium;M517004;x
517033;Minister of Security;拉伊萨 谢尼尤什 ;36;SC;Efficient Sociopath;Medium;M517033;x
517034;Minister of Security;库特 冯 格特堡 ;36;NS;Prince of Terror;Medium;M517034;x
517035;Minister of Security;康斯坦丁 沃斯科博伊尼克夫 ;36;NS;Silent Lawyer;Medium;M517035;x
517036;Head of Military Intelligence;庞特雷恩 波诺马伦科 ;36;LE;Industrial Specialist;Medium;M517036;x
517037;Head of Military Intelligence;亚历山大 I. 克里维茨基 ;36;SD;Political Specialist;Medium;M517029;x
517038;Head of Military Intelligence;卡尔 兰德尔 ;36;SD;Dismal Enigma;Medium;M517017;x
517039;Head of Military Intelligence;尤里 舒雷维希 ;36;SC;Technical Specialist;Medium;M517022;x
517040;Head of Military Intelligence;米哈伊 博驰-布鲁维希 ;36;NS;Technical Specialist;Medium;M517025;x
517041;Head of Military Intelligence;尤里 B. 加马尼克 ;36;NS;Political Specialist;Medium;M517005;x
517042;Head of Military Intelligence;瓦尔特 达里 ;36;NS;Logistics Specialist;Medium;M517042;x
517043;Chief of Staff;弗拉基米尔 I. 车尔雅科夫 ;36;SD;School of Fire Support;Medium;M517010;x
517044;Chief of Staff;尤里 B. 加马尼克 ;36;SC;School of Psychology;Medium;M517005;x
517045;Chief of Staff;瓦西利伊 苏埃拉特 ;36;NS;School of Defence;Medium;M517045;x
517046;Chief of Army;瑟拉费姆 波克罗弗斯基 ;36;SD;Static Defence Doctrine;Medium;M517007;x
517047;Chief of Army;约泽夫 道博尔-姆斯尼克 ;36;SC;Decisive Battle Doctrine;Medium;M517047;x
517048;Chief of Army;博洛尼斯拉夫 卡明斯基 ;36;NS;Guns and Butter Doctrine;Medium;M517048;x
517049;Chief of Navy;亚历山大 伊日乌莫夫 ;36;SD;Base Control Doctrine;Medium;M517049;x
517050;Chief of Navy;弗里德里希 威廉 库兹尔 ;36;SC;Open Seas Doctrine;Medium;M517050;x
517051;Chief of Navy;埃尔哈德 蒙滕斯 ;36;NS;Base Control Doctrine;Medium;M517051;x
517052;Chief of Air Force;尼科莱伊 F. 基卡洛 ;36;SD;Army Aviation Doctrine;Medium;M517030;x
517053;Chief of Air Force;亚历山大 伊日乌莫夫 ;36;SC;Vertical Envelopment Doctrine;Medium;M517049;x
517054;Chief of Air Force;汉斯 巴乌尔 ;36;NS;Air Superiority Doctrine;Medium;M517054;x
