ITA;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
3100;Minister of Security;维托 吕艾尔 ;44;SC;Crime Fighter;High;M3100;x
3101;Minister of Security;马里奥 谢尔巴 ;47;SC;Back Stabber;High;M3101;x
3102;Minister of Security;萨尔瓦多 阿尔第索 ;44;SL;Prince of Terror;High;M3102;x
3103;Minister of Security;伊万诺 博诺米 ;45;SL;Efficient Sociopath;High;M3048;x
3104;Minister of Security;费卢西奥 帕里 ;47;SL;Man of the People;High;M3049;x
3105;Minister of Security;朱塞佩 罗米塔 ;36;LWR;Compassionate Gentleman;High;M3105;x
3106;Minister of Security;帕米罗 陶里亚蒂 ;41;LWR;Crime Fighter;High;M3021;x
3107;Minister of Security;朱利安 朱加格提亚 门第塔 ;43;ST;Efficient Sociopath;High;M3107;x
3108;Head of Military Intelligence;安佐 加比亚蒂 ;36;FA;Political Specialist;Very High;M3108;x
3109;Minister of Security;迪诺 格兰第 ;36;FA;Grandii;High;M3056;x
3110;Head of Military Intelligence;阿尔弗雷德 马斯切奥 ;43;FA;Dismal Enigma;Low;M3110;x
3112;Head of Military Intelligence;贾科莫 卡波尼 ;45;NS;Industrial Specialist;Low;M3112;x
3115;Head of Military Intelligence;马格里罗 费拉里斯 ;36;SC;Political Specialist;Very High;M3115;x
3116;Head of Military Intelligence;朱塞佩 佩拉 ;45;SC;Logistics Specialist;High;M3116;x
3117;Head of Military Intelligence;伊热奥 瓦罗尼 ;46;SC;Naval Intelligence Specialist;High;M3117;x
3118;Head of Military Intelligence;爱米里奥 帕格里罗 ;44;SL;Industrial Specialist;High;M3118;x
3119;Head of Military Intelligence;A. 德 马林斯德 里西亚 ;46;SL;Technical Specialist;High;M3014;x
3120;Head of Military Intelligence;朱塞佩第 维托利奥 ;36;LE;Political Specialist;High;M3120;x
3121;Head of Military Intelligence;帕米罗 陶里亚蒂 ;41;LE;Technical Specialist;High;M3021;x
3122;Head of Military Intelligence;安东尼 佩热提 ;44;LWR;Technical Specialist;High;M3024;x
3124;Chief of Staff;乌戈 卡瓦莱罗 ;39;FA;School of Manoeuvre;High;M3124;x
3125;Chief of Staff;佩特罗 巴多格里奥 ;41;PA;School of Mass Combat;Medium;M3125;x
3126;Chief of Staff;阿希尔斯·塔拉切;39;NS;The Loyal Servant;High;M3126;x
3127;Chief of Staff;维托 卡塔斯提尼 ;45;NS;School of Manoeuvre;High;M3017;x
3128;Chief of Staff;维托里奥.安布罗西奥;42;PA;Ambrosioarmy;Low;M3128;x
3130;Chief of Staff;马里奥 西哥拉尼 ;36;SC;School of Fire Support;High;M3130;x
3132;Chief of Staff;埃托雷 孔蒂 ;45;SC;School of Manoeuvre;High;M3132;x
3133;Chief of Staff;鲁道夫 帕西里亚第 ;46;SC;School of Defence;High;M3133;x
3134;Chief of Staff;亚历山德罗 卡萨提 ;44;SL;School of Defence;High;M3134;x
3135;Chief of Staff;西皮里奥 法奇内蒂 ;45;SL;School of Mass Combat;High;M3083;x
3136;Chief of Staff;路易吉 加斯帕罗托 ;47;SL;School of Manoeuvre;High;M3136;x
3137;Chief of Staff;路易吉 隆哥 ;36;LWR;School of Mass Combat;High;M3022;x
3139;Chief of Army;鲁道夫 格拉兹亚尼 ;39;FA;Grazianiarmy;Medium;M3139;x
3175;Chief of Army;乔瓦尼·梅塞;39;FA;The Private Field Marshal;Medium;L6102;x
3140;Chief of Army;马里奥 罗阿塔 ;41;FA;The Black Beast;High;M3140;x
3141;Chief of Army;朱尼奥 鲍格才 ;43;NS;Decisive Battle Doctrine;High;M3044;x
3144;Chief of Army;迪奥尼西奥 安森罗提 ;37;SC;Elastic Defence Doctrine;High;M3144;x
3145;Chief of Army;恩里科 马特 ;47;SC;Decisive Battle Doctrine;High;M3018;x
3146;Chief of Army;A. 德 马林斯德 里西亚 ;44;SL;Elastic Defence Doctrine;High;M3014;x
3147;Chief of Army;贾恩卡洛 帕杰塔 ;36;LWR;Guns and Butter Doctrine;High;M3028;x
3149;Chief of Navy;阿托罗 里卡德第 ;40;FA;Indirect Approach Doctrine;Medium;M3149;x
3150;Chief of Navy;保罗 沙安-德-里威尔 ;43;NS;Open Seas Doctrine;Medium;M3035;x
3151;Chief of Navy;阿尔弗雷 罗科 ;45;NS;Decisive Naval Battle Doctrine;Medium;M3151;x
3154;Chief of Navy;拉斐尔 德 库尔特 ;43;SC;Open Seas Doctrine;Medium;M3019;x
3155;Chief of Navy;亚历山德罗 瑟里沙 ;36;SC;Open Seas Doctrine;High;M3155;x
3157;Chief of Navy;维托利奥 夏洛亚 ;46;SL;Power Projection Doctrine;High;M3157;x
3158;Chief of Navy;贾恩卡洛 帕杰塔 ;36;LWR;Open Seas Doctrine;High;M3028;x
3160;Chief of Air Force;弗朗切斯科 皮里可罗 ;39;FA;Naval Aviation Doctrine;High;M3160;x
3161;Chief of Air Force;里诺 科索 福吉埃 ;41;FA;Air Superiority Doctrine;Low;M3161;x
3163;Chief of Air Force;雷纳托 山塔里 ;43;PA;Army Aviation Doctrine;High;M3020;x
3164;Chief of Air Force;托马索 蒂托尼 ;36;SC;Army Aviation Doctrine;High;M3164;x
3165;Chief of Air Force;佩特罗 皮尔森提尼 ;44;SC;Naval Aviation Doctrine;High;M3165;x
3166;Chief of Air Force;安东尼 夏洛亚 ;44;SC;Vertical Envelopment Doctrine;High;M3166;x
3167;Chief of Air Force;路易吉 加斯帕罗托 ;45;SL;Army Aviation Doctrine;High;M3136;x
3014;Minister of Armament;A. 德 马林斯德 里西亚 ;36;SL;Administrative Genius;High;M3014;x
3016;Head of Military Intelligence;翁贝托 里奇 ;36;SC;Industrial Specialist;High;M3015;x
3018;Chief of Army;恩里科 马特 ;36;SC;Decisive Battle Doctrine;High;M3018;x
3168;Head of State;路易吉 埃纳乌迪 ;48;SC;Insignificant Layman;High;M3085;x
3169;Head of State;路易吉 埃纳乌迪 ;48;SL;Insignificant Layman;High;M3085;x
3170;Head of Government;朱塞佩 佩拉 ;53;SC;Silent Workhorse;High;M3116;x
3171;Foreign Minister;朱塞佩 佩拉 ;53;SC;Ideological Crusader;High;M3116;x
3172;Minister of Armament;鲁道夫 帕西里亚第 ;48;SC;Military Entrepreneur;High;M3133;x
3173;Minister of Armament;爱米里奥 保罗 塔维里 ;53;SC;Theoretical Scientist;High;M3173;x
3174;Minister of Security;阿明托雷 范范尼 ;53;SC;Compassionate Gentleman;High;M3174;x
