UBO;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
79627;Minister of Security;皮埃尔 奥古斯特 查丹尼 ;36;ML;Prince of Terror;Low;M2098;x
79628;Minister of Security;胡里奥 莱兹 奥利文 ;36;ML;Back Stabber;Medium;M11188;x
79629;Minister of Security;卡米尔 肖彭斯 ;36;ML;Man of the People;Medium;M2036;x
79630;Minister of Security;亚瑟 方丹 ;36;ML;Efficient Sociopath;Medium;M2106;x
79631;Minister of Security;亚历桑德罗 莱尔罗克斯 加西亚 ;36;ML;Crooked Kleptocrat;High;M11051;x
79632;Head of Military Intelligence;何塞 吉拉尔 佩雷拉 ;36;ML;Technical Specialist;High;M11220;x
79633;Head of Military Intelligence;丹尼尔 迈尔 ;36;ML;Logistics Specialist;Medium;M2023;x
79634;Head of Military Intelligence;里卡多 桑普尔 伊班内兹 ;36;ML;Political Specialist;Medium;M11104;x
79635;Head of Military Intelligence;雷内 尼古拉 ;36;ML;Dismal Enigma;High;M2112;x
79636;Head of Military Intelligence;何塞帕 塔拉德利亚斯 约安 ;36;ML;Industrial Specialist;Medium;M11218;x
79637;Head of Military Intelligence;雅克 布隆塞奇威格 ;36;ML;Naval Intelligence Specialist;High;M2132;x
79638;Chief of Staff;维森特 罗约 柳齐 ;36;ML;School of Manoeuvre;Very High;M11247;x
79639;Chief of Staff;莫里斯 甘末林 ;36;ML;School of Fire Support;Very High;M2007;x
79640;Chief of Staff;托里维奥 马丁兹 堪培拉 ;36;ML;School of Mass Combat;Medium;M11252;x
79641;Chief of Staff;马克西姆 维甘 ;36;ML;School of Defence;Very High;M2146;x
79642;Chief of Staff;曼努艾尔 埃斯特拉达 曼查 ;36;ML;School of Psychology;High;M11219;x
79643;Chief of Army;让 贝尔丁-贝萨乌斯 ;36;ML;Elastic Defence Doctrine;Medium;M2164;x
79644;Chief of Army;塞巴斯蒂安 波扎斯 佩雷亚 ;36;ML;Static Defence Doctrine;High;M11093;x
79645;Chief of Army;皮埃尔 法比安 ;36;ML;Decisive Battle Doctrine;Medium;M2167;x
79646;Chief of Army;多明戈 巴特特 美斯特 ;36;ML;Armoured Spearhead Doctrine;Medium;M11262;x
79647;Chief of Army;莱昂 维克托 布尔乔亚 ;36;ML;Guns and Butter Doctrine;Medium;M2157;x
79648;Chief of Navy;何塞 吉拉尔 佩雷拉 ;36;ML;Open Seas Doctrine;High;M11220;x
79649;Chief of Navy;艾廷内 施伦博格 ;36;ML;Decisive Naval Battle Doctrine;High;M2174;x
79650;Chief of Navy;圣地亚哥 卡萨莱斯 奎洛加 ;36;ML;Power Projection Doctrine;High;M11137;x
79651;Chief of Navy;凯撒 卡平奇 ;36;ML;Indirect Approach Doctrine;Very High;M2173;x
79652;Chief of Navy;安东尼奥 劳尔 弗内斯-加西亚 ;36;ML;Base Control Doctrine;Medium;M11314;x
79653;Chief of Air Force;马塞尔 迪特 ;36;ML;Air Superiority Doctrine;Low;M2183;x
79654;Chief of Air Force;路易斯 康帕尼斯 乔夫 ;36;ML;Naval Aviation Doctrine;Medium;M11310;x
79655;Chief of Air Force;皮埃尔 考特 ;36;ML;Army Aviation Doctrine;Very High;M2184;x
79656;Chief of Air Force;阿尔弗雷多 金德莱 杜安伊 ;36;ML;Carpet Bombing Doctrine;High;M11020;x
79657;Chief of Air Force;盖伊 拉 钱伯雷 ;36;ML;Vertical Envelopment Doctrine;Medium;M2188;x
