CUB;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
33081;Minister of Security;古勒莫 普特拉 ;43;SC;Back Stabber;Medium;M33081;x
33082;Minister of Security;弗根希奥 巴迪斯塔 ;44;PA;Crooked Kleptocrat;High;M33034;x
33083;Minister of Security;安东尼奥 S. 德 布斯塔门特 ;46;PA;Crime Fighter;Medium;M33083;x
33084;Minister of Security;塞达利奥 容库 ;36;LWR;Prince of Terror;Very Low;M33025;x
33085;Minister of Security;卡比阿 德 拉 卡普纳 Cuffi ;44;LWR;Man of the People;Low;M33085;x
33086;Head of Military Intelligence;约瑟 巴内特 温加尔斯 ;36;ML;Political Specialist;Medium;M33001;x
33087;Head of Military Intelligence;朱万 沃尔德 希拉利奥 ;40;ML;Logistics Specialist;Medium;M33016;x
33088;Head of Military Intelligence;拉菲尔 马丁内兹 奥提兹 ;44;ML;Dismal Enigma;Medium;M33088;x
33089;Head of Military Intelligence;莱蒙 古拉 赛 马特拉 ;36;SD;Political Specialist;Low;M33011;x
33090;Head of Military Intelligence;卡洛斯 赫维阿 ;38;SD;Industrial Specialist;Low;M33015;x
33091;Head of Military Intelligence;珀菲利奥 弗兰卡 ;40;SC;Dismal Enigma;Medium;M33066;x
33092;Head of Military Intelligence;费多尔库 拉勒多 Br ;44;PA;Technical Specialist;Medium;M33014;x
33093;Head of Military Intelligence;朱万 沃尔德 希拉利奥 ;46;PA;Logistics Specialist;Medium;M33016;x
33094;Head of Military Intelligence;安东尼奥 G. 霍尔姆斯 ;36;LWR;Dismal Enigma;Very Low;M33022;x
33095;Head of Military Intelligence;菲迪尔 卡斯特罗 ;44;LWR;Political Specialist;Very Low;M33095;x
33097;Chief of Staff;弗根希奥 巴迪斯塔 ;36;SC;School of Mass Combat;Undying;M33097;x
33100;Chief of Staff;朱万 巴拉斯 赫尔南德兹 ;36;LWR;School of Manoeuvre;Medium;M33027;x
33101;Chief of Staff;Fid閘 卡斯特罗 ;44;LWR;School of Mass Combat;Very Low;M33095;x
33103;Chief of Army;弗根希奥 巴迪斯塔 ;36;SC;Decisive Battle Doctrine;Undying;M33097;x
33106;Chief of Army;朱万 巴拉斯 赫尔南德兹 ;36;LWR;Elastic Defence Doctrine;Medium;M33027;x
33107;Chief of Army;拉尔 卡斯特罗 ;44;LWR;Static Defence Doctrine;Medium;M33107;x
33109;Chief of Navy;安杰尔 贡扎尔兹 ;36;SC;Open Seas Doctrine;Medium;M33109;x
33112;Chief of Navy;塞达利奥 容库 ;36;LWR;Open Seas Doctrine;Medium;M33025;x
33114;Chief of Air Force;恩里克 C. 洛拉斯 ;36;ML;Naval Aviation Doctrine;Medium;M33020;x
33115;Chief of Air Force;瑟基奥 卡波 ;44;ML;Vertical Envelopment Doctrine;Medium;M33005;x
33118;Chief of Air Force;帕拉兹 蒙德兹 ;44;PA;Air Superiority Doctrine;High;M33118;x
33119;Chief of Air Force;阿瓦洛 P. 奎因塔纳 ;36;LWR;Air Superiority Doctrine;High;M33030;x
33120;Head of Military Intelligence;卡比阿 德 拉 卡普纳 Cuffi ;41;LWR;Technical Specialist;Low;M33085;x
33121;Head of Government;劳尔 洛佩斯 卡斯提罗 ;47;SC;Happy Amateur;High;M33121;x
33122;Head of Government;曼努埃尔 德 瓦罗纳 洛勒多 ;48;SC;Flamboyant Tough Guy;High;M33122;x
33123;Head of Government;菲利克斯 兰克斯 赛舒尔茨 ;50;SC;Political Protege;High;M33123;x
33124;Head of Government;奥斯卡 洛佩斯-马丁内兹 ;51;SC;Naive Optimist;High;M33124;x
33125;Foreign Minister;卡洛斯 普里奥  索卡尔斯 ;47;SC;Ideological Crusader;Medium;M33125;x
33126;Minister of Security;安杜斯 佩尔茨 查蒙特 ;51;SC;Prince of Terror;Medium;M33126;x
