CHL;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
44051;Foreign Minister;亚伯拉罕 奥特加 阿古约 ;38;SD;Iron Fisted Brute;Medium;M44051;x
44052;Foreign Minister;克里斯塔伯 塞斯 瑟达 ;40;SD;Apologetic Clerk;Medium;M44052;x
44053;Foreign Minister;曼努埃尔 莫拉 米兰德 ;40;SD;Great Compromiser;Medium;M44045;x
44054;Foreign Minister;曼努埃尔 比安奇 古德安 ;40;SD;Iron Fisted Brute;Medium;M44054;x
44055;Foreign Minister;陆伊斯 阿拉莫斯 巴罗斯 ;41;SD;Ideological Crusader;High;M44055;x
44056;Foreign Minister;欧内斯托 巴莱斯 加帕 ;42;SD;General Staffer;Medium;M44056;x
44057;Foreign Minister;J. 菲尔南德兹 菲尔南德 ;42;SD;The Cloak N Dagger Schemer;Medium;M44057;x
44058;Foreign Minister;拉尔 朱丽特 古茨 ;45;SD;Apologetic Clerk;Medium;M44058;x
44059;Foreign Minister;J.R.古特瑞 阿兰德 ;38;SL;Biased Intellectual;High;M44059;x
44060;Foreign Minister;陆伊斯 奥特加 加西亚 ;38;SL;The Cloak N Dagger Schemer;Medium;M44023;x
44061;Foreign Minister;米奎尔 库鲁查加 塔库马尔 ;42;PA;Iron Fisted Brute;Medium;M44003;x
44062;Foreign Minister;弗朗西斯科 奥兰 奥勒格 ;42;SC;General Staffer;Medium;M44062;x
44063;Foreign Minister;卡罗斯 D. 索托 ;43;SC;The Cloak N Dagger Schemer;Medium;M44063;x
44064;Foreign Minister;陆伊斯 雷纳德 瓦伦祖拉 ;46;SC;Apologetic Clerk;High;M44064;x
44065;Foreign Minister;J.G. 冯 马勒 ;38;FA;Ideological Crusader;Very Low;M44011;x
44066;Foreign Minister;陆伊斯 奥特加 加西亚 ;38;LE;The Cloak N Dagger Schemer;Medium;M44023;x
44067;Foreign Minister;菲尔南多 布朗 莫莱斯 ;46;LWR;Apologetic Clerk;Medium;M44067;x
44068;Minister of Armament;卡罗斯 加西亚 帕拉西奥斯 ;38;SD;Theoretical Scientist;High;M44068;x
44069;Minister of Armament;尤安 罗伊斯 莫莱斯 ;38;SD;Resource Industrialist;High;M44069;x
44070;Minister of Armament;陆伊斯 阿拉莫斯 巴罗斯 ;39;SD;Infantry Proponent;High;M44055;x
44071;Minister of Armament;裴多 阿古埃尔 瑟达 ;40;SD;laissez-faire capitalist;Medium;M44031;x
44072;Minister of Armament;卡罗斯 福特斯 拉比 ;41;SD;Military Entrepreneur;High;M44072;x
44073;Minister of Armament;弗朗西斯科 沃克 林纳斯 ;42;SD;Tank Proponent;Very High;M44073;x
44074;Minister of Armament;达利奥 穆吉卡 卡姆巴 ;44;SD;Air Superiority Proponent;Medium;M44010;x
44075;Minister of Armament;曼努埃尔 C. 皮尔拉 ;46;SD;Resource Industrialist;High;M44075;x
44076;Minister of Armament;约瑟 陆伊斯 舒尔茨 贝萨 ;37;SL;Air to Ground Proponent;High;M44076;x
44077;Minister of Armament;克里斯塔伯 塞斯 瑟达 ;38;SL;Administrative Genius;Medium;M44052;x
44078;Minister of Armament;恩里克 维尔加斯 ;38;SC;laissez-faire capitalist;High;M44078;x
44079;Minister of Armament;维克多 拉兰斯 奎加达 ;39;SC;Submarine Proponent;High;M44079;x
44080;Minister of Armament;弗朗西斯科 奥兰 奥勒格 ;43;SC;Battle Fleet Proponent;Medium;M44062;x
44081;Minister of Armament;米塞尔 加勒古洛斯 ;46;SC;Corrupt Kleptocrat;Low;M44012;x
44082;Minister of Armament;古斯塔夫 罗斯 山达 马利亚 ;46;SC;Administrative Genius;Medium;M44002;x
44083;Minister of Armament;欧内斯托 巴莱斯 加帕 ;42;PA;Corrupt Kleptocrat;Medium;M44056;x
44084;Minister of Armament;曼努埃尔 比安奇 古德安 ;42;PA;Infantry Proponent;Medium;M44054;x
44086;Minister of Armament;拉曼 加拉 ;38;FA;Infantry Proponent;Low;M44014;x
44087;Minister of Armament;卡罗斯 普加 孟萨尔维 ;44;FA;Air to Sea Proponent;High;M44087;x
44088;Minister of Armament;C.L. 布雷斯特 李弗 ;38;LE;Theoretical Scientist;Very Low;M44022;x
44089;Minister of Armament;奥古斯丁 爱德华 ;42;LE;Air Superiority Proponent;Medium;M44089;x
44090;Minister of Armament;奥勒里奥 塞尔顿 帕尔玛 ;46;LWR;Strategic Air Proponent;High;M44090;x
44091;Minister of Security;曼努尔 萨林斯 ;38;SD;Silent Lawyer;High;M44091;x
44092;Minister of Security;曼努埃尔 莫拉 米兰德 ;41;SD;Back Stabber;Medium;M44045;x
44093;Minister of Security;达利奥 穆吉卡 卡姆巴 ;42;SD;Efficient Sociopath;Medium;M44010;x
44094;Minister of Security;安东尼 J. 李奥斯 ;45;SD;Prince of Terror;High;M44032;x
44095;Minister of Security;安东尼 胡尼斯 ;37;SL;Man of the People;High;M44095;x
44096;Minister of Security;米格尔 贡扎尔茨 李奥斯 ;38;SL;Crooked Kleptocrat;Medium;M44096;x
44097;Minister of Security;亚伯拉罕 奥特加 阿古约 ;38;SL;Crime Fighter;Medium;M44051;x
44098;Minister of Security;J.R.古特瑞 阿兰德 ;42;SC;Crime Fighter;High;M44059;x
44099;Minister of Security;曼努尔 李维斯 维库纳 ;43;SC;Prince of Terror;High;M44099;x
44100;Minister of Security;欧内斯托 巴莱斯 加帕 ;46;SC;Crooked Kleptocrat;Medium;M44056;x
44101;Minister of Security;卡罗斯 伊班内茨 德尔 坎珀 ;39;PA;Man of the People;Medium;M44035;x
44102;Minister of Security;文森特 梅利诺 贝利奇 ;42;PA;Prince of Terror;Medium;M44102;x
44103;Minister of Security;卡罗斯 凯勒 ;38;FA;Back Stabber;Low;M44015;x
44104;Minister of Security;玛玛杜克 古洛夫 ;38;LE;Man of the People;Medium;M44021;x
44105;Minister of Security;克里斯塔伯 塞斯 瑟达 ;45;LWR;Prince of Terror;Medium;M44052;x
44106;Head of Military Intelligence;费德利库 伊斯卡门特 ;38;SD;Logistics Specialist;Medium;M44106;x
44108;Head of Military Intelligence;尤安 罗伊斯 莫莱斯 ;41;SD;Dismal Enigma;High;M44069;x
44109;Head of Military Intelligence;埃杜瓦多 希尔曼 ;42;SD;Naval Intelligence Specialist;High;M44004;x
44110;Head of Military Intelligence;萨尔维多 阿兰德 ;43;SD;Industrial Specialist;Low;M44039;x
44111;Head of Military Intelligence;达利奥 穆吉卡 卡姆巴 ;46;SD;Technical Specialist;Medium;M44010;x
44112;Head of Military Intelligence;卡罗斯 福特斯 拉比 ;38;SL;Industrial Specialist;High;M44072;x
44113;Head of Military Intelligence;卡罗斯 普加 孟萨尔维 ;40;SL;Technical Specialist;High;M44087;x
44114;Head of Military Intelligence;维克多 拉兰斯 奎加达 ;42;SC;Naval Intelligence Specialist;High;M44079;x
44115;Head of Military Intelligence;费德利库 克劳德 ;43;SL;Industrial Specialist;High;M44115;x
44116;Head of Military Intelligence;达利奥 瑟尔加斯 罗加斯 ;46;SC;Logistics Specialist;Medium;M44116;x
44117;Head of Military Intelligence;阿里奥斯托 赫勒拉 ;38;FA;Logistics Specialist;High;M44016;x
44118;Head of Military Intelligence;皮托洛 坎珀斯 瓦伦扎纳 ;44;PA;Industrial Specialist;High;M44118;x
44119;Head of Military Intelligence;朱利奥 阿拉德 平托 ;38;LE;Political Specialist;Medium;M44006;x
44121;Chief of Staff;欧内斯托 M. 奥兰多 ;38;SD;School of Mass Combat;High;M44121;x
44122;Chief of Staff;阿图洛  伊斯品纳扎 穆吉卡 ;45;SC;School of Fire Support;High;M44122;x
44123;Chief of Staff;卡罗斯 普加 孟萨尔维 ;38;SL;School of Mass Combat;High;M44087;x
44124;Chief of Staff;达利奥 瑟尔加斯 罗加斯 ;42;SC;School of Psychology;Medium;M44116;x
44125;Chief of Staff;劳尔 阿莱 斯提格里奇 ;44;SC;School of Manoeuvre;Medium;M44125;x
44126;Chief of Staff;陆伊斯 韦德尔 瓦格斯 ;46;SC;School of Fire Support;Medium;M44126;x
44127;Chief of Army;E. 诺瓦 弗恩特斯 ;42;PA;Static Defence Doctrine;Medium;M44008;x
44128;Chief of Staff;迪亚斯 沃尔德拉玛 ;38;FA;School of Defence;Very Low;M44017;x
44129;Chief of Staff;古斯塔夫 希尔瓦 ;38;LE;School of Manoeuvre;Medium;M44027;x
44130;Chief of Army;陆伊斯 奥特罗 穆吉卡 ;38;SD;Armoured Spearhead Doctrine;High;M44130;x
44131;Chief of Army;萨尔瓦多 阿隆 加尔维 ;44;SD;Guns and Butter Doctrine;High;M44131;x
44132;Chief of Army;卡罗斯 福特斯 拉比 ;38;SL;Decisive Battle Doctrine;High;M44072;x
44133;Chief of Army;阿图洛 伊斯皮诺扎 穆吉卡 ;43;SC;Static Defence Doctrine;High;M44122;x
44134;Chief of Army;奥斯卡 伊祖利他 莫利纳 ;46;SC;Guns and Butter Doctrine;Medium;M44134;x
44135;Chief of Army;拉菲尔 菲尔南德兹 雷耶斯 ;42;PA;Elastic Defence Doctrine;Medium;M44135;x
44136;Chief of Army;迪亚斯 沃尔德拉玛 ;38;FA;Static Defence Doctrine;Medium;M44017;x
44137;Chief of Army;朱利奥 阿拉德 平托 ;38;LE;Elastic Defence Doctrine;Medium;M44006;x
44138;Chief of Navy;朱万 罗德里格斯 ;38;SD;Open Seas Doctrine;Medium;M44138;x
44139;Chief of Navy;朱利奥 格尔肯 马汉 ;44;SD;Power Projection Doctrine;Medium;M44139;x
44140;Chief of Navy;弗朗西斯科 奥兰 奥勒格 ;38;SL;Decisive Naval Battle Doctrine;Medium;M44062;x
44142;Chief of Navy;加斯顿 库尔泽维斯基 加西亚 ;46;SC;Base Control Doctrine;Medium;M44142;x
44144;Chief of Navy;赫南 萨拉提 ;38;FA;Decisive Naval Battle Doctrine;Medium;M44019;x
44145;Chief of Navy;古斯塔夫 希尔瓦 ;38;LE;Indirect Approach Doctrine;Medium;M44027;x
44146;Chief of Air Force;迭戈 阿拉希纳 ;38;SD;Air Superiority Doctrine;Medium;M44146;x
44147;Chief of Air Force;拉尔 贡扎尔茨 诺尔 ;46;SL;Army Aviation Doctrine;Medium;M44147;x
44148;Chief of Air Force;约瑟 陆伊斯 舒尔茨 贝萨 ;37;SL;Carpet Bombing Doctrine;High;M44076;x
44149;Chief of Air Force;伊斯梅尔 萨拉祖瓦 特兰 ;42;SC;Vertical Envelopment Doctrine;High;M44149;x
44150;Chief of Air Force;曼努埃尔 托维拉斯 ;46;SC;Army Aviation Doctrine;Low;M44150;x
44151;Chief of Air Force;阿里奥斯图 赫拉 ;38;FA;Air Superiority Doctrine;Very High;M44016;x
44152;Chief of Air Force;玛玛杜克 古洛夫 ;38;LE;Naval Aviation Doctrine;Very Low;M44021;x
44153;Chief of Air Force;古斯塔夫 希尔瓦 ;45;LWR;Army Aviation Doctrine;Medium;M44027;x
44154;Head of State;古斯塔夫 罗斯 山达 马利亚 ;38;SC;Popular Figurehead;High;M44002;x
44155;Head of State;曼努埃尔 莫拉 米兰德 ;42;SC;Insignificant Layman;High;M44045;x
44156;Head of Government;卡罗斯 伊班内茨 德尔 坎珀 ;46;SC;Old General;High;M44035;x
44157;Head of State;杰隆尼莫 门德斯 阿兰西亚 ;41;SD;Stern Imperialist;High;M44157;x
44158;Head of Government;杰隆尼莫 门德斯 阿兰西亚 ;41;SD;Silent Workhorse;High;M44157;x
44159;Head of State;阿尔弗莱多 杜哈尔德 瓦斯奎斯 ;46;SD;Pig-headed Isolationist;High;M44159;x
44160;Head of Government;阿尔弗莱多 杜哈尔德 瓦斯奎斯 ;46;SD;Naive Optimist;High;M44159;x
44161;Head of State;米塞尔 加勒古洛斯 ;44;FA;Insignificant Layman;High;M44012;x
44162;Head of State;米奎尔 库鲁查加 塔库马尔 ;38;SL;Autocratic Charmer;Medium;M44003;x
44163;Head of Government;米奎尔 库鲁查加 塔库马尔 ;38;SL;Naive Optimist;Medium;M44003;x
44164;Head of Government;乔杰 亚历山德利 罗德里格斯 ;52;SC;Corporate Suit;High;M44164;x
