GER;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
177;Chief of Army;阿道夫 希特勒 ;42;NS;Decisive Battle Doctrine;Very High;M1;x
178;Chief of Army;斐迪南 斯科恩内尔 ;45;NS;Elastic Defence Doctrine;Very High;M178;x
179;Chief of Army;埃里希 鲁登道夫 ;36;PA;Elastic Defence Doctrine;High;M179;x
180;Chief of Army;维尔纳.爱德华.弗里茨.冯.勃洛姆堡;37;NS;Rubber Lion;High;M4;x
182;Chief of Army;费多尔 冯 包克 ;39;FA;Decisive Battle Doctrine;High;M182;x
183;Chief of Army;埃里希 赫普纳 ;42;FA;Armoured Spearhead Doctrine;High;M18;x
184;Chief of Army;埃尔温 冯 维茨勒本 ;43;PA;Static Defence Doctrine;High;M17;x
185;Chief of Army;沃尔特 冯 路德维希 ;36;PA;Decisive Battle Doctrine;Low;M185;x
187;Chief of Army;朱利乌斯 林格尔 ;42;PA;Guns and Butter Doctrine;Medium;M169;x
188;Chief of Army;提奥多尔 布兰克 ;46;SC;Armoured Spearhead Doctrine;High;M188;x
190;Chief of Army;汉斯 卡勒 ;36;ST;Decisive Battle Doctrine;Very High;M28;x
192;Chief of Navy;卡尔 邓尼茨 ;30;NS;Indirect Approach Doctrine;Very High;M32;x
193;Chief of Navy;汉斯-佐尔格 冯 弗里德堡 ;44;NS;Open Seas Doctrine;Medium;M93;x
194;Chief of Navy;库尔特 弗雷瓦尔德 ;45;NS;Base Control Doctrine;Medium;M194;x
195;Chief of Navy;阿尔弗雷德 萨尔瓦赫特 ;36;FA;Open Seas Doctrine;High;M195;x
197;Chief of Navy;路德维格 富尔达 ;36;PA;Decisive Naval Battle Doctrine;Medium;M45;x
198;Chief of Navy;康拉德 阿尔布雷克特 ;39;PA;Open Seas Doctrine;Medium;M198;x
199;Chief of Navy;古斯塔夫 杰瑟里茨基 ;40;PA;Base Control Doctrine;Medium;M199;x
200;Chief of Navy;埃里希 培 ;46;SC;Open Seas Doctrine;High;M200;x
201;Chief of Navy;弗里茨 斯切伦 ;36;ST;Base Control Doctrine;Very High;M29;x
203;Chief of Air Force;雨果 施佩勒 ;39;NS;Carpet Bombing Doctrine;High;M203;x
204;Chief of Air Force;罗伯特 瑞特 冯 格莱姆 ;44;NS;Air Superiority Doctrine;Medium;M204;x
205;Chief of Air Force;卡尔 科勒 ;36;FA;Army Aviation Doctrine;Medium;M205;x
257;Chief of Air Force;沃尔夫冈·冯·里希特霍芬;36;FA;The Red Baron;Medium;L479;x
206;Chief of Air Force;艾伯哈德 米尔契 ;42;FA;Air Superiority Doctrine;Medium;M206;x
207;Chief of Air Force;阿尔伯特 凯塞林 ;44;FA;Vertical Envelopment Doctrine;High;M207;x
208;Chief of Air Force;卡尔 弗里德 冯 西门子 ;36;PA;Air Superiority Doctrine;High;M208;x
209;Chief of Air Force;恩斯特 乌德特 ;40;PA;Army Aviation Doctrine;High;M20;x
210;Chief of Air Force;威廉 奥克森尼乌斯 ;45;PA;Naval Aviation Doctrine;Medium;M210;x
23;Foreign Minister;赫尔姆特 赫尔茨费尔德 ;36;ST;Ideological Crusader;High;M23;x
214;Head of Government;弗兰茨 塞瓦 瑞塔 冯 爱普 ;36;NS;Old General;Very High;M214;x
216;Head of Government;汉斯 海因里希 拉姆勒斯 ;37;NS;Political Protege;Very High;M216;x
217;Head of Government;弗雷德里希 威廉 卡里特辛格 ;45;NS;Naive Optimist;Very High;M217;x
219;Minister of Armament;弗兰茨 塞瓦 瑞塔 冯 爱普 ;36;NS;Infantry Proponent;Very High;M214;x
220;Minister of Armament;弗兰茨 塞尔迪特 ;36;NS;Military Entrepreneur;Very High;M220;x
221;Minister of Armament;康斯坦丁 赫尔 ;36;NS;Resource Industrialist;Very High;M221;x
222;Minister of Armament;塞瓦 道尔茨 ;44;FA;Air Superiority Proponent;Very High;M222;x
223;Minister of Security;弗兰茨 甘特纳 ;36;FA;Silent Lawyer;Medium;M223;x
224;Minister of Security;库尔特 达吕格 ;36;NS;Prince of Terror;Very High;M82;x
226;Minister of Security;沃尔特 布茨 ;37;NS;Man of the People;High;M226;x
227;Minister of Security;汉斯 弗兰克 ;41;FA;Compassionate Gentleman;Medium;M227;x
228;Minister of Security;罗兰德 富兰斯勒 ;42;NS;Crime Fighter;Very High;M228;x
229;Chief of Army;埃里希 冯 曼斯坦因;42;PA;Armoured Spearhead Doctrine;Medium;L324;x
230;Chief of Staff;恩斯特 布斯 ;45;NS;School of Fire Support;High;L33;x
231;Chief of Army;古恩特 冯 克鲁格 ;42;PA;Decisive Battle Doctrine;Medium;L311;x
232;Chief of Army;保罗 豪森 ;44;NS;Armoured Spearhead Doctrine;Very High;L503;x
233;Chief of Navy;威廉 马绍尔 ;41;NS;Open Seas Doctrine;High;L407;x
234;Chief of Navy;沃尔特 瓦泽卡 ;42;PA;Indirect Approach Doctrine;Medium;L891;x
235;Chief of Air Force;奥托 代斯洛 ;39;NS;Army Aviation Doctrine;High;L434;x
236;Chief of Air Force;乌尔里希 格劳特 ;36;FA;Air Superiority Doctrine;High;L439;x
237;Chief of Air Force;汉斯-尤尔根 斯坦普夫 ;44;NS;Army Aviation Doctrine;Very High;L471;x
238;Chief of Staff;沃尔特 冯 莱歇瑙 ;41;NS;School of Fire Support;Very High;L334;x
239;Head of Military Intelligence;恩斯特 沃尔韦伯 ;36;ST;Industrial Specialist;Very High;M27;x
240;Minister of Armament;卡尔 邓尼茨 ;44;NS;Submarine Proponent;High;M32;x
241;Minister of Armament;卢茨 冯 施维林-科罗西克 ;45;NS;Resource Industrialist;High;M241;x
242;Minister of Security;保罗 基斯勒 ;45;NS;Efficient Sociopath;Very High;M242;x
243;Minister of Security;沃纳 诺曼 ;45;NS;Compassionate Gentleman;Very High;M243;x
244;Minister of Security;赖因哈特 亨德里奇 ;36;NS;Prince of Terror;Very High;M244;x
253;Minister of Armament;阿尔弗雷德 胡根堡 ;36;PA;Resource Industrialist;High;M117;x
254;Minister of Security;赫尔墨斯 冯 摩特科 ;39;SC;Compassionate Gentleman;High;M246;x
247;Head of Military Intelligence;汉斯 基斯韦思 ;39;SC;Dismal Enigma;Medium;M247;x
248;Minister of Security;汉斯 杜南伊 ;36;SC;Silent Lawyer;Medium;M248;x
249;Head of Military Intelligence;汉斯 杜南伊 ;36;SC;Political Specialist;Medium;M248;x
250;Minister of Security;鲁道夫 狄尔斯 ;36;PA;Crime Fighter;Medium;M250;x
251;Minister of Armament;古斯塔夫 克虏伯 ;36;FA;Military Entrepreneur;High;M251;x
252;Minister of Armament;弗里兹 索克尔 ;42;NS;Infantry Proponent;High;M252;x
