PAN;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
95050;Foreign Minister;霍拉克 阿尔法罗 蒂兹 ;46;PA;General Staffer;High;M95050;x
95051;Foreign Minister;哈玛 卡斯蒂诺 巴利德 ;47;SC;Apologetic Clerk;High;M95051;x
95052;Minister of Armament;内斯塔 厄瑞布 苏尔雷兹 ;36;SC;Infantry Proponent;Medium;M95052;x
95053;Minister of Armament;杰思皮扎特 ;40;SL;Resource Industrialist;Medium;M95053;x
95056;Minister of Armament;安瑞克 吉猛兹 卜林 ;45;SL;Tank Proponent;Medium;M95035;x
95057;Minister of Armament;英那西奥 E. 猛多扎 ;46;SC;Infantry Proponent;Medium;M95005;x
95058;Minister of Security;劳尔 爱拉斯 阿玛多 ;36;SC;Man of the People;Medium;M95015;x
95059;Minister of Security;卡洛斯 猛多扎 ;40;SL;Crime Fighter;Medium;M95059;x
95060;Minister of Security;胡安 雷蒙 ;41;SC;Man of the People;Medium;M95007;x
95061;Minister of Security;尼科拉斯 阿尔地多 巴拉塔 ;45;SL;Compassionate Gentleman;Medium;M95061;x
95062;Minister of Security;杰思阿维拉 ;46;SC;Crime Fighter;Medium;M95062;x
95063;Head of Military Intelligence;欧那斯特 菲布拉 雷兹 ;36;SC;Dismal Enigma;Medium;M95063;x
95064;Head of Military Intelligence;维克托 派尓堂 ;40;SL;Industrial Specialist;Medium;M95025;x
95065;Head of Military Intelligence;巴尔多蒙瑞 塔特 ;41;PA;Logistics Specialist;Medium;M95016;x
95066;Head of Military Intelligence;英那西奥 C. 高瑟斯 ;45;SL;Naval Intelligence Specialist;Medium;M95066;x
95067;Head of Military Intelligence;杰思拉菲布维 德 拉 奥萨 ;46;SC;Industrial Specialist;Medium;M95042;x
95068;Chief of Staff;玻利瓦尔 维拉诺 ;36;SC;School of Defence;Medium;M95008;x
95069;Chief of Staff;胡安 杰思帕拉达 ;40;SL;School of Manoeuvre;Medium;M95020;x
95070;Chief of Staff;帕斯菲科 马西亚 ;41;PA;School of Psychology;Medium;M95017;x
95071;Chief of Staff;杰思革马斯 阿棱 ;45;SL;School of Fire Support;Medium;M95071;x
95073;Chief of Army;胡安 若蒙 ;36;SC;Guns and Butter Doctrine;Medium;M95007;x
95074;Chief of Army;恩里科 法布尔戈 皮尔 ;40;ML;Static Defence Doctrine;Medium;M95018;x
95077;Chief of Army;奥马尔 托里杰思 ;46;PA;Armoured Spearhead Doctrine;Medium;M95077;x
95080;Chief of Navy;阿托罗 奥斯本尼 艾拉格 ;41;PA;Open Seas Doctrine;Medium;M95019;x
95082;Chief of Air Force;马克斯 A. 格拉贝尔特 ;36;SC;Army Aviation Doctrine;Medium;M95082;x
95083;Chief of Air Force;胡安 杰思帕拉达 ;40;ML;Air Superiority Doctrine;Medium;M95020;x
95084;Chief of Air Force;卡洛斯  ;41;SC;Air Superiority Doctrine;Medium;M95036;x
95086;Chief of Air Force;内斯塔 厄瑞布 苏尔雷兹 ;46;SC;Carpet Bombing Doctrine;Medium;M95052;x
95087;Head of State;衣开奥 奉南德 延 ;39;SC;Insignificant Layman;Medium;M95006;x
95088;Head of Government;衣开奥 奉南德 延 ;39;SC;Smiling Oilman;Medium;M95006;x
95089;Head of Government;奥格斯特 塞缪尓 博伊德 ;40;SC;Ambitious Union Boss;High;M95038;x
95090;Head of State;奥格斯特 塞缪尓 博伊德 ;40;SC;Barking Buffoon;High;M95038;x
95011;Head of State;杰思奥古斯丁 阿拉贡 ;36;PA;Resigned Generalissimo;High;M95011;x
95012;Head of Government;杰思奥古斯丁 阿拉贡 ;36;PA;Old General;High;M95011;x
95021;Head of State;弗洛伊德 N. 布伦顿 sr. ;36;LE;Pig-headed ISOLATIONIST;High;M95021;x
95022;Head of Government;佛洛伊德 N. 布伦顿 sr. ;36;LE;Happy Amateur;High;M95021;x
95023;Foreign Minister;瑞斯 卡斯塔 阿拉斯 ;36;LWR;Ideological Crusader;Medium;M95023;x
95024;Minister of Armament;佛洛伊德 N. 布伦顿 sr. ;36;LE;Administrative Genius;Medium;M95021;x
95025;Minister of Security;维克托 派尓堂 ;36;LE;Crooked Kleptocrat;Medium;M95025;x
95027;Chief of Staff;阿道夫 戈特瑞兹 克拉克 ;36;LE;School of Defence;Medium;M95027;x
95028;Chief of Army;曼纽尓 拉斯 厄瑞布 ;36;LWR;Armoured Spearhead Doctrine;Medium;M95028;x
95029;Chief of Navy;费迪南多 痕诺兹 耶图尓特 ;36;LWR;Power Projection Doctrine;Medium;M95029;x
95030;Chief of Air Force;玛格丽塔 贝尔 吉猛兹 ;36;LE;Vertical Envelopment Doctrine;Medium;M95030;x
95091;Head of State;多明戈 迪亚兹  尓罗斯蒙那 ;48;SC;Weary Stiffneck;High;M95091;x
95092;Head of Government;多明戈 迪亚兹 尓罗斯蒙那 ;48;SC;Silent Workhorse;High;M95091;x
95093;Minister of Security;安瑞克 德 欧巴里奥 ;48;SC;Back Stabber;Medium;M95093;x
95094;Head of State;丹尼尔 C. 品赞 ;49;ML;Benevolent Gentleman;High;M95004;x
95095;Head of Government;阿尔斯派司 尓罗斯蒙那 ;49;ML;Corporate Suit;High;M95095;x
95096;Head of State;阿尔斯派司 尓罗斯蒙那 ;51;SC;Insignificant Layman;High;M95095;x
95097;Head of Government;胡安 若蒙 ;51;SC;Old General;High;M95007;x
95098;Foreign Minister;佩特罗 德 奥尔拉 ;51;SC;Biased Intellectual;High;M95098;x
95099;Head of State;胡安 若蒙 ;52;SC;Resigned Generalissimo;High;M95007;x
95100;Minister of Security;欧那斯特 德 拉 嘎迪亚 ;52;SC;Compassionate Gentleman;Medium;M95100;x
95101;Chief of Staff;安瑞克 德 欧巴里奥 ;52;SC;School of Mass Combat;Medium;M95093;x
