CHC;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
51141;Minister of Security;周恩来 ;30;ST;Man of the People;High;MC_CHC_51102;x
51030;Minister of Security;周兴 ;30;ST;Prince of Terror;High;MC_CHC_51142;x
51144;Minister of Security;谢觉哉;30;ST;Man of the People;High;MC_CHC_51144;x
51145;Minister of Security;林伯渠 ;30;ST;Compassionate Gentleman;High;MC_CHC_51119;x
51147;Head of Military Intelligence;刘伯承 ;30;ST;Technical Specialist;High;MC_CHC_51147;x
51038;Head of Military Intelligence;邓小平 ;30;ST;Industrial Specialist;High;MC_CHC_51113;x
51149;Head of Military Intelligence;邓发 ;30;ST;Political Specialist;High;MC_CHC_51131;x
51150;Head of Military Intelligence;叶剑英 ;30;ST;Logistics Specialist;High;MC_CHC_51107;x
51151;Head of Military Intelligence;陈云 ;30;ST;Industrial Specialist;High;MC_CHC_51104;x
51037;Head of Military Intelligence;周恩来 ;30;ST;Technical Specialist;High;MC_CHC_51102;x
51154;Chief of Staff;林彪 ;30;ST;School of Manoeuvre;High;MC_CHC_51154;x
51155;Chief of Staff;刘伯承 ;30;ST;School of Psychology;High;MC_CHC_51147;x
51156;Chief of Staff;彭德怀 ;30;ST;School of Mass Combat;High;MC_CHC_51137;x
51157;Chief of Staff;毛泽东 ;30;ST;School of Mass Combat;High;MC_CHC_51101;x
51158;Chief of Staff;粟裕 ;30;ST;School of Fire Support;High;MC_CHC_51158;x
51159;Chief of Staff;朱瑞 ;30;ST;School of Fire Support;High;MC_CHC_51138;x
51160;Chief of Staff;聂荣臻  ;30;ST;School of Defence;High;MC_CHC_51160;x
51162;Chief of Army;林彪 ;30;ST;Guerilla Warfare Doctrine;High;MC_CHC_51154;x
51163;Chief of Army;刘伯承 ;30;ST;Elastic Defence Doctrine;High;MC_CHC_51147;x
51164;Chief of Army;彭德怀 ;30;ST;Decisive Battle Doctrine;High;MC_CHC_51137;x
51165;Chief of Army;陈赓 ;30;ST;Elastic Defence Doctrine;High;MC_CHC_51165;x
51166;Chief of Army;粟裕 ;30;ST;Armoured Spearhead Doctrine;High;MC_CHC_51158;x
51167;Chief of Army;朱瑞 ;30;ST;Armoured Spearhead Doctrine;High;MC_CHC_51138;x
51168;Chief of Army;聂荣臻  ;30;ST;Static Defence Doctrine;High;MC_CHC_51160;x
51169;Chief of Army;李德 ;30;ST;Static Defence Doctrine;High;MC_CHC_51169;x
51170;Chief of Army;叶剑英 ;30;ST;Guns and Butter Doctrine;High;MC_CHC_51107;x
51171;Chief of Army;徐向前 ;30;ST;Guns and Butter Doctrine;High;MC_CHC_51171;x
51173;Chief of Navy;张爱萍 ;30;ST;Indirect Approach Doctrine;High;MC_CHC_51173;x
51174;Chief of Air Force;聂凤智 ;30;ST;Army Aviation Doctrine;High;MC_CHC_51174;x
