COS;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
47050;Head of Government;伊萨利诺 de 希尔瓦 隆德利斯 ;47;LWR;Political Protege;NA;M47040;x
47051;Foreign Minister;奥提里奥 乌莱特 ;44;SD;The Cloak N Dagger Schemer;Very High;M47031;x
47052;Foreign Minister;鲁尔 菲尔南德 罗德利戈斯 ;47;SD;Ideological Crusader;Medium;M47024;x
47053;Foreign Minister;里昂 库特斯 卡斯特罗 ;36;SL;The Cloak N Dagger Schemer;Medium;M47002;x
47054;Foreign Minister;曼努埃尔 F. 杰恩内斯 ;38;SL;General Staffer;Medium;M47054;x
47055;Foreign Minister;阿尔伯特 伊查恩蒂 门特罗 ;39;SL;Iron Fisted Brute;Medium;M47055;x
47056;Foreign Minister;罗贝托 波讷斯 梅森 ;40;SL;Apologetic Clerk;Medium;M47056;x
47057;Foreign Minister;托比亚茨 扎伊加 门塔纳 ;42;SL;Biased Intellectual;High;M47033;x
47058;Foreign Minister;奇库 奥利奇 波尔马奇 ;44;SL;Ideological Crusader;High;M47058;x
47059;Foreign Minister;阿多尔佛 乌莱比 卡斯特罗 ;36;SC;Apologetic Clerk;Medium;M47044;x
47060;Foreign Minister;拉菲尔 卡德尔隆  古德亚 ;40;SC;Biased Intellectual;Medium;M47036;x
47061;Foreign Minister;朱利奥 阿库斯塔 加西亚 ;42;SC;Great Compromiser;Medium;M47004;x
47062;Foreign Minister;提多洛 皮卡多 密查尔斯基 ;43;SC;Ideological Crusader;High;M47037;x
47063;Foreign Minister;曼努埃尔 德 帕拉塔 ;44;SC;Iron Fisted Brute;Medium;M47063;x
47064;Foreign Minister;拉尔 古登 ;36;PA;General Staffer;Medium;M47003;x
47065;Foreign Minister;曼努埃尔 莫拉 沃尔维德 ;40;LE;The Cloak N Dagger Schemer;Medium;M47021;x
47066;Foreign Minister;恩里克 迪茨 托莱多 ;47;LWR;Apologetic Clerk;Medium;M47066;x
47067;Minister of Armament;约瑟 费古尔斯 菲勒 ;44;SD;Administrative Genius;Medium;M47041;x
47068;Minister of Armament;卡卢法 法尔斯 希纳加 ;47;SD;Submarine Proponent;High;M47068;x
47070;Minister of Armament;奇库 奥利奇 波尔马奇 ;40;SL;Tank Proponent;High;M47058;x
47071;Minister of Armament;罗贝托 波讷斯 梅森 ;44;SL;Infantry Proponent;Medium;M47056;x
47072;Minister of Armament;托比亚茨 扎伊加 门塔纳 ;47;SL;Air to Ground Proponent;High;M47033;x
47073;Minister of Armament;朱万 库特斯 卡斯特罗 ;36;SC;laissez-faire capitalist;Medium;M47073;x
47074;Minister of Armament;奥托 库特斯 菲尔南德茨 ;38;SC;Administrative Genius;High;M47035;x
47075;Minister of Armament;托比亚茨 皮卡多 库特斯 ;41;SC;Battle Fleet Proponent;Very High;M47075;x
47076;Minister of Armament;伊格纳奇 门德尔 阿里诺 ;36;PA;Corrupt Kleptocrat;High;M47014;x
47077;Minister of Armament;鲁尔 菲尔南德 罗德利戈斯 ;40;LE;Air to Ground Proponent;Medium;M47024;x
47078;Minister of Armament;伊格纳奇 门德尔 阿里诺 ;47;LWR;Corrupt Kleptocrat;High;M47014;x
47079;Minister of Security;卡卢法 法尔斯 希纳加 ;44;SD;Silent Lawyer;Medium;M47068;x
47080;Minister of Security;约瑟 费古尔斯 菲勒 ;47;SD;Man of the People;High;M47041;x
47082;Minister of Security;伊萨利诺 德 希尔瓦 隆德利斯 ;40;SL;Crime Fighter;Low;M47040;x
47083;Minister of Security;托比亚茨 扎伊加 门塔纳 ;44;SL;Silent Lawyer;High;M47033;x
47084;Minister of Security;阿勒加多 德 卡斯特罗  洛佩兹 ;47;SL;Man of the People;High;M47034;x
47085;Minister of Security;阿多尔佛 乌莱比 卡斯特罗 ;36;SC;Compassionate Gentleman;Medium;M47044;x
47087;Minister of Security;托比亚茨 皮卡多 库特斯 ;46;SC;Prince of Terror;Very High;M47075;x
47088;Minister of Security;阿尔伯特 马腾 查瓦利亚 ;36;PA;Crooked Kleptocrat;Very Low;M47015;x
47089;Minister of Security;伊萨利诺 德 希尔瓦 隆德利斯 ;40;LWR;Crime Fighter;Low;M47040;x
47090;Minister of Security;卡门 里拉 ;47;LWR;Prince of Terror;Low;M47025;x
47091;Head of Military Intelligence;约瑟 费古尔斯 菲勒 ;44;SD;Political Specialist;Medium;M47041;x
47092;Head of Military Intelligence;罗姆尔多 杰恩内斯 奥勒姆利奥 ;36;SL;Technical Specialist;High;M47001;x
47093;Head of Military Intelligence;拉尔 古登 ;36;SL;Dismal Enigma;Medium;M47003;x
47094;Head of Military Intelligence;恩里克 迪茨 托莱多 ;44;SL;Logistics Specialist;Medium;M47066;x
47095;Head of Military Intelligence;托比亚茨 扎伊加 门塔纳 ;47;SL;Political Specialist;High;M47033;x
47096;Head of Military Intelligence;本杰明 努兹 瓦加斯 ;36;SC;Logistics Specialist;High;M47096;x
47098;Head of Military Intelligence;罗姆尔多 皮诺 洛加 ;46;SC;Dismal Enigma;Low;M47011;x
47099;Head of Military Intelligence;约瑟 孟德尔 阿里诺 ;36;PA;Industrial Specialist;Medium;M47016;x
47100;Head of Military Intelligence;胡戈 门特尔 拉米尔茨 ;40;LE;Logistics Specialist;Medium;M47100;x
47101;Head of Military Intelligence;米古尔 拉米尔茨 阿尔康塔拉 ;47;LWR;Dismal Enigma;Medium;M47026;x
47102;Chief of Staff;菲利皮 阿布勒 卡斯特罗 ;45;SD;School of Fire Support;High;M47102;x
47103;Chief of Staff;约瑟 费古尔斯 菲勒 ;47;SD;School of Mass Combat;High;M47103;x
47105;Chief of Staff;阿勒加多 德 卡斯特罗  洛佩兹 ;47;SL;School of Mass Combat;High;M47034;x
47107;Chief of Staff;乔哲 瓦利奥 吉门 ;44;SC;School of Manoeuvre;Medium;M47107;x
47109;Chief of Staff;胡戈 门特尔 拉米尔茨 ;40;LE;School of Psychology;Medium;M47100;x
47110;Chief of Staff;米古尔 拉米尔茨 阿尔康塔拉 ;47;LWR;School of Fire Support;Medium;M47026;x
47112;Chief of Army;约瑟 费古尔斯 菲勒 ;47;SD;Decisive Battle Doctrine;High;M47103;x
47114;Chief of Army;托比亚茨 扎伊加 门塔纳 ;47;SL;Elastic Defence Doctrine;High;M47033;x
47116;Chief of Army;东 阿纳尔多 扎莫拉 ;40;SC;Guns and Butter Doctrine;Medium;M47111;x
47117;Chief of Army;乔哲 瓦利奥 吉门 ;44;SC;Armoured Spearhead Doctrine;High;M47107;x
47118;Chief of Army;巴迪斯塔 古提尔茨 ;36;PA;Elastic Defence Doctrine;Medium;M47018;x
47119;Chief of Army;胡戈 门特尔 拉米尔茨 ;40;LE;Decisive Battle Doctrine;Medium;M47100;x
47120;Chief of Army;弗朗西斯科 罗森多 阿格勒 ;47;LWR;Guns and Butter Doctrine;Medium;M47028;x
47121;Chief of Navy;菲利皮 阿布勒 卡斯特罗 ;44;SD;Power Projection Doctrine;High;M47102;x
47125;Chief of Navy;曼努埃尔 莫拉 沃尔维德 ;40;LE;Base Control Doctrine;Medium;M47021;x
47126;Chief of Navy;胡戈 西德勒 门多扎 ;47;LWR;Indirect Approach Doctrine;Medium;M47029;x
47127;Chief of Air Force;古利尔莫 马查 努兹 ;44;SD;Air Superiority Doctrine;Medium;M47127;x
47129;Chief of Air Force;卡洛斯 乌尔比 阿尔伯维达 ;36;SC;Carpet Bombing Doctrine;Medium;M47129;x
47131;Chief of Air Force;曼努埃尔 莫拉 沃尔维德 ;40;LE;Army Aviation Doctrine;Medium;M47021;x
47132;Chief of Air Force;奥斯卡 帕蒂拉 萨利姆 ;47;LWR;Naval Aviation Doctrine;Medium;M47030;x
47133;Head of State;桑托斯 勒尔 赫尔拉 ;47;SC;Pig-headed Isolationist;High;M47133;x
47134;Head of Government;桑托斯 勒尔 赫尔拉 ;47;SC;Corporate Suit;High;M47133;x
47030;Chief of Air Force;奥斯卡 帕蒂拉 萨利姆 ;36;LWR;Naval Aviation Doctrine;Medium;M47030;x
