IND;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
59102;Chief of Army;弗兰克 米瑟维 ;45;SL;Armoured Spearhead Doctrine;Very Low;M59102;x
59103;Chief of Army;阿奇博尔德 韦维尔 ;42;ML;Elastic Defence Doctrine;High;M59034;x
59104;Chief of Army;古雷希 ;36;PA;Static Defence Doctrine;Medium;M59040;x
59107;Chief of Navy;巴斯卡 索曼 ;36;SD;Decisive Naval Battle Doctrine;Medium;M59107;x
59109;Chief of Navy;拉姆 德斯 卡塔瑞 ;47;SL;Power Projection Doctrine;Medium;M59019;x
59110;Chief of Navy;W.H.古尔德-巴拉德弗德 ;42;ML;Open Seas Doctrine;Medium;L1349;x
59112;Chief of Navy;哈宁德 辛格 ;46;PA;Indirect Approach Doctrine;Medium;M59112;x
59113;Chief of Air Force;阿拉加 辛格 维布赫桑 ;36;SD;Air Superiority Doctrine;medium;M59113;x
59115;Chief of Air Force;苏博托 姆克赫吉 ;46;SD;Army Aviation Doctrine;medium;M59115;x
59116;Chief of Air Force;梅哈尔 辛格 ;36;SL;Army Aviation Doctrine;medium;M59114;x
59117;Chief of Air Force;阿斯皮亚 梅瓦 恩格尼尔 ;43;SL;Naval Aviation Doctrine;medium;M59117;x
59119;Chief of Air Force;拉文德拉 达拉萨 辛格 ;36;PA;Carpet Bombing Doctrine;High;M59118;x
59121;Head of State;拉吉达 帕萨德 ;36;SL;Weary Stiffneck;High;M59031;x
59122;Foreign Minister;伊斯瓦特劳二世 ;41;PA;Iron Fisted Brute;Medium;M59122;x
59123;Minister of Armament;H.H. 布兰德 ;42;PA;Air to Ground Proponent;Very High;M59123;x
59124;Minister of Security;阿里汗三世 ;36;PA;Prince of Terror;Very High;M59124;x
59125;Minister of Security;H.H. 瓦格吉 ;44;PA;Compassionate Gentleman;Very High;M59125;x
59126;Head of Military Intelligence;H.H. 塔希 ;36;PA;Political Specialist;Medium;M59126;x
59127;Head of State;查克拉瓦尔蒂 拉贾戈巴拉查理 ;48;SD;Die-hard Reformer;High;M59127;x
59128;Head of Government;尼赫鲁 ;45;SD;Political Protege;High;M59046;x
59129;Foreign Minister;吉尼斯 马瓦兰卡 ;52;SD;Great Compromiser;High;M59129;x
59130;Minister of Security;萨瓦帕利 拉达克里希南 ;51;SD;Compassionate Gentleman;Very High;M59130;x
