RUS;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
4111;Minister of Security;格里高利 赛耶诺夫 ;36;NS;Crime Fighter;Very High;M4111;x
4112;Minister of Security;费里克斯 雅所拨夫 ;36;NS;Back Stabber;Very High;M4112;x
4113;Minister of Security;赛尔基 罗德兹亚诺 ;36;PA;Silent Lawyer;Very High;M4103;x
4114;Minister of Security;尼克莱 叶佐夫 ;36;PA;Back Stabber;Undying;M4093;x
4115;Minister of Security;弗拉基米尔 科克比列夫 ;36;SC;Prince of Terror;Very High;M4115;x
4116;Minister of Security;费里克斯F约瑟普 ;36;SC;Compassionate Gentleman;Very High;M4112;x
4117;Head of Military Intelligence;尼克莱 叶佐夫 ;36;FA;Technical Specialist;Undying;M4093;x
4118;Head of Military Intelligence;夫泽沃尔德 ;36;NS;Dismal Enigma;Very High;M4118;x
4119;Head of Military Intelligence;赛尔基 萨佐尼 ;36;NS;Industrial Specialist;Very High;M4110;x
4120;Head of Military Intelligence;安纳托利 卡雷金 ;36;PA;Logistics Specialist;Very High;M4120;x
4121;Head of Military Intelligence;亚历山大 克尔查克 ;68;PA;Naval Intelligence Specialist;Very High;M4089;x
4122;Head of Military Intelligence;伊立可 ;36;SC;Technical Specialist;Very High;M4122;x
4123;Head of Military Intelligence;尤里 罗芬博格 ;36;SC;Logistics Specialist;Very High;M4107;x
4124;Chief of Staff;皮特尔瓦格尔特 ;36;FA;School of Manoeuvre;High;M4124;x
4125;Chief of Staff;费多尔 特金 ;36;NS;School of Mass Combat;High;M4125;x
4126;Chief of Staff;安德烈 安德烈耶维奇 弗拉索夫;36;NS;School of Fire Support;High;M4090;x
4127;Chief of Staff;亚历山大 克尔查克 ;68;PA;School of Defence;High;M4089;x
4128;Chief of Staff;密克黑尔 塔卡切夫斯基 ;36;PA;School of Manoeuvre;High;M4128;x
4129;Chief of Staff;费里克斯 ;36;SC;School of Fire Support;High;M4129;x
4130;Chief of Staff;杰文根 范 隆美尔 ;36;SC;School of Manoeuvre;High;M4130;x
4131;Chief of Army;亚历山大 伊格罗夫 ;36;FA;Armoured Spearhead Doctrine;Very High;M4131;x
4132;Chief of Army;安德烈 安德烈耶维奇 弗拉索夫;36;NS;Elastic Defence Doctrine;Very High;M4090;x
4133;Chief of Army;密克莱里 图卡切夫斯基 ;36;NS;Static Defence Doctrine;Very High;M4128;x
4134;Chief of Army;佩特 弗拉格尔 ;36;PA;Decisive Battle Doctrine;Very High;M4124;x
4135;Chief of Army;杰弗根尼 范 隆美尔 ;36;PA;Armoured Spearhead Doctrine;Very High;M4130;x
4136;Chief of Army;范  不洛格 ;36;SC;Armoured Spearhead Doctrine;Very High;M4136;x
4137;Chief of Army;伊格尔 贝洛夫 ;36;SC;Static Defence Doctrine;Very High;M4137;x
4138;Chief of Navy;佩塔尔 德洛茨德 ;36;FA;Open Seas Doctrine;High;M4138;x
4139;Chief of Navy;奥莱格 密克尔金 ;36;NS;Indirect Approach Doctrine;High;M4139;x
4141;Chief of Navy;亚历山大 克尔查克 ;68;PA;Power Projection Doctrine;High;M4089;x
4142;Chief of Navy;康斯坦丁 杜十诺夫 ;36;PA;Base Control Doctrine;High;L10520;x
4143;Chief of Navy;罗伯特 范 维尔 ;36;SC;Decisive Naval Battle Doctrine;High;M4143;x
4144;Chief of Navy;埃多瓦格 加利 ;36;SC;Open Seas Doctrine;High;L10417;x
4145;Chief of Air Force;伊万 塔比 ;36;FA;Air Superiority Doctrine;High;M4145;x
4148;Chief of Air Force;尼克莱 卡尔拉姆福 ;36;PA;Army Aviation Doctrine;High;L10472;x
4149;Chief of Air Force;Jurij 阿尔金尼斯 ;36;PA;Vertical Envelopment Doctrine;High;M4146;x
4150;Chief of Air Force;赛尔基 克伦斯基 ;36;SC;Vertical Envelopment Doctrine;High;M4150;x
4151;Chief of Air Force;杰根 萨姆什科维奇 ;36;SC;Air Superiority Doctrine;High;M4147;x
4152;Head of State;H.R.H.弗拉基米尔三世 罗曼诺夫 沙皇陛下;38;FA;Benevolent Gentleman;High;M4091;x
4168;Head of State;安德烈 安德烈耶维奇 弗拉索夫;38;PA;Benevolent Gentleman;High;Vlassov_head;x
4169;Head of State;沙皇陛下 伊凡七世;38;NS;Benevolent Gentleman;High;kaiserreich Louis Ferdinand;x
