CZE;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
24046;Head of Government;鲁多夫 贝兰 ;38;PA;Political Protege;High;M24012;x
24047;Head of Government;贝德利奇 霍莫拉 ;45;SC;Happy Amateur;High;M24047;x
24048;Head of Government;卡拉尔 卡勒姆瑟克 ;36;NS;Happy Amateur;High;M24048;x
24049;Head of Government;阿洛伊斯 伊利阿斯 ;39;NS;Old General;High;M24040;x
24050;Head of Government;约瑟夫 杰泽克 ;45;NS;Flamboyant Tough Guy;High;M24016;x
24051;Head of Government;提奥多 伊瑟里奇 ;36;ST;Naive Optimist;High;M24051;x
24052;Head of Government;古斯塔夫 胡萨克 ;43;ST;Political Protege;High;M24022;x
24053;Foreign Minister;卡米尔 克罗夫塔 ;36;ML;Great Compromiser;High;M24053;x
24054;Foreign Minister;弗兰提斯科 查沃库斯基 ;38;ML;Iron Fisted Brute;Very High;M24054;x
24055;Foreign Minister;吉尔 马萨利克 ;40;ML;Ideological Crusader;Very High;M24055;x
24056;Foreign Minister;斯蒂凡 奥苏斯基 ;36;SC;Great Compromiser;Very High;M24035;x
24057;Foreign Minister;朱拉吉 希尔克 ;40;SC;Biased Intellectual;Medium;M24057;x
24058;Foreign Minister;奥德利奇 奥塔曼 ;36;PA;Apologetic Clerk;Medium;M24058;x
24059;Foreign Minister;贝德利奇 纽曼 ;45;PA;General Staffer;Medium;M24059;x
24060;Foreign Minister;康斯坦丁 冯 伊孔纳维奇 ;36;NS;The Cloak N Dagger Schemer;High;M24060;x
24061;Foreign Minister;孔拉德 亨赖因 ;39;NS;Ideological Crusader;High;M24013;x
24062;Foreign Minister;加罗米尔 库里加奇 ;45;NS;Apologetic Clerk;High;M24062;x
24063;Foreign Minister;沃尔蒂米尔 克莱门提斯 ;36;ST;Great Compromiser;Medium;M24023;x
24064;Foreign Minister;古斯塔夫 胡萨克 ;41;ST;Iron Fisted Brute;High;M24022;x
24065;Foreign Minister;鲁多夫 斯兰斯科 ;43;ST;the cloak n dagger schemer;High;M24024;x
24066;Minister of Armament;伊米利 弗兰克 e ;36;ML;Theoretical Scientist;High;M24066;x
24068;Minister of Armament;卡拉尔 巴斯莱科 ;39;ML;Military Entrepreneur;High;M24068;x
24069;Minister of Armament;菲迪南 维沃卡 ;43;ML;Administrative Genius;Medium;M24069;x
24070;Minister of Armament;伊米利 多布里瑟克 ;36;PA;Administrative Genius;Low;M24070;x
24071;Minister of Armament;伊米利 哈尔哈 ;39;PA;Theoretical Scientist;Low;M24031;x
24072;Minister of Armament;弗兰提斯科 贝克 ;41;SC;Theoretical Scientist;Medium;M24072;x
24073;Minister of Armament;卡拉尔 卡尼 ;43;PA;Infantry Proponent;High;M24073;x
24074;Minister of Armament;安东尼 卡尼 ;45;PA;Tank Proponent;High;M24074;x
24075;Minister of Armament;欧内斯特 昆德特 ;36;NS;Resource Industrialist;High;M24014;x
24076;Minister of Armament;奥托卡 瑟布林 ;38;NS;laissez-faire capitalist;High;M24076;x
24077;Minister of Armament;卡拉尔 卡勒姆瑟克 ;41;NS;Administrative Genius;Low;M24048;x
24078;Minister of Armament;简 普尔卡拉 ;45;NS;Infantry Proponent;Low;M24078;x
24079;Minister of Armament;伯胡米尔 斯迪潘内克 ;36;ST;Tank Proponent;Medium;M24079;x
24080;Minister of Armament;卡拉尔 奥拉曼内克 ;41;ST;laissez-faire capitalist;Medium;M24080;x
24081;Minister of Armament;鲁多夫 斯兰斯基 ;45;ST;Theoretical Scientist;Medium;M24024;x
24082;Minister of Security;维克多 弗兰西奇 ;36;ML;Crime Fighter;Medium;M24082;x
24084;Minister of Security;加罗米尔 库佩希奇 ;39;ML;Prince of Terror;Medium;M24084;x
24085;Minister of Security;吉尔 萨利克 ;40;ML;Silent Lawyer;Medium;M24044;x
24086;Minister of Security;欧内斯特 弗里斯彻 ;43;ML;Back Stabber;Medium;M24086;x
24087;Minister of Security;奥塔卡 伊斯彻 ;36;PA;Compassionate Gentleman;Very High;M24087;x
24088;Minister of Security;弗兰库伊斯 霍达奇 ;39;SC;Silent Lawyer;Medium;M24088;x
24089;Minister of Security;约瑟夫 杰泽克 ;41;SC;Crime Fighter;Medium;M24016;x
24090;Minister of Security;朱拉吉 希尔克 ;43;SC;Man of the People;High;M24057;x
24091;Minister of Security;简 卡普拉斯 ;45;PA;Prince of Terror;Medium;M24015;x
24092;Minister of Security;约翰恩 舒维因 冯 库罗斯科 ;39;NS;Man of the People;NA;M24037;x
24093;Minister of Security;库特 卡鲁杰 ;41;NS;Efficient Sociopath;Very High;M24038;x
24094;Minister of Security;卡尔 赫曼 弗兰克 ;43;NS;Crooked Kleptocrat;High;M24011;x
24095;Minister of Security;普罗库普 多迪纳 ;36;ST;Man of the People;High;M24025;x
24096;Minister of Security;提奥多 伊瑟里奇 ;39;ST;Prince of Terror;High;M24051;x
24097;Minister of Security;克里斯多夫 伊莫利奇 ;41;ST;Silent Lawyer;Very High;M24097;x
24098;Minister of Security;约泽夫 泽曼 ;45;ST;Back Stabber;Very High;M24098;x
24099;Head of Military Intelligence;玻利斯 图佩尔 ;36;ML;Political Specialist;Very High;M24099;x
24100;Head of Military Intelligence;塔比阿斯 卡勒 ;38;ML;Industrial Specialist;Very High;M24100;x
24102;Head of Military Intelligence;玻利斯 库万库克 ;43;ML;Technical Specialist;Very High;M24102;x
24103;Head of Military Intelligence;贝德利奇 霍莫拉 ;36;SC;Dismal Enigma;Medium;M24047;x
24104;Head of Military Intelligence;伯胡米尔 内姆齐 ;36;PA;Industrial Specialist;High;M24104;x
24105;Head of Military Intelligence;鲁多夫 贝兰 ;43;PA;Political Specialist;High;M24012;x
24106;Head of Military Intelligence;伯胡斯拉夫 维斯提卡 ;45;PA;Logistics Specialist;High;M24106;x
24107;Head of Military Intelligence;约瑟夫 杰泽克 ;36;NS;Political Specialist;Very High;M24016;x
24108;Head of Military Intelligence;伯胡米尔 库佩卡 ;41;NS;Logistics Specialist;Very High;M24108;x
24109;Head of Military Intelligence;伊利阿斯 库恩 ;36;ST;Technical Specialist;High;M24041;x
24110;Head of Military Intelligence;鲁多夫 斯兰斯科 ;40;ST;Political Specialist;High;M24024;x
24111;Head of Military Intelligence;泽登内克 福林格尔 ;45;ST;Dismal Enigma;Very High;M24026;x
24112;Chief of Staff;沃尔蒂米尔 卡多斯 ;36;ML;School of Fire Support;Very High;M24112;x
24114;Chief of Staff;瑟杰吉 吉尔 因格 ;41;ML;School of Manoeuvre;Very High;M24114;x
24115;Chief of Staff;加罗斯拉夫 西哈克 ;43;ML;School of Mass Combat;Very High;M24115;x
24116;Chief of Staff;布鲁诺 斯克兰科夫斯基 ;45;ML;School of Psychology;Very High;M24116;x
24117;Chief of Staff;菲迪南 卡特罗斯 ;36;PA;School of Defence;Medium;M24117;x
24118;Chief of Staff;简 古里安 ;41;PA;School of Manoeuvre;Very High;M24118;x
24119;Chief of Staff;约瑟夫 图兰内克 ;36;NS;School of Psychology;Very High;M24119;x
24120;Chief of Staff;罗伯特 李奇图莫斯 ;41;NS;School of Manoeuvre;Medium;M24017;x
24121;Chief of Staff;路德维克 斯沃伯达 ;36;ST;School of Mass Combat;High;M24027;x
24123;Chief of Army;弗兰提斯科 扎维斯卡 ;38;ML;Guns and Butter Doctrine;Medium;M24123;x
24124;Chief of Army;伊米利 费拉 ;39;ML;Decisive Battle Doctrine;Medium;M24124;x
24125;Chief of Army;瑟杰吉 吉尔 因格 ;41;ML;Elastic Defence Doctrine;Very High;M24114;x
24126;Chief of Army;伯胡米尔 博斯科 ;43;ML;Armoured Spearhead Doctrine;Very High;M24126;x
24127;Chief of Army;简 斯洛夫 ;36;PA;Guns and Butter Doctrine;Medium;M24034;x
24128;Chief of Army;贝德利奇 霍莫拉 ;39;PA;Static Defence Doctrine;Very High;M24047;x
24129;Chief of Army;安德雷 瓦拉斯科夫 ;43;PA;Decisive Battle Doctrine;High;M24129;x
24130;Chief of Army;鲁多夫 维斯特 ;45;PA;Armoured Spearhead Doctrine;Medium;M24130;x
24131;Chief of Army;加罗斯拉夫 贝哈奇 ;36;NS;Elastic Defence Doctrine;Medium;M24131;x
24132;Chief of Army;阿洛伊斯 伊利阿斯 ;39;NS;Static Defence Doctrine;Medium;M24040;x
24133;Chief of Army;奥托 巴拉 ;43;NS;Armoured Spearhead Doctrine;Medium;M24018;x
24134;Chief of Army;路德维克 斯沃巴达 ;36;ST;Static Defence Doctrine;High;M24027;x
24136;Chief of Navy;加罗斯拉夫 西哈克 ;39;ML;Decisive Naval Battle Doctrine;Medium;M24115;x
24137;Chief of Navy;菲迪南 卡特罗斯 ;36;PA;Base Control Doctrine;Medium;M24117;x
24138;Chief of Navy;罗伯特 李奇图莫斯 ;36;NS;Open Seas Doctrine;High;M24017;x
24139;Chief of Navy;克莱门特 古特瓦德 ;36;ST;Base Control Doctrine;High;M24021;x
24140;Chief of Air Force;约瑟夫 弗兰提斯科 ;36;ML;Air Superiority Doctrine;Low;M24140;x
24142;Chief of Air Force;卡拉尔 库特尔瓦斯彻 ;43;ML;Army Aviation Doctrine;Very High;M24142;x
24144;Chief of Air Force;奥古斯丁 马拉 ;36;NS;Vertical Envelopment Doctrine;High;M24020;x
24145;Chief of Air Force;简 普罗库普 ;36;ST;Vertical Envelopment Doctrine;High;M24030;x
24146;Minister of Security;奥塔卡 伊斯彻 ;36;NS;Compassionate Gentleman;Very High;M24087;x
24147;Head of Government;克莱门特 古特瓦德 ;45;ST;Backroom Backstabber;High;M24021;x
24148;Head of State;艾杜瓦德 伯恩斯 ;39;ML;Pig-headed Isolationist;High;M24001;x
24149;Head of Government;卡拉尔 卡勒姆瑟克 ;36;PA;Happy Amateur;High;M24048;x
24150;Head of State;康斯坦丁 冯 伊孔纳维奇 ;45;NS;Autocratic Charmer;High;M24060;x
24024;Minister of Armament;鲁多夫 斯拉林斯科 ;36;ST;Theoretical Scientist;Medium;M24024;x
24026;Head of Military Intelligence;泽登纳克 福林格尔 ;36;ST;Political Specialist;Very High;M24026;x
24151;Head of State;安东尼 扎普托奇基 ;53;ST;Pig-headed Isolationist;High;M24151;x
24152;Head of Government;安东尼 诺沃特 ;53;ST;Corporate Suit;High;M24152;x
24153;Foreign Minister;维拉姆 瑟罗奇基 ;50;ST;Iron Fisted Brute;Medium;M24153;x
24154;Minister of Armament;路德维克 斯沃博达 ;36;ST;Military Entrepreneur;Medium;M24027;x
24155;Minister of Armament;阿莱克贾 科皮卡 ;50;ST;Infantry Proponent;Medium;M24155;x
24156;Minister of Security;沃克拉夫 诺斯科 ;45;ST;Efficient Sociopath;Very High;M24156;x
24157;Head of Military Intelligence;普罗库普 多迪纳 ;45;ST;Political Specialist;High;M24025;x
24158;Head of Military Intelligence;阿莱克贾 科皮卡 ;48;ST;Logistics Specialist;High;M24155;x
24159;Head of Military Intelligence;斯蒂凡 莱斯 ;50;ST;Dismal Enigma;High;M24158;x
