MAN;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
58054;Chief of Staff;赵秋航 ;46;PA;School of Mass Combat;Very High;M58054;x
58055;Chief of Army;邢士廉 ;36;FA;Armoured Spearhead Doctrine;Medium;M58049;x
58091;Chief of Army;张海鹏;36;FA;Guns and Butter Doctrine;Medium;张海鹏;x
58056;Chief of Army;川岛芳子 ;38;FA;Guns and Butter Doctrine;Medium;L250012;x
58057;Chief of Army;中岛今朝吾 ;41;NS;Elastic Defence Doctrine;Medium;M58051;x
58058;Chief of Army;磯谷廉介 ;43;NS;Guns and Butter Doctrine;Medium;M58052;x
58059;Chief of Army;曼弗雷德 冯 茨谢魏伦 ;45;PA;Armoured Spearhead Doctrine;Very Low;M58059;x
58060;Chief of Army;溥仪 ;46;PA;Guns and Butter Doctrine;Very High;M58001;x
58061;Chief of Navy;金海斯 ;37;FA;Decisive Naval Battle Doctrine;Medium;M58061;x
58062;Chief of Navy;尹祚乾 ;36;FA;Base Control Doctrine;Medium;M58062;x
58063;Chief of Navy;岗敬淳 ;41;NS;Indirect Approach Doctrine;Medium;M58063;x
58064;Chief of Navy;织田有乐 ;43;NS;Base Control Doctrine;Medium;M58064;x
58065;Chief of Navy;角能著黑;44;NS;Power Projection Doctrine;Medium;M58065;x
58066;Chief of Navy;泰迟全 ;45;PA;Power Projection Doctrine;Very Low;M58066;x
58068;Chief of Air Force;矶野裕三 ;37;FA;Air Superiority Doctrine;Medium;M58068;x
58069;Chief of Air Force;中岛真司 ;38;FA;Naval Aviation Doctrine;Medium;M58069;x
58070;Chief of Air Force;宫崎彰 ;41;NS;Army Aviation Doctrine;Medium;M58070;x
58071;Chief of Air Force;伊藤述史 ;43;NS;Carpet Bombing Doctrine;Medium;M58071;x
58072;Chief of Air Force;角能著黑 ;44;NS;Air Superiority Doctrine;Medium;M58065;x
58073;Chief of Air Force;李成 ;45;PA;Naval Aviation Doctrine;Very Low;M58019;x
58074;Chief of Air Force;曹秉森 ;36;PA;Army Aviation Doctrine;Very High;M58074;x
