CHI;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
52138;Chief of Army;朱德 ;41;SC;Decisive Battle Doctrine;High;MC_CHC_51108;x
52140;Chief of Army;李宗仁 ;41;SD;Static Defence Doctrine;High;M52031;x
52141;Chief of Army;林彪 ;41;SC;Guerilla Warfare Doctrine;Medium;MC_CHC_51154;x
52142;Chief of Army;刘伯承 ;41;SL;Elastic Defence Doctrine;High;MC_CHC_51147;x
52147;Chief of Navy;肖劲光 ;41;SL;Base Control Doctrine;High;MC_CHC_51109;x
52152;Chief of Air Force;刘亚楼 ;41;SD;Air Superiority Doctrine;High;LC_CHC_76077;x
52153;Minister of Armament;傅作义 ;41;SD;Tank Proponent;High;M52093;x
52154;Minister of Armament;顾祝同 ;41;SC;Infantry Proponent;High;M52097;x
52155;Minister of Armament;徐庭瑶 ;41;SD;Theoretical Scientist;High;M52098;x
52157;Head of State;毛泽东 ;37;ST;Mao_Zedong_1;Medium;MC_CHC_51101;x
52158;Head of Government;周恩来 ;37;ST;Silent Workhorse;Medium;MC_CHC_51102;x
52159;Head of State;李宗仁 ;37;SD;Popular Figurehead;Medium;M52031;x
52160;Head of Government;汪精卫 ;36;PA;Naive Optimist;Medium;M52041;x
52161;Head of State;蒋中正 ;37;SL;Jiang_Jieshi_1;Medium;M52002;x
52162;Head of Government;宋子文 ;37;ML;Corporate Suit;Medium;M52024;x
52163;Head of State;刘少奇 ;37;SD;Popular Figurehead;Medium;MC_CHC_51143;x
52164;Head of Government;邓小平 ;37;SD;Silent Workhorse;Medium;MC_CHC_51113;x
52165;Head of State;蒋经国 ;37;SL;Stern Imperialist;Medium;M52055;x
52166;Head of Government;陈诚 ;37;ML;Silent Workhorse;Medium;M52115;x
52167;Head of Government;蒋中正;37;PA;Jiang_Jieshi_2;High;M52002;x
52191;Head of Government;蒋中正;40;SC;Jiang_Jieshi_3;High;M52002;x
52168;Head of State;蒋介石;36;PA;Autocratic Charmer;Medium;M52002;x
