VEN;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
38019;Chief of Navy;托马斯 康特雷拉斯 维拉罗伯斯 ;36;FA;Indirect Approach Doctrine;Low;M38019;x
38021;Head of State;霍维托 维拉尔巴 ;36;LWR;Powerhungry Demagogue;High;M38021;x
38022;Head of Government;曼努埃尔 迪亚斯 Rodriguez ;36;LWR;Naive Optimist;High;M38022;x
38023;Foreign Minister;佩德罗 莱昂 卡斯特罗 ;36;LWR;Biased Intellectual;Medium;M38023;x
38024;Minister of Armament;曼努埃尔 迪亚斯 Rodriguez ;36;LWR;Air to Sea Proponent;Medium;M38022;x
38025;Minister of Security;弗朗西斯科 佩利瑟尔 ;36;LWR;Crime Fighter;Medium;M38025;x
38026;Head of Military Intelligence;佩德罗 莱昂 卡斯特罗 ;36;LWR;Dismal Enigma;Medium;M38023;x
38030;Chief of Air Force;温贝托 S. 托雷斯 维雷拉 ;36;LWR;Naval Aviation Doctrine;Medium;M38030;x
38082;Head of State;罗慕洛 加列戈斯 弗雷勒 ;48;SD;Popular Figurehead;Medium;M38051;x
38083;Head of State;卡洛斯 德尔加多 查尔鲍德 ;48;SC;Resigned Generalissimo;Medium;L270004;x
38084;Head of State;赫尔曼 苏亚雷斯 弗拉梅里奇 ;50;SC;Insignificant Layman;Medium;M38084;x
38085;Head of State;马尔科斯 佩雷斯 吉米内斯 ;52;PA;Barking Buffoon;Medium;L270021;x
38086;Head of Government;路易斯 费利佩 洛维拉 Paez ;48;SC;old airmarshal;High;M38086;x
38087;Head of Government;马尔科斯 佩雷斯 吉米内斯 ;48;PA;Old General;High;L270021;x
38088;Foreign Minister;赫尔曼 苏亚雷斯 弗拉梅里奇 ;48;SC;Biased Intellectual;Medium;M38084;x
38089;Foreign Minister;安东尼奥 卡萨斯 冈萨雷斯 ;52;PA;General Staffer;Medium;M38057;x
38090;Chief of Army;马尔科斯 佩雷斯 吉米内斯 ;48;SC;Elastic Defence Doctrine;Medium;L270021;x
38091;Chief of Army;沃尔夫冈 拉腊萨瓦尔 乌格托 ;52;PA;Armoured Spearhead Doctrine;Medium;L270011;x
