PRU;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
39043;Head of Government;安里奎 加西亚 萨扬;45;ML;Flamboyant Tough Guy;High;M39043;x
39044;Head of Government;大卫 S. 奥卡波 ;45;SD;Ambitious Union Boss;High;M39044;x
39045;Head of Government;拉菲尔 贝朗德 德兹 ;46;ML;Naive Optimist;High;M39045;x
39046;Head of Government;胡里奥 葡萄牙 蒙特罗 ;47;ML;Silent Workhorse;High;M39046;x
39047;Foreign Minister;卡洛斯 寇查 ;36;SC;Apologetic Clerk;Medium;M39047;x
39048;Foreign Minister;拉菲尔 埃斯卡多 ;36;SD;General Staffer;Medium;M39048;x
39049;Foreign Minister;安里奎 戈耶迪索拉 博格涅西 ;39;SC;Iron Fisted Brute;Medium;M39049;x
39050;Foreign Minister;雷恩纳多 贝纳迪 ;39;SD;Ideological Crusader;Medium;M39035;x
39051;Foreign Minister;阿道夫 索尔夫 y 默罗 ;40;SC;The Cloak N Dagger Schemer;High;M39039;x
39052;Foreign Minister;曼奴埃尔 盖拉尔 ;44;SC;General Staffer;High;M39052;x
39053;Foreign Minister;曼奴埃尔 盖拉尔 ;45;SL;Biased Intellectual;High;M39052;x
39054;Foreign Minister;沙维尔 柯里亚 埃勒兹 ;45;ML;Iron Fisted Brute;High;M39054;x
39055;Foreign Minister;奥斯卡 米尔洛 克萨达 ;45;SD;The Cloak N Dagger Schemer;Medium;M39040;x
39056;Foreign Minister;安里奎 加西亚 萨扬 ;46;ML;The Cloak N Dagger Schemer;Medium;M39043;x
39057;Foreign Minister;曼奴埃尔 普拉多－乌加特切 ;47;SD;Apologetic Clerk;Medium;M39032;x
39058;Minister of Armament;何塞胡里奥 布拉沃 ;36;SC;Submarine Proponent;High;M39058;x
39059;Minister of Armament;路易斯 桑切斯 塞罗 ;38;SC;Infantry Proponent;Medium;M39005;x
39060;Minister of Armament;特列里奥 伊格莱希亚斯 ;36;SD;Tank Proponent;High;M39060;x
39061;Minister of Armament;奥古斯托 莱古亚 斯韦恩 ;39;SC;Administrative Genius;High;M39034;x
39062;Minister of Armament;曼奴埃尔 巴奎兹 德兹 ;39;SD;Air to Ground Proponent;High;M39062;x
39063;Minister of Armament;大卫 S. 奥卡波 ;39;SD;Military Entrepreneur;Medium;M39044;x
39064;Minister of Armament;埃杜拉多 雷巴格里亚蒂 马丁斯 ;41;SC;Military Entrepreneur;High;M39064;x
39065;Minister of Armament;大卫 达索 ;42;SC;laissez-faire capitalist;High;M39065;x
39066;Minister of Armament;奥斯卡 特莱雷斯 蒙特 ;43;SC;Submarine Proponent;Medium;M39066;x
39067;Minister of Armament;胡里奥 葡萄牙 蒙特罗 ;44;ML;Theoretical Scientist;Medium;M39046;x
39068;Minister of Armament;本杰明 罗卡 ;44;ML;Theoretical Scientist;High;M39068;x
39069;Minister of Armament;阿尔伯托 罗奎 萨尔德斯 ;45;ML;Battle Fleet Proponent;Medium;M39069;x
39070;Minister of Armament;吉尔摩 阿尔梅纳拉 伊里戈扬 ;45;ML;Administrative Genius;Medium;M39070;x
39071;Minister of Armament;路易斯 拉莫斯 奥尔迪兹 ;46;SD;Infantry Proponent;Medium;M39071;x
39072;Minister of Armament;罗奥 费雷罗 ;46;ML;laissez-faire capitalist;Medium;M39072;x
39073;Minister of Armament;君士坦丁 卡瓦略 ;47;SD;Strategic Air Proponent;Medium;M39024;x
39074;Minister of Armament;恩内斯托 斯科罗斯 ;47;SD;Battle Fleet Proponent;Medium;M39004;x
39075;Minister of Security;贝尼戈诺 宝莱 法弗 ;36;SC;Crooked Kleptocrat;Medium;M39075;x
39076;Minister of Security;埃尔奥杜罗 罗梅罗 ;37;SC;Silent Lawyer;Medium;M39076;x
39077;Minister of Security;维森特 N. 贝纳文特;36;SD;Silent Lawyer;Medium;M39077;x
39079;Minister of Security;安东尼奥 罗德里格斯 拉莫斯 ;39;SD;Compassionate Gentleman;Medium;M39079;x
39080;Minister of Security;路易斯 A. 弗洛雷斯 ;40;SC;Prince of Terror;Low;M39015;x
39081;Minister of Security;卡洛斯 贝宁佐 ;42;SC;Compassionate Gentleman;Low;M39081;x
39082;Minister of Security;吉尔摩 兰达 埃瑞舒奥;44;ML;Man of the People;Medium;M39082;x
39083;Minister of Security;奥古斯托 莱古亚 斯韦恩 ;45;SL;Man of the People;High;M39034;x
39084;Minister of Security;胡安 科特罗 阿萨尔 ;45;ML;Back Stabber;Medium;M39025;x
39085;Minister of Security;马克西姆 席尔瓦 ;45;SD;Crime Fighter;Medium;M39085;x
39086;Minister of Security;胡安 F. 戈巴罗切 罗德里格斯 ;46;ML;Prince of Terror;Medium;M39086;x
39087;Minister of Security;Ildefonso 宝莱 贝尔特洛 ;47;SD;Efficient Sociopath;Medium;M39087;x
39088;Head of Military Intelligence;霍拉西奥 帕蒂奥 克鲁萨蒂 ;36;SC;Naval Intelligence Specialist;Medium;M39088;x
39089;Head of Military Intelligence;阿尔伯托 阿亚拉 y 拉克罗西 ;36;SD;Dismal Enigma;Medium;M39089;x
39090;Head of Military Intelligence;贝尼戈诺 宝莱 法弗 ;39;SC;Dismal Enigma;Medium;M39075;x
39091;Head of Military Intelligence;胡安 巴蒂斯塔 德 拉瓦莱 ;42;SC;Industrial Specialist;Medium;M39091;x
39092;Head of Military Intelligence;阿尔弗雷多 埃尔维斯 卡尔德莱 ;43;SC;Technical Specialist;Medium;M39092;x
39093;Head of Military Intelligence;米盖尔 蒙特罗 y 迪拉多;39;SD;Political Specialist;Medium;M39093;x
39094;Head of Military Intelligence;雅各 T. 德 拉 弗洛 ;44;ML;Industrial Specialist;Medium;M39094;x
39095;Head of Military Intelligence;安里奎 托雷斯 冈萨雷斯 ;45;SL;Political Specialist;Medium;M39095;x
39096;Head of Military Intelligence;胡安 F. 戈巴罗切 罗德里格斯 ;45;ML;Dismal Enigma;Medium;M39086;x
39097;Head of Military Intelligence;里卡多 巴里尔 劳斯 ;45;SD;Technical Specialist;Medium;M39097;x
39098;Head of Military Intelligence;阿曼多 蒙特斯 德 佩拉尔塔 ;46;ML;Logistics Specialist;Medium;M39026;x
39099;Head of Military Intelligence;博纳多 帕拉西奥斯 y 蒙特西诺斯 ;47;SD;Technical Specialist;Medium;M39016;x
39102;Chief of Staff;路易斯 桑切斯 塞罗 ;39;SC;School of Mass Combat;Medium;M39102;x
39103;Chief of Staff;博纳多 帕拉西奥斯 y 蒙特西诺斯 ;39;SD;School of Fire Support;Medium;M39016;x
39104;Chief of Staff;里卡多 P. 戈多利 ;44;ML;School of Manoeuvre;Medium;M39104;x
39106;Chief of Staff;福尔图纳多 克萨达 拉尔;45;ML;School of Defence;Medium;M39106;x
39107;Chief of Staff;胡安 波塞 迪亚兹 ;45;SD;School of Psychology;Medium;M39027;x
39108;Chief of Staff;阿尔伯托 胡尔塔多 阿邦迪达 ;47;SD;School of Defence;Medium;M39108;x
39110;Chief of Army;奥斯卡 吉拉迪 ;36;SD;Static Defence Doctrine;Low;M39006;x
39111;Chief of Army;路易斯 萨恩斯 迪亚兹 ;39;SC;Elastic Defence Doctrine;Medium;M39111;x
39112;Chief of Army;伊洛 G. 乌雷塔 ;39;SD;Guns and Butter Doctrine;Medium;M39036;x
39113;Chief of Army;埃杜拉多 蒙特罗 洛加斯 ;44;ML;Armoured Spearhead Doctrine;Medium;M39113;x
39115;Chief of Army;巴拉迪 米尔洛 洛佩兹 特利古索 ;45;ML;Decisive Battle Doctrine;Medium;M39028;x
39116;Chief of Army;拉菲尔 埃斯卡多 ;47;SD;Elastic Defence Doctrine;Low;M39048;x
39119;Chief of Navy;阿尔伯托 罗奎 萨尔德斯 ;39;SC;Indirect Approach Doctrine;Medium;M39069;x
39120;Chief of Navy;曼奴埃尔 R. 尼托 ;39;SD;Open Seas Doctrine;Medium;M39120;x
39121;Chief of Navy;何塞德 拉 里瓦 阿奎罗 ;41;SC;Base Control Doctrine;Medium;M39011;x
39122;Chief of Navy;尼古拉斯 林德利 洛佩兹 ;44;ML;Decisive Naval Battle Doctrine;Low;M39019;x
39124;Chief of Navy;路易斯 纳瓦莱罗 ;45;ML;Power Projection Doctrine;High;M39124;x
39125;Chief of Navy;胡安 波塞迪亚兹 ;45;SD;Base Control Doctrine;Medium;M39027;x
39126;Chief of Navy;菲利普 图德拉 ;47;SD;Open Seas Doctrine;Medium;M39013;x
39129;Chief of Air Force;维森特 索拉诺 ;39;SC;Army Aviation Doctrine;High;M39129;x
39130;Chief of Air Force;罗幕诺 菲阿斯 ;39;SD;Air Superiority Doctrine;High;M39130;x
39131;Chief of Air Force;曼奴埃尔 蒙特罗 y 迪拉达 ;43;SC;Naval Aviation Doctrine;Medium;M39131;x
39132;Chief of Air Force;费尔南多 M. 克萨达 布兰科 ;44;ML;Carpet Bombing Doctrine;Medium;M39020;x
39134;Chief of Air Force;路易斯 纳瓦莱罗 ;45;ML;Naval Aviation Doctrine;High;M39124;x
39135;Chief of Air Force;阿尔伯托 洛佩兹 弗洛雷斯 ;45;SD;Vertical Envelopment Doctrine;Medium;M39030;x
39136;Chief of Air Force;埃杜拉多 坎塔布里亚  戈麦斯 ;47;SD;Army Aviation Doctrine;Medium;M39023;x
39137;Head of Government;阿尔伯托 雷 德 卡斯托 ;39;SC;Old General;High;M39137;x
39138;Head of Government;何塞 埃卡莫拉 ;47;ML;Corporate Suit;High;M39138;x
39139;Foreign Minister;塞萨尔 德 拉 福特 ;36;SC;General Staffer;Medium;L260004;x
39011;Head of State;何塞 德 拉 里瓦 阿奎罗 ;36;FA;Stern Imperialist;High;M39011;x
39012;Head of Government;何塞德 拉 里瓦 阿奎罗 ;36;FA;Old Admiral;High;M39011;x
39013;Foreign Minister;菲利普 图德拉 ;36;FA;The Cloak N Dagger Schemer;Medium;M39013;x
39021;Head of State;罗多维科 罗维诺 莫拉莱斯 ;36;ST;Benevolent Gentleman;High;M39021;x
39022;Head of Government;罗多维科 罗维诺 莫拉莱斯 ;36;ST;old airmarshal;High;M39021;x
39023;Foreign Minister;埃杜拉多 坎塔布里亚  戈麦斯 ;36;LE;Great Compromiser;Medium;M39023;x
39140;Head of State;曼奴埃尔 奥德利亚 阿莫莱蒂 ;48;PA;Resigned Generalissimo;High;L260017;x
39141;Head of Government;阿尔伯托 罗奎 萨尔德斯 ;47;SC;Old Admiral;High;M39069;x
39142;Head of Government;阿曼多 雷沃雷多 伊格莱希亚斯 ;48;ML;old airmarshal;High;M39142;x
39143;Head of Government;阿尔伯托 则诺 阿奎罗 ;48;PA;Old General;High;L260016;x
39144;Chief of Staff;阿尔伯托 泽诺 阿奎罗 ;48;SC;School of Psychology;Medium;L260016;x
39145;Chief of Staff;尼古拉斯 林德利 洛佩兹 ;50;PA;School of Manoeuvre;Medium;L260036;x
39146;Chief of Army;曼奴埃尔 奥德利亚 阿莫莱蒂 ;48;SC;Elastic Defence Doctrine;Medium;L260017;x
39147;Chief of Army;里卡多 佩雷兹 戈多利 ;50;PA;Armoured Spearhead Doctrine;Medium;L260020;x
39148;Minister of Armament;阿曼多 雷沃雷多 伊格莱希亚斯 ;50;SC;Military Entrepreneur;Medium;M39142;x
39149;Minister of Security;罗卡斯 桑切斯 马佩兹 ;51;PA;Efficient Sociopath;Low;M39149;x
