FLA;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
510054;Head of Government;R. 克里斯 ;41;NS;Political Protege;Very High;M510033;x
510055;Head of Military Intelligence;A. 德 邦奇德 ;36;FA;Political Specialist;Very High;M510039;x
510056;Head of Military Intelligence;埃德加 勒伯雷 ;40;NS;Technical Specialist;Very High;M510056;x
510057;Head of Military Intelligence;乔什 汉斯肯斯 ;39;NS;Logistics Specialist;Very High;M510044;x
510058;Head of Military Intelligence;卡莱尔 拉姆伯奇 ;39;NS;Industrial Specialist;Very High;M510049;x
510059;Head of Military Intelligence;R. 克里斯 ;41;NS;Political Specialist;Very High;M510033;x
510060;Head of Military Intelligence;理查德 扬克劳斯 ;41;NS;Dismal Enigma;Very High;M510047;x
510061;Head of Military Intelligence;罗伯特 维博伦 ;40;NS;Technical Specialist;Very High;M510081;x
510062;Head of Military Intelligence;瑟拉夫 提奥 ;40;NS;Logistics Specialist;Very High;M510073;x
510063;Head of State;亚历山大 冯 法肯豪森 ;40;NS;Resigned Generalissimo;Very High;M510086;x
510064;Head of State;舒尔茨 博士 ;40;NS;Barking Buffoon;Very High;M510070;x
510065;Head of State;戈特洛勃 伯格尔 ;40;NS;Powerhungry Demagogue;Very High;M510027;x
510066;Head of State;亨德里克 J. 伊莱亚斯 ;42;FA;Stern Imperialist;NA;M15039;x
510067;Head of State;杰弗 范 德 维尔 ;40;NS;Powerhungry Demagogue;NA;M15011;x
510068;Minister of Armament;阿方斯 沃奇特勒 ;42;NS;Infantry Proponent;Very High;M510089;x
510069;Minister of Armament;埃德加 德尔沃 ;36;NS;Resource Industrialist;Very High;M510042;x
510070;Minister of Armament;弗里茨-简 亨德里克斯 ;39;FA;Administrative Genius;Very High;M510043;x
510071;Minister of Armament;简 蒂姆曼斯 ;37;NS;Resource Industrialist;Very High;M15117;x
510072;Minister of Armament;杰弗 范 德 维尔 ;40;NS;Military Entrepreneur;Very High;M15011;x
510073;Minister of Armament;乔伊斯 法索特 ;36;NS;Military Entrepreneur;Very High;M15057;x
510074;Minister of Armament;乔什 汉斯肯斯 ;39;NS;Infantry Proponent;Very High;M510044;x
510075;Minister of Armament;马赛尔 曼内尔茨 ;40;FA;Resource Industrialist;Very High;M510060;x
510076;Minister of Armament;佩特 维津达尔 ;37;FA;laissez-faire capitalist;Very High;M510091;x
510077;Minister of Armament;维克托 里曼斯 ;38;FA;laissez-faire capitalist;Very High;M510055;x
510078;Minister of Armament;维克托 马西斯 ;36;NS;Military Entrepreneur;Very High;M15058;x
510079;Minister of Security;A. 德 邦奇德 ;36;FA;Silent Lawyer;Very High;M510039;x
510080;Minister of Security;阿方斯 赫脱 ;40;NS;Efficient Sociopath;Very High;M510046;x
510081;Minister of Security;阿方斯 沃奇特勒 ;42;NS;Efficient Sociopath;Very High;M510089;x
510082;Minister of Security;埃德加 勒伯雷 ;40;NS;Prince of Terror;Very High;M510056;x
510083;Minister of Security;戈特洛勃 伯格尔 ;40;NS;Prince of Terror;Very High;M510027;x
510084;Minister of Security;亨德里克 J. 伊莱亚斯 ;42;FA;Silent Lawyer;Very High;M15039;x
510085;Minister of Security;J. 德 迈耶 ;36;NS;Man of the People;Very High;M510041;x
510086;Minister of Security;乔伊斯 万斯汀兰德 ;40;NS;Prince of Terror;Very High;M510080;x
510087;Minister of Security;卡莱尔 拉姆伯奇 ;39;NS;Compassionate Gentleman;Very High;M510049;x
510088;Minister of Security;奥迪尔 杜 ;40;NS;Crime Fighter;Very High;M510037;x
510089;Minister of Security;雷蒙德 托伦奈尔 ;39;NS;Prince of Terror;Very High;M15082;x
510090;Minister of Security;理查德 扬克劳斯 ;41;NS;Efficient Sociopath;Very High;M510047;x
510091;Minister of Security;瑟拉夫 提奥 ;40;NS;Man of the People;Very High;M510073;x
510092;Minister of Security;沃尔特 兰皮特 ;41;NS;Crime Fighter;Very High;M510052;x
510093;Head of State;利奥波德三世 ;36;SC;Benevolent Gentleman;Very High;M15001;x
510094;Head of Government;弗兰斯 范 科乌莱特 ;36;SC;Naive Optimist;Very High;M15132;x
510095;Foreign Minister;弗兰斯 范 科乌莱特 ;36;SC;Ideological Crusader;Very High;M15132;x
510096;Head of State;利奥波德三世 ;36;PA;Benevolent Gentleman;Very High;M15001;x
510097;Head of Government;斯塔夫 德 克莱尔 ;36;PA;Flamboyant Tough Guy;Very High;M15033;x
510098;Foreign Minister;斯塔夫 德 克莱尔 ;36;PA;Biased Intellectual;Very High;M15033;x
510099;Foreign Minister;奥古斯特 勃姆斯 ;36;FA;Ideological Crusader;Very High;M510099;x
510100;Foreign Minister;克莱门斯 德 兰特希尔 ;36;SC;Ideological Crusader;Very High;M510100;x
510101;Head of State;卡米尔 修斯曼 ;36;SD;Benevolent Gentleman;Very High;M15038;x
510102;Head of Government;卡米尔 修斯曼 ;36;SD;Happy Amateur;NA;M15038;x
510103;Head of Government;阿基里 范 埃克 ;39;SD;Corporate Suit;NA;M15041;x
510104;Minister of Armament;亨德里克 德 曼 ;36;SL;Administrative Genius;Very High;M15056;x
510105;Minister of Armament;弗兰茨 德 沃热尔 ;45;ML;laissez-faire capitalist;Very High;M15067;x
510106;Minister of Armament;阿尔伯特 德 弗里肖尔 ;46;SC;Resource Industrialist;Very High;M15069;x
510107;Minister of Security;阿尔伯特 简森 ;36;SC;Compassionate Gentleman;Very High;M15071;x
510108;Minister of Security;保罗 海曼斯 ;36;SL;Compassionate Gentleman;Very High;M15073;x
510109;Minister of Security;阿道弗 范 克莱巴奇 ;45;SC;Man of the People;Very High;M15086;x
510110;Minister of Security;保罗 斯丘伊 ;47;SC;Man of the People;Very High;M15090;x
510111;Head of Military Intelligence;赫尔曼 沃斯 ;44;SD;Political Specialist;Very High;M15099;x
510112;Head of Military Intelligence;皮埃尔 沃米伦 ;47;SC;Technical Specialist;Very High;M15102;x
510113;Chief of Staff;奥斯卡 米歇尔斯 ;40;SC;School of Mass Combat;Very High;M15107;x
510114;Chief of Army;拉乌 范 欧维斯瑞特 ;38;SC;Guns and Butter Doctrine;Very High;M15110;x
510115;Minister of Armament;埃德蒙德 拉本斯 ;36;SC;Resource Industrialist;Very High;M15124;x
510116;Minister of Armament;阿尔伯特 瓦特斯 ;39;SD;Military Entrepreneur;Very High;M15125;x
510117;Minister of Armament;路易斯 弗兰克 ;36;SC;Resource Industrialist;Very High;M15128;x
510118;Minister of Armament;亨德里克 海曼 ;36;SC;Air to Ground Proponent;Very High;M15129;x
510119;Minister of Armament;毛瑞斯 里彭斯 ;36;ML;Resource Industrialist;Very High;M15130;x
510120;Minister of Security;菲利普 范 伊萨克 ;36;SC;Crime Fighter;Very High;M15131;x
510121;Minister of Armament;塞瑞尔 范 欧维博格 ;37;SC;Theoretical Scientist;High;M15137;x
510122;Minister of Armament;古斯塔夫 塞普 ;36;SC;Military Entrepreneur;High;M15140;x
510123;Chief of Navy;G. 蒂姆曼斯 ;36;SC;Indirect Approach Doctrine;Very High;M15009;x
510124;Chief of Air Force;L.F.E. 沃特斯 ;36;SC;Vertical Envelopment Doctrine;Very High;M15010;x
