JAP;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
5068;Foreign Minister;志贺义雄 ;36;LE;Biased Intellectual;Very Low;M5013;x
5069;Minister of Armament;吉野真嗣;37;SD;Resource Industrialist;Very High;M5069;x
5070;Minister of Armament;水谷长三郎 ;45;SD;Resource Industrialist;High;M5070;x
5071;Minister of Armament;星岛二郎 ;47;SD;Administrative Genius;Medium;M5071;x
5072;Minister of Armament;小川郷太郎 ;36;SC;Resource Industrialist;Medium;M5072;x
5073;Minister of Armament;伍堂卓雄 ;37;SC;Battle Fleet Proponent;Medium;M5073;x
5075;Minister of Armament;吉田茂 ;41;SC;Strategic Air Proponent;Medium;M5031;x
5076;Minister of Armament;币原喜重郎 ;43;SC;Tank Proponent;High;M5030;x
5077;Minister of Armament;鳩山一郎 ;44;SC;Administrative Genius;High;M5032;x
5078;Minister of Armament;星岛二郎 ;45;SC;Military Entrepreneur;Very High;M5071;x
5079;Minister of Armament;小笠原三九郎 ;46;SC;Laissez-Faire Capitalist;Medium;M5079;x
5080;Minister of Armament;川崎卓吉 ;36;PA;Air Superiority Proponent;Medium;M5080;x
5081;Minister of Armament;池田成彬 ;38;PA;Resource Industrialist;High;M5081;x
5082;Minister of Armament;八田嘉明 ;38;PA;Military Entrepreneur;Medium;M5082;x
5083;Minister of Armament;小林顺一郎 ;40;PA;Laissez-Faire Capitalist;Medium;M5083;x
5084;Minister of Armament;藤原银次郎 ;41;PA;Administrative Genius;Medium;M5084;x
5085;Minister of Armament;岸信介 ;42;PA;Theoretical Scientist;Medium;M5085;x
5086;Minister of Armament;丰田贞次郎 ;43;PA;Air to Ground Proponent;Medium;M5061;x
5087;Minister of Armament;左近司政三 ;44;PA;Submarine Proponent;Medium;M5087;x
5088;Minister of Armament;寺内寿一 ;46;PA;Tank Proponent;High;M5039;x
5089;Minister of Armament;米内光政 ;47;PA;Yamamotominainoue Armament;High;M5036;x
5090;Minister of Armament;胜田主计 ;36;FA;Kazue;High;M5090;x
5091;Minister of Armament;小林一三 ;41;FA;Resource Industrialist;High;M5083;x
5093;Minister of Armament;中岛知久平 ;45;FA;Air to Sea Proponent;Medium;M5093;x
5094;Minister of Armament;加藤外松 ;43;FA;Tank Proponent;Medium;M5094;x
5095;Minister of Armament;徳田球一 ;36;LWR;Resource Industrialist;Low;M5014;x
5096;Minister of Security;山本达雄 ;36;SD;Compassionate Gentleman;High;M5096;x
5097;Minister of Security;后藤文夫 ;41;SD;Silent Lawyer;High;M5005;x
5098;Minister of Security;木村清一 ;45;SD;Man of the People;High;M5098;x
5099;Minister of Security;河原田稼吉 ;36;SC;Man of the People;High;M5099;x
5100;Minister of Security;小原直 ;39;SC;Back Stabber;Medium;M5100;x
5101;Minister of Security;大村清一 ;45;SC;Silent Lawyer;Very High;M5101;x
5102;Minister of Security;堀切善治郎 ;45;SC;Crime Fighter;Medium;M5102;x
5103;Minister of Security;山崎巌 ;45;SC;Man of the People;Medium;M5103;x
5105;Minister of Security;潮恵之辅 ;36;PA;Crime Fighter;Very High;M5105;x
5106;Minister of Security;末次信正 ;37;PA;Silent Lawyer;Medium;M5106;x
5107;Minister of Security;马场金英 ;37;PA;Prince of Terror;Medium;M5107;x
5108;Minister of Security;木戸幸一 ;38;PA;Crime Fighter;Medium;M5108;x
5110;Minister of Security;安井英二 ;41;PA;Crooked Kleptocrat;High;M5110;x
5111;Minister of Security;小林躋造 ;42;PA;Man of the People;High;M5111;x
5112;Minister of Security;田边治通 ;43;PA;Man of the People;Medium;M5112;x
5113;Minister of Security;汤泽三千男 ;44;PA;Silent Lawyer;Medium;M5113;x
5114;Minister of Security;安倍源基 ;46;PA;Silent Lawyer;Medium;M5114;x
5115;Minister of Security;吉本贞一 ;36;FA;Prince of Terror;Medium;M5115;x
5116;Minister of Security;中岛今朝吾 ;37;FA;Man of the People;Medium;M5116;x
5117;Minister of Security;田中静壱 ;38;FA;Back Stabber;Medium;M5117;x
5118;Minister of Security;平林盛人 ;39;FA;Silent Lawyer;Medium;M5118;x
5119;Minister of Security;平沼騏一郎 ;40;FA;Hiranumamos;Medium;M5041;x
5120;Minister of Security;豊岛房太郎 ;40;FA;Crime Fighter;Medium;M5120;x
5121;Minister of Security;児玉秀雄 ;41;FA;Silent Lawyer;Low;M5109;x
5122;Minister of Security;中村明人 ;41;FA;Crime Fighter;Medium;M5122;x
5123;Minister of Security;东条英机 ;41;FA;Tojo_Hideki_Security;Medium;M5042;x
5124;Minister of Security;加藤泊治郎 ;43;FA;Man of the People;Medium;M5124;x
5125;Minister of Security;大达茂雄 ;44;FA;Man of the People;Medium;M5125;x
5126;Minister of Security;饭村穣 ;45;FA;Crime Fighter;Medium;M5126;x
5127;Minister of Security;野坂参三 ;36;LE;Man of the People;Very High;M5015;x
5128;Head of Military Intelligence;野坂参三 ;37;SD;Industrial Specialist;Low;M5011;x
5129;Head of Military Intelligence;片山哲 ;45;SD;Naval Intelligence Specialist;Medium;M5027;x
5130;Head of Military Intelligence;宇垣一成 ;36;SC;Political Specialist;Medium;M5028;x
5131;Head of Military Intelligence;町田忠治 ;36;SC;Technical Specialist;High;M5004;x
5132;Head of Military Intelligence;小川郷太郎 ;36;SC;Dismal Enigma;Medium;M5072;x
5133;Head of Military Intelligence;堀切善治郎 ;42;SC;Logistics Specialist;Medium;M5102;x
5134;Chief of Air Force;高须四郎 ;36;PA;Naval Aviation Doctrine;Medium;M5134;x
5135;Head of Military Intelligence;野村直邦 ;37;PA;Naval Intelligence Specialist;Medium;M5135;x
5136;Head of Military Intelligence;嘉纳治五郎 ;38;PA;Dismal Enigma;Medium;M5136;x
5137;Head of Military Intelligence;冈敬纯 ;38;PA;Logistics Specialist;Medium;M5137;x
5138;Head of Military Intelligence;前田稔 ;40;PA;Technical Specialist;Medium;M5138;x
5139;Head of Military Intelligence;铃木贯太郎 ;45;PA;Political Specialist;Medium;M5037;x
5141;Head of Military Intelligence;本间雅晴 ;37;FA;Dismal Enigma;Medium;M5141;x
5142;Head of Military Intelligence;樋口季一郎 ;38;FA;Logistics Specialist;Medium;M5142;x
5143;Head of Military Intelligence;荒木贞夫 ;39;FA;Naval Intelligence Specialist;Medium;M5143;x
5144;Head of Military Intelligence;土桥勇逸 ;40;FA;Technical Specialist;Medium;M5144;x
5145;Head of Military Intelligence;小磯国昭 ;43;FA;Industrial Specialist;Medium;M5043;x
5146;Head of Military Intelligence;宫本贤治 ;36;LE;Industrial Specialist;Medium;M5012;x
5147;Chief of Staff;中澤岡安 ;37;SD;School of Psychology;Very Low;M5147;x
5148;Chief of Staff;大澤梶原 ;47;SD;School of Fire Support;Very Low;M5148;x
5149;Chief of Staff;廣田林 ;36;SC;School of Fire Support;Very Low;M5149;x
5150;Chief of Staff;田代皖一郎 ;36;SC;School of Psychology;Very Low;M5150;x
5151;Chief of Staff;谷川清志 ;45;SC;School of Mass Combat;Very Low;M5151;x
5153;Chief of Staff;阿部信行 ;41;PA;School of Fire Support;Medium;M5035;x
5154;Chief of Air Force;三川军一 ;45;FA;Crazy Gunnin Navy;Medium;M5154;x
5155;Chief of Staff;杉山元 ;36;FA;School of Defence;Medium;M5155;x
5156;Chief of Staff;东条英机 ;41;FA;School of Psychology;Medium;M5042;x
5157;Chief of Staff;梅津美治郎 ;44;FA;School of Fire Support;Medium;M5157;x
5158;Chief of Staff;草鹿龙之介 ;36;LWR;Kusagari;Medium;M5017;x
5159;Chief of Army;今井武夫 ;37;SD;Elastic Defence Doctrine;Medium;M5018;x
5160;Chief of Army;稲叶四郎 ;36;SC;Guns and Butter Doctrine;Medium;M5160;x
5161;Chief of Army;土桥勇逸 ;45;SC;Decisive Battle Doctrine;Medium;M5144;x
5163;Chief of Army;藤冈俊子 ;41;PA;Elastic Defence Doctrine;Very Low;M5163;x
5164;Chief of Army;青津喜久太郎 ;45;PA;Guns and Butter Doctrine;Very Low;M5164;x
5165;Chief of Army;杉山元 ;36;FA;Decisive Battle Doctrine;Medium;M5155;x
5167;Chief of Staff;梅津美治郎 ;44;FA;Umezu;Medium;M5157;x
5250;Chief of Staff;黑岛龟人;41;FA;Kuroshima;High;Kuroshima_kame;x
5169;Chief of Navy;川井明 ;37;SD;Open Seas Doctrine;Medium;M5019;x
5170;Chief of Navy;嶋田繁太郎 ;36;SC;Indirect Approach Doctrine;Medium;M5170;x
5171;Chief of Navy;豊田副武 ;44;FA;Decisive Naval Battle Doctrine;Medium;M5171;x
5172;Chief of Navy;藤田尚徳 ;36;PA;Decisive Naval Battle Doctrine;Medium;M5172;x
5173;Chief of Navy;永野修身 ;41;PA;Decisive Naval Battle Doctrine;Medium;M5173;x
5180;Chief of Navy;井上成美 ;36;PA;Yamamotominainoue Navy;High;M5180;x
5181;Chief of Air Force;塚原二四三 ;41;SC;Tsugahara;Medium;M5181;x
5183;Chief of Navy;及川古志郎 ;36;PA;Decisive Naval Battle Doctrine;Medium;M5175;x
5184;Chief of Staff;东久迩宮稔彦王 ;37;PA;Hikashi;Medium;M5038;x
5185;Chief of Navy;丰田贞次郎 ;38;PA;Decisive Naval Battle Doctrine;Medium;M5061;x
5188;Chief of Air Force;河合操 ;45;PA;Vertical Envelopment Doctrine;Medium;M5182;x
5189;Chief of Army;畑俊六 ;36;FA;Static Defence Doctrine;Medium;M5189;x
5192;Chief of Army;山下奉文 ;40;FA;Armoured Spearhead Doctrine;Medium;M5192;x
5193;Chief of Army;土肥原贤二 ;41;FA;Crazy Gunnin Army;Medium;M5193;x
5194;Chief of Army;阿南惟几 ;42;FA;Elastic Defence Doctrine;Medium;M5194;x
5196;Chief of Air Force;菅原道大 ;44;FA;Air Superiority Doctrine;Medium;M5196;x
5197;Chief of Army;河辺正三 ;45;PA;Crazy Gunnin Army;Medium;M5197;x
5200;Chief of Navy;山本五十六 ;38;FA;Yamamotominainoue Navy;Very High;yamamoto_isoro;x
5201;Chief of Navy;古贺峯一 ;43;FA;Decisive Naval Battle Doctrine;Very High;L101243;x
5246;Chief of Air Force;古贺峯一 ;43;FA;Crazy Gunnin Navy;Very High;L101243;x
5202;Chief of Air Force;小沢冶三郎 ;37;PA;Ozawa;High;L101273;x
5203;Head of Government;近卫文麿 ;40;PA;Flamboyant Tough Guy;High;M5034;x
5206;Foreign Minister;铃木贯太郎 ;45;PA;Biased Intellectual;High;M5037;x
5207;Head of State;昭和天皇陛下 裕仁 ;36;SD;Benevolent Gentleman;High;M5001;x
5208;Head of State;昭和天皇陛下 裕仁 ;36;ML;Benevolent Gentleman;High;M5001;x
5209;Head of Government;芦田均 ;48;SL;Smiling Oilman;High;M5046;x
5210;Minister of Security;石桥湛山 ;48;SC;Silent Lawyer;Medium;M5210;x
5211;Head of Government;石桥湛山 ;56;SC;Silent Workhorse;High;M5210;x
5212;Head of Government;岸信介 ;57;SC;Backroom Backstabber;High;M5085;x
5213;Head of Government;池田勇人 ;60;SC;Corporate Suit;High;M5213;x
5214;Head of Government;西尾末広 ;60;SD;Flamboyant Tough Guy;High;M5214;x
5215;Foreign Minister;久保田贯一郎 ;54;SD;Iron Fisted Brute;Medium;M5215;x
5216;Foreign Minister;岸信介 ;56;SC;Ideological Crusader;Medium;M5085;x
5217;Foreign Minister;藤山爱一郎 ;57;SC;Apologetic Clerk;Medium;M5217;x
5218;Foreign Minister;小坂善太郎 ;60;SC;Biased Intellectual;Medium;M5218;x
5219;Foreign Minister;大平正芳 ;62;SC;The Cloak N Dagger Schemer;Medium;M5219;x
5220;Minister of Armament;池田勇人 ;50;SC;Infantry Proponent;High;M5213;x
5221;Minister of Armament;向井忠晴 ;52;SC;Strategic Air Proponent;High;M5221;x
5222;Minister of Armament;一万田尚登 ;54;SC;Submarine Proponent;High;M5222;x
5223;Minister of Armament;佐藤荣作 ;58;SC;Administrative Genius;High;M5223;x
5224;Minister of Armament;水田三喜男 ;60;SC;Resource Industrialist;High;M5224;x
5225;Minister of Armament;田中角荣 ;62;SC;Corrupt Kleptocrat;High;M5225;x
5226;Minister of Armament;西尾末広 ;47;SD;Military Entrepreneur;Medium;M5214;x
5227;Minister of Armament;宇佐美登 ;60;SD;Theoretical Scientist;Medium;M5227;x
5228;Minister of Security;大桥武夫 ;50;SC;Crooked Kleptocrat;Medium;M5228;x
5229;Minister of Security;木村笃太郎 ;51;SC;Efficient Sociopath;Medium;M5229;x
5230;Minister of Security;犬养健 ;52;SC;Back Stabber;Medium;M5230;x
5231;Minister of Security;中村梅吉 ;54;SC;Compassionate Gentleman;Medium;M5231;x
5232;Minister of Security;植木庚子郎 ;57;SC;Silent Lawyer;Medium;M5232;x
5233;Minister of Security;荒木万寿夫 ;57;SD;Prince of Terror;Medium;M5233;x
5234;Minister of Security;森永贞一郎 ;60;SD;Crime Fighter;Medium;M5234;x
5235;Head of Military Intelligence;加藤镣五郎 ;54;SC;Political Specialist;Medium;M5235;x
5236;Head of Military Intelligence;小原直 ;53;SC;Technical Specialist;Medium;M5236;x
5237;Head of Military Intelligence;荒木万寿夫 ;57;SD;Dismal Enigma;Medium;M5233;x
5239;Chief of Air Force;栗田健男;36;FA;Crazy Gunnin Navy;High;L101248;x
5240;Chief of Air Force;堀 悌吉;36;FA;Hori Chiefofair;High;Teikichi_Hori;x
5247;Head of Government;秩父宫 雍仁亲王 殿下;36;FA;Sessho;High;Chichibunomiya_Yasuhito;x
5248;Head of State;秩父宫 雍仁亲王 殿下;36;FA;Go-Meiji;High;Chichibunomiya_Yasuhito;x
5249;Head of State;平成天皇陛下 明仁 ;36;FA;Popular Figurehead;High;MJAPAkihito;x
5241;Head of Government;堀 悌吉;36;PA;Hori Gov;High;Teikichi_Hori_GOV;x
5242;Chief of Air Force;南云忠一;36;FA;Nagumo;High;L101259;x
5243;Chief of Staff;大西泷治郎;36;NS;Onishi;High;L101322;x
5244;Chief of Staff;宇垣缠;36;NS;Ugaki;High;Matome_Ugaki;x
5245;Chief of Army;石原莞尔;36;PA;Ishikawa;High;L101064;x
