POL;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
13102;Minister of Security;卡齐米尔斯 斯韦托尔斯基 ;36;PA;Efficient Sociopath;Medium;M13102;x
13103;Minister of Security;维托尔德 格拉博斯基 ;36;PA;Crime Fighter;Medium;M13103;x
13104;Minister of Security;贾那斯 拉德齐韦尔 ;36;PA;Man of the People;Medium;M13104;x
13105;Minister of Security;卡齐米尔斯 巴尔特 ;36;PA;Back Stabber;Medium;M13105;x
13107;Head of Military Intelligence;阿达姆 塔尔诺斯基 ;39;SC;Dismal Enigma;High;M13061;x
13108;Head of Military Intelligence;费里克斯 科涅克福 ;43;ML;Technical Specialist;High;M13108;x
13109;Head of Military Intelligence;阿尔弗莱德 莱昂 科诺普卡 ;44;SL;Political Specialist;High;M13109;x
13110;Head of Military Intelligence;密克奇斯拉夫 索科劳斯基 ;45;SD;Industrial Specialist;High;M13110;x
13111;Head of Military Intelligence;斯坦尼斯劳 多博伊斯 ;45;ST;Political Specialist;Medium;M13026;x
13112;Head of Military Intelligence;伊格纳西 马特乌兹斯基 ;37;SC;Logistics Specialist;Medium;M13112;x
13113;Head of Military Intelligence;简 考瓦莱斯基 ;36;PA;Dismal Enigma;Medium;M13113;x
13114;Head of Military Intelligence;韦埃斯劳 多满伊埃斯基 ;38;SL;Technical Specialist;High;M13114;x
13115;Chief of Staff;瓦克劳 斯塔科伊埃维茨 ;36;PA;School of Fire Support;Low;M13115;x
13116;Chief of Staff;瓦尔达斯拉 西科尔斯基 ;39;SC;School of Manoeuvre;Medium;M13043;x
13117;Chief of Staff;麦克尔 卡拉斯则维茨 托卡尔泽斯基 ;43;ML;School of Defence;Medium;M13117;x
13118;Chief of Staff;斯特芬 罗埃基 ;43;ML;School of Psychology;Medium;M13118;x
13119;Chief of Staff;塔代乌兹 波尔-科默罗斯基 ;43;SL;School of Mass Combat;Medium;M13119;x
13120;Chief of Staff;斯坦尼斯劳 科潘斯基 ;44;SL;School of Manoeuvre;High;M13120;x
13121;Chief of Staff;雷奥泼尔德 奥克里克里 ;45;SD;School of Fire Support;Low;M13121;x
13122;Chief of Staff;迈克尔 劳拉-让米尔斯基 ;44;ST;School of Mass Combat;Medium;M13122;x
13124;Chief of Army;瓦尔德斯劳 希克尔斯基 ;39;SC;Guns and Butter Doctrine;Medium;M13043;x
13125;Chief of Army;瓦尔德斯劳 安德斯 ;43;ML;Elastic Defence Doctrine;Medium;M13125;x
13126;Chief of Army;塔代乌兹 波尔-科默罗斯基 ;44;SL;Guns and Butter Doctrine;Medium;M13119;x
13127;Chief of Army;迈克尔 劳拉-让米尔斯基 ;45;ST;Armoured Spearhead Doctrine;Medium;M13122;x
13128;Chief of Army;瓦尔德斯劳 格拉比斯基 ;45;SD;Guns and Butter Doctrine;Medium;M13128;x
13129;Chief of Army;简 克瓦雷斯基 ;37;FA;Elastic Defence Doctrine;Low;M13113;x
13130;Chief of Navy;约泽夫 尤冈泽 ;36;PA;Indirect Approach Doctrine;Medium;M13130;x
13131;Chief of Navy;佛朗克斯 科索尔 ;39;SC;Open Seas Doctrine;Medium;M13131;x
13132;Chief of Navy;莱昂 科金 ;43;ML;Base Control Doctrine;Medium;M13132;x
13133;Chief of Navy;阿达姆 拉帕基 ;45;LE;Power Projection Doctrine;High;M13029;x
13134;Chief of Air Force;鲁多米尔 拉伊斯基 ;36;PA;Army Aviation Doctrine;Medium;M13134;x
13135;Chief of Air Force;斯坦尼斯劳 帕尔鲁奇 ;39;SC;Air Superiority Doctrine;Medium;M13135;x
13136;Chief of Air Force;瓦尔德斯劳 卡尔库斯 ;43;SL;Carpet Bombing Doctrine;Medium;M13136;x
13137;Chief of Air Force;杰斯劳 比埃塞克 ;45;ST;Army Aviation Doctrine;Very High;M13137;x
13011;Head of State;波尔斯劳 皮阿瑟奇 ;36;PA;Barking Buffoon;High;M13011;x
13012;Head of Government;欧格斯特 扎莱斯基 ;36;PA;Happy Amateur;High;M13012;x
13013;Foreign Minister;简 泽姆克 ;36;PA;Apologetic Clerk;Low;M13013;x
13014;Minister of Armament;杰西 齐埃克夫斯基 ;36;NS;Corrupt Kleptocrat;Medium;M13014;x
13015;Minister of Security;莱昂 约瑟夫 巴拉斯基 ;36;PA;Back Stabber;Medium;M13015;x
13016;Head of Military Intelligence;贾努斯 佐托斯基 ;36;FA;Dismal Enigma;Medium;M13016;x
13017;Chief of Staff;瓦尔德斯劳 莫可泽尔 ;36;FA;School of Psychology;Medium;M13017;x
13018;Chief of Army;托米斯劳 ;36;PA;Decisive Battle Doctrine;Low;M13018;x
13019;Chief of Navy;简 基维尔拉克 ;36;FA;Indirect Approach Doctrine;Low;M13019;x
13020;Chief of Air Force;阿尔弗莱德 科拉保斯基 ;36;FA;Army Aviation Doctrine;Low;M13020;x
13021;Head of State;诺伯特 巴尔劳斯基 ;36;ST;Ruthless Powermonger;High;M13021;x
13022;Head of Government;爱德华 奥索卡 莫拉斯基 ;36;ST;Political Protege;High;M13022;x
13023;Foreign Minister;鲍尔 帕维 范德 ;36;LE;The Cloak N Dagger Schemer;Low;M13023;x
13024;Minister of Armament;齐格姆特 柏林 ;36;ST;Infantry Proponent;Medium;M13024;x
13025;Minister of Security;斯坦尼斯劳 拉德基维茨 ;36;ST;Efficient Sociopath;Medium;M13025;x
13027;Chief of Staff;哈尔曼 里莫曼 ;36;LWR;School of Psychology;Medium;M13027;x
13028;Chief of Army;卡洛尔 斯韦埃尔克 ;36;ST;Decisive Battle doctrine;Low;M13028;x
13030;Chief of Air Force;鲁德伊科 格洛斯费尔德 ;36;LWR;Carpet Bombing Doctrine;Very High;M13030;x
13138;Head of Government;伯莱斯劳 比耶鲁特 ;52;ST;Flamboyant Tough Guy;High;M13033;x
13139;Foreign Minister;斯坦尼斯劳 斯科尔泽斯基 ;51;ST;Apologetic Clerk;High;M13139;x
13140;Minister of Armament;康斯坦蒂 达波罗斯基 ;45;ST;Resource Industrialist;Medium;M13140;x
13141;Head of Military Intelligence;亨利克 斯怀特科沃斯基 ;47;ST;Dismal Enigma;Medium;M13141;x
