URO;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;Country
65134;Head of Military Intelligence;盖塞佩 第 维托利奥 ;36;ST;Political Specialist;High;M3120;x
65135;Head of Military Intelligence;阿尔弗雷德 马斯切奥 ;36;ST;Dismal Enigma;Low;M3110;x
65136;Head of Military Intelligence;朱利斯 拉比 ;36;ST;Industrial Specialist;Medium;M23004;x
65137;Head of Military Intelligence;伊利奥 瓦罗尼 ;36;ST;Naval Intelligence Specialist;High;M3117;x
65138;Chief of Staff;菲迪南 斯查拉瑟 ;36;ST;School of Manoeuvre;High;M23037;x
65139;Chief of Staff;马里奥 西哥拉尼 ;36;ST;School of Fire Support;High;M3130;x
65140;Chief of Staff;路易吉 隆哥 ;36;ST;School of Mass Combat;High;M3022;x
65141;Chief of Staff;德拉沙 米哈伊洛维奇 ;36;ST;School of Defence;Medium;M20012;x
65142;Chief of Staff;马特塔 扎尔卡 ;36;ST;School of Psychology;Medium;M21037;x
65143;Chief of Army;加诺斯 沃诺斯 ;36;ST;Elastic Defence Doctrine;Medium;M21017;x
65144;Chief of Army;理查德 伯纳斯科 ;36;ST;Static Defence Doctrine;Medium;M23038;x
65145;Chief of Army;尼古拉奇 贝瑞兹恩 ;36;ST;Decisive Battle Doctrine;Medium;M21038;x
65146;Chief of Army;马里奥 罗阿塔 ;36;ST;Armoured Spearhead Doctrine;High;M3140;x
65147;Chief of Army;贾恩卡洛 帕杰塔 ;36;ST;Guns and Butter Doctrine;High;M3028;x
65148;Chief of Navy;贾恩卡洛 帕杰塔 ;36;ST;Open Seas Doctrine;High;M3028;x
65149;Chief of Navy;米克罗斯 赫洛伊 德 纳格伊班亚 ;36;ST;Decisive Naval Battle Doctrine;Medium;M21001;x
65150;Chief of Navy;维托利奥 夏尔洛亚 ;36;ST;Power Projection Doctrine;High;M3157;x
65151;Chief of Navy;佩特拉 杜梅夫 ;36;ST;Indirect Approach Doctrine;High;M20085;x
65152;Chief of Navy;约瑟夫 特尔夫 ;36;ST;Base Control Doctrine;Medium;M23047;x
65153;Chief of Air Force;伊万 里巴尔 ;36;ST;Air Superiority Doctrine;High;M20093;x
65154;Chief of Air Force;佩特罗 皮尔森提尼 ;36;ST;Naval Aviation Doctrine;High;M3165;x
65155;Chief of Air Force;卡尔蒙 特瑞尼格-拉特兹 ;36;ST;Army Aviation Doctrine;Medium;M21163;x
65156;Chief of Air Force;约瑟夫 巴克尔 ;36;ST;Carpet Bombing Doctrine;High;M23042;x
65157;Chief of Air Force;安东尼 夏尔洛亚;36;ST;Vertical Envelopment Doctrine;High;M3166;x
