BEN;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
533055;Chief of Army;皮埃尔 萨尔塞迪 ;42;SL;Elastic Defence Doctrine;Medium;M533014;x
533056;Chief of Army;罗杰 博德乌 ;36;PA;Decisive Battle Doctrine;Medium;M533056;x
533057;Chief of Army;哈比比 阿尔-阿齐兹 ;36;LWR;Elastic Defence Doctrine;Medium;M533057;x
533058;Chief of Army;约尔圭 科利 ;41;LWR;Guns and Butter Doctrine;Medium;M533058;x
533059;Chief of Navy;爱德蒙 路弗 ;42;SL;Base Control Doctrine;Medium;M533059;x
533060;Chief of Navy;让 拉塞尔 ;36;PA;Base Control Doctrine;Medium;M533060;x
533061;Chief of Navy;弗朗索瓦 汤姆巴尔巴耶 ;36;LWR;Power Projection Doctrine;Medium;M533061;x
533062;Chief of Air Force;弗雷德 斯卡马罗尼 ;41;SL;Army Aviation Doctrine;Medium;M533062;x
533063;Chief of Air Force;奥古斯蒂诺 德索萨 ;36;PA;Naval Aviation Doctrine;Medium;M533063;x
533064;Chief of Air Force;奥古斯特 丹尼斯 ;36;LWR;Air Superiority Doctrine;Medium;M533064;x
