POR;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
9050;Minister of Armament;H.M. 派瓦 寇塞罗 ;37;SC;Submarine Proponent;Medium;M9028;x
9051;Minister of Armament;何塞 恰加斯 ;37;SC;Military Entrepreneur;Medium;M9051;x
9052;Minister of Armament;瓦斯科 卡瓦莱罗 ;37;SC;Theoretical Scientist;Medium;M9052;x
9053;Minister of Armament;乔 努内斯 科斯塔 ;38;PA;Air to Ground Proponent;High;M9053;x
9054;Minister of Armament;安东尼奥 萨丁尼奥 ;38;PA;Administrative Genius;High;M9024;x
9055;Minister of Armament;阿尔伯托 蒙萨拉什 ;39;FA;laissez-faire capitalist;Medium;M9055;x
9056;Minister of Armament;安东尼奥 M. B. 费雷拉 ;39;SC;Tank Proponent;Medium;M9056;x
9057;Minister of Armament;海梅 科尔特斯 ;40;SD;Tank Proponent;Very Low;M9012;x
9058;Minister of Armament;阿尔米多 穆图里奥;44;PA;Battle Fleet Proponent;Very High;M9058;x
9059;Minister of Armament;F.萨尔加多 曾哈 ;46;LE;Military Entrepreneur;Low;M9034;x
9060;Minister of Security;阿方索 卢卡斯 ;36;SC;Silent Lawyer;High;M9025;x
9061;Minister of Security;M. 诺布雷 梅洛 ;36;PA;Efficient Sociopath;Very High;M9061;x
9062;Minister of Security;阿基利诺 里贝罗 ;37;SC;Crime Fighter;High;M9062;x
9063;Minister of Security;J.科斯塔 莱万特 ;41;PA;Back Stabber;High;M9063;x
9064;Minister of Security;阿尔弗雷德 皮门塔 ;43;PA;Prince of Terror;Very High;M9026;x
9065;Minister of Security;J.博泰罗 莫尼兹 ;44;FA;Compassionate Gentleman;High;M9065;x
9066;Minister of Security;亨利基 加尔旺 ;45;PA;Man of the People;Medium;M9066;x
9067;Head of Military Intelligence;胡里奥 丹塔斯 ;38;PA;Industrial Specialist;High;M9067;x
9068;Head of Military Intelligence;乔 佩雷拉 巴斯托斯 ;39;PA;Logistics Specialist;High;M9016;x
9069;Head of Military Intelligence;奥古斯托 瓦斯康塞洛斯 ;42;PA;Technical Specialist;High;M9069;x
9070;Chief of Staff;J.A. 席尔瓦 巴斯托斯 ;38;PA;School of Mass Combat;High;M9027;x
9071;Chief of Staff;埃德华多 A. 马奎斯 ;42;PA;School of Fire Support;High;M9071;x
9072;Chief of Army;J.M. 诺顿 马托斯 ;36;SL;Static Defence Doctrine;Very Low;M9072;x
9073;Chief of Army;罗拉奥 佩莱蒂 ;42;FA;Armoured Spearhead Doctrine;Very High;M9073;x
9074;Chief of Army;J.巴罗斯 罗德里格斯 ;44;FA;Elastic Defence Doctrine;Very High;M9074;x
9075;Chief of Navy;昆廷 梅西莱斯 ;39;PA;Open Seas Doctrine;Very High;M9029;x
9076;Chief of Navy;阿梅里科 德乌斯 托马斯 ;44;PA;Open Seas Doctrine;High;M9076;x
9077;Chief of Air Force;奥尔丁斯 贝特恩考特 ;37;PA;Naval Aviation Doctrine;High;M9077;x
9078;Chief of Air Force;J.M. 萨门托 贝雷斯 ;43;SC;Carpet Bombing Doctrine;Low;M9020;x
9079;Chief of Air Force;哈姆伯特 德尔加多 ;47;SL;Air Superiority Doctrine;Medium;M9079;x
9011;Head of State;劳尔 布兰多 ;36;SL;Insignificant Layman;High;M9004;x
9012;Head of Government;海梅 科尔特斯 ;36;SD;Smiling Oilman;High;M9012;x
9015;Minister of Security;劳尔 普罗恩卡 ;36;SD;Back Stabber;Low;M9015;x
9017;Chief of Staff;劳尔 布兰多 ;36;SL;School of Defence;Medium;M9004;x
9018;Chief of Army;哈姆伯特 卡莫纳 ;36;SL;Static Defence Doctrine;Low;M9018;x
9019;Chief of Navy;何塞 萨门托 皮门塔 ;36;SD;Base Control Doctrine;High;M9019;x
9020;Chief of Air Force;J.M. 萨门托 贝雷斯; 36;SD;Naval Aviation Doctrine;High;M9020;x
9031;Head of State;本托 冈萨雷斯 ;36;LE;Weary Stiffneck;High;M9031;x
9032;Head of Government;本托 冈萨雷斯 ;36;LE;Happy Amateur;High;M9031;x
9033;Foreign Minister;H. 巴列里奥 拉斯 ;36;LWR;Ideological Crusader;Very Low;M9033;x
9035;Minister of Security;萨瓦罗 昆哈尔 ;36;LE;Man of the People;High;M9035;x
9036;Head of Military Intelligence;安东尼奥 塞尔戈 ;36;LWR;Industrial Specialist;Medium;M9036;x
9037;Chief of Staff;何塞 A.P. 里贝罗 ;36;LE;School of Psychology;Very High;M9037;x
9038;Chief of Army;何塞 A.P. 里贝罗 ;36;LWR;Guns and Butter Doctrine;Very High;M9037;x
9039;Chief of Navy;本托 冈萨雷斯 ;36;LE;Power Projection Doctrine;Very High;M9031;x
9040;Chief of Air Force;安东尼奥 塞尔戈 ;36;LWR;Carpet Bombing Doctrine;Medium;M9036;x
9080;Head of State;弗朗西斯科 克拉维罗 洛佩斯 ;51;PA;Resigned Generalissimo;High;M9080;x
9081;Foreign Minister;保罗 昆哈 ;50;PA;Apologetic Clerk;Very High;M9081;x
