ROM;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
22082;Foreign Minister;科尔内留 科德雷亚努 ;37;NS;Ideological Crusader;Low;M22053;x
22083;Foreign Minister;康斯坦丁 I. 帕赫纳 ;37;ST;Great Compromiser;Low;M22038;x
22084;Foreign Minister;利乌留 赫苏 ;38;SD;Great Compromiser;Medium;M22084;x
22085;Foreign Minister;埃恩 安东内斯库 ;40;NS;General Staffer;Medium;M22012;x
22086;Foreign Minister;乔治 奥佩瑞斯库 ;38;SD;Biased Intellectual;Medium;M22086;x
22087;Minister of Armament;维吉尔 马德吉鲁 ;38;SL;Administrative Genius;Medium;M22087;x
22088;Minister of Armament;塞留斯 布雷迪塞努 ;38;PA;laissez-faire capitalist;High;M22088;x
22089;Minister of Armament;康斯坦丁 布勒蒂亚努 ;39;SL;Resource Industrialist;High;M22004;x
22091;Minister of Armament;利乌留 马尼留 ;39;SC;Administrative Genius;Medium;M22055;x
22092;Minister of Armament;康斯坦丁 安东尼亚德 ;40;SL;laissez-faire capitalist;Low;M22092;x
22093;Minister of Armament;格奥尔基 波托皮努 ;40;FA;Military Entrepreneur;High;M22093;x
22094;Minister of Armament;格奥尔基 多布雷 ;42;FA;Infantry Proponent;High;M22094;x
22095;Minister of Armament;尼古拉 斯陶内斯库 ;44;PA;Tank Proponent;Medium;M22095;x
22096;Minister of Armament;米哈尔 拉科维特查 ;44;SC;Infantry Proponent;High;M22096;x
22097;Minister of Armament;康斯坦丁 帕帕纳斯 ;43;NS;Administrative Genius;Low;M22014;x
22098;Minister of Armament;瓦西里 卢卡 ;45;ST;Administrative Genius;High;M22024;x
22099;Minister of Security;阿曼德 卡里纳斯库 ;38;SL;Prince of Terror;High;M22043;x
22100;Minister of Security;塞萨尔 瓦尔达-沃耶沃德 ;38;PA;Crime Fighter;Medium;M22100;x
22101;Minister of Security;埃恩 米哈拉切 ;39;SL;Man of the People;Low;M22101;x
22102;Minister of Security;亚历山大 库查 ;39;SD;Prince of Terror;Medium;M22102;x
22104;Minister of Security;瓦西里 古迪斯 ;40;SL;Man of the People;Medium;M22104;x
22105;Minister of Security;伊斯特拉特 米赛斯库 ;40;FA;Crime Fighter;Medium;M22005;x
22106;Minister of Security;大卫 波佩斯库 ;41;FA;Prince of Terror;Medium;M22106;x
22107;Minister of Security;埃恩 波奥提努 ;44;PA;Man of the People;Medium;M22107;x
22108;Minister of Security;尼古拉 拉德斯库 ;44;SC;Compassionate Gentleman;High;M22050;x
22109;Minister of Security;奥雷尔 阿尔迪 ;45;SC;Back Stabber;Medium;M22109;x
22110;Minister of Security;赫利亚 西蒙 ;40;NS;Efficient Sociopath;High;M22054;x
22111;Minister of Security;埃恩 佩特罗维塞斯库 ;43;NS;Efficient Sociopath;Low;M22015;x
22112;Minister of Security;Teohari 乔治库 ;45;ST;Back Stabber;High;M22025;x
22113;Head of Military Intelligence;海林 瓦卡莱思科;38;SL;Dismal Enigma;Medium;M22113;x
22114;Head of Military Intelligence;尼古拉 斯陶内斯库 ;38;PA;Political Specialist;Medium;M22095;x
22115;Head of Military Intelligence;尼古拉斯 底图勒思科 ;39;SL;Industrial Specialist;Medium;M22115;x
22117;Head of Military Intelligence;格奥尔基 萨维亚 ;39;SC;Logistics Specialist;Low;M22117;x
22118;Head of Military Intelligence;尤西弗 雅库比奇 ;40;FA;Logistics Specialist;Very High;M22118;x
22119;Head of Military Intelligence;彼得 安东内斯库 ;41;FA;Dismal Enigma;Very High;M22119;x
22120;Head of Military Intelligence;欧根 克利斯特斯库 ;43;NS;Dismal Enigma;Very High;M22016;x
22121;Head of Military Intelligence;德米特尔 扬库维奇 ;45;ST;Political Specialist;Medium;M22026;x
22122;Head of Military Intelligence;谢尔盖 尼古拉 ;46;ST;Technical Specialist;High;M22122;x
22123;Chief of Staff;米哈尔 拉科维特查 ;38;SL;School of Manoeuvre;High;M22096;x
22124;Chief of Staff;佛罗里 坦内斯库 ;38;PA;School of Defence;Low;M22124;x
22125;Chief of Staff;约安 伊尔库苏 ;39;SL;School of Defence;Medium;M22125;x
22126;Chief of Staff;康斯坦丁 潘塔兹 ;39;SC;School of Defence;High;M22126;x
22127;Chief of Staff;维克托 安东内斯库 ;40;FA;School of Mass Combat;High;M22012;x
22128;Chief of Staff;拉杜 克罗内 ;43;FA;School of Manoeuvre;High;M22128;x
22129;Chief of Staff;康斯坦丁 萨那特斯库 ;44;PA;School of Fire Support;High;M22049;x
22130;Chief of Staff;格奥尔基-西奈亚 埃恩内斯库 ;44;SC;School of Defence;Medium;M22130;x
22131;Chief of Staff;米哈尔 拉斯卡 ;45;ST;School of Mass Combat;Very High;M22027;x
22132;Chief of Staff;帕拉顿 切诺加 ;36;NS;School of Psychology;High;M22132;x
22133;Chief of Staff;格奥尔基 阿格斯诺 ;40;NS;School of Fire Support;Medium;M22133;x
22134;Chief of Staff;埃恩 安东内斯库 ;43;NS;School of Mass Combat;High;M22012;x
22135;Chief of Army;克斯丁 埃恩纳斯库 ;38;SL;Static Defence Doctrine;High;M22135;x
22136;Chief of Army;格奥尔基 米哈尔 ;38;PA;Decisive Battle Doctrine;Medium;M22136;x
22138;Chief of Army;格奥尔基 特特雷斯库 ;39;SC;Guns and Butter Doctrine;Medium;M22138;x
22139;Chief of Army;伊利耶 斯特菲尔 ;40;FA;Guns and Butter Doctrine;High;M22139;x
22142;Chief of Army;康斯坦丁 萨那特斯库 ;44;PA;Elastic Defence Doctrine;High;M22049;x
22143;Chief of Army;尼古拉 拉德斯库 ;44;SC;Decisive Battle Doctrine;High;M22050;x
22144;Chief of Army;达米安 拉斯库; 45;ST;Armoured Spearhead Doctrine;Medium;M22028;x
22145;Chief of Army;亚历山德鲁 约安迪留 ;38;NS;Armoured Spearhead Doctrine;Medium;M22018;x
22147;Chief of Navy;赫利亚 马塞拉留 ;38;PA;Indirect Approach Doctrine;High;M22019;x
22150;Chief of Navy;约安 乔治库 ;43;FA;Indirect Approach Doctrine;Medium;M22150;x
22151;Chief of Navy;尼古拉 索瓦 ;44;PA;Base Control Doctrine;High;M22151;x
22152;Chief of Navy;尼古莱 杜卡 迪 希尔瓦尼亚 ;44;SC;Open Seas Doctrine;High;M22152;x
22153;Chief of Navy;格奥尔基 伊利耶斯卡 ;45;ST;Power Projection Doctrine;Medium;M22029;x
22155;Chief of Air Force;格奥尔基 吉恩内斯库 ;38;PA;Army Aviation Doctrine;High;M22020;x
22158;Chief of Air Force;厄米尔 乔治乌 ;40;FA;Air Superiority Doctrine;Medium;M22158;x
22159;Chief of Air Force;保罗 特奥多雷斯库 ;44;PA;Carpet Bombing Doctrine;Medium;M22159;x
22160;Chief of Air Force;格奥尔基 瓦西留 ;44;SC;Naval Aviation Doctrine;Low;M22160;x
22161;Chief of Air Force;艾玛诺利 埃恩斯库 ;45;ST;Army Aviation Doctrine;High;M22030;x
22162;Head of State;佩特鲁 格罗萨 ;36;ST;Powerhungry Demagogue;High;M22022;x
22163;Foreign Minister;西蒙 博基齐 ;52;ST;Apologetic Clerk;Very High;M22163;x
