BUL;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
19066;Foreign Minister;皮万 德拉加诺夫 ;44;FA;General Staffer;Medium;M19066;x
19067;Foreign Minister;阿历山杜尔 詹科夫 ;39;FA;Ideological Crusader;Medium;M19021;x
19068;Foreign Minister;阿塔纳斯 布罗夫 ;39;SC;Great Compromiser;Low;M19068;x
19069;Foreign Minister;格奥尔基 布拉索夫 ;43;SC;Biased Intellectual;Low;M19069;x
19070;Foreign Minister;康斯坦丁 穆拉维耶夫 ;44;SC;Apologetic Clerk;Medium;M19012;x
19071;Foreign Minister;尼科拉 佩特科夫 ;45;SC;The Cloak N Dagger Schemer;Medium;M19047;x
19072;Foreign Minister;佩特科 斯泰诺夫 ;44;LWR;Biased Intellectual;Medium;M19072;x
19073;Foreign Minister;格奥尔基 库利彻夫 ;45;LWR;The Cloak N Dagger Schemer;Very High;M19073;x
19074;Foreign Minister;瓦西尔 科拉罗夫 ;39;ST;Ideological Crusader;High;M19031;x
19075;Foreign Minister;格奥尔基 达米亚诺夫 ;44;ST;Iron Fisted Brute;Very High;M19075;x
19076;Foreign Minister;基蒙 格奥尔基耶夫 ;45;LE;General Staffer;Medium;M19059;x
19077;Minister of Armament;多布里 博季洛夫 ;38;PA;Infantry Proponent;Medium;M19053;x
19078;Minister of Armament;格奥尔基 萨波夫 ;39;PA;Corrupt Kleptocrat;Low;M19005;x
19079;Minister of Armament;萨瓦 基罗夫 ;41;PA;Laissez-Faire Capitalist;Low;M19079;x
19080;Minister of Armament;斯坦科 尼科拉多罗夫 ;44;PA;Corrupt Kleptocrat;Low;M19080;x
19081;Minister of Armament;博格丹 菲洛夫 ;39;FA;Infantry Proponent;Medium;M19024;x
19082;Minister of Armament;亚历山大 格尔基诺夫 ;39;SC;Resource Industrialist;Medium;M19014;x
19083;Minister of Armament;阿塔纳斯 布罗夫 ;43;SC;Laissez-Faire Capitalist;Low;M19083;x
19084;Minister of Armament;迪米塔尔 萨沃夫 ;44;SC;Tank Proponent;Low;M19084;x
19085;Minister of Armament;伊万 盖迪米特里夫 ;45;SC;Strategic Air Proponent;Low;M19085;x
19086;Minister of Armament;佩特科 斯托亚诺夫 ;44;LWR;Theoretical Scientist;Low;M19086;x
19087;Minister of Armament;斯坦乔 乔拉科夫 ;45;LWR;Administrative Genius;Medium;M19087;x
19088;Minister of Armament;格奥尔基 迪米特罗夫 ;39;ST;Military Entrepreneur;Medium;M19032;x
19089;Minister of Armament;伊万 斯蒂法诺夫 ;44;LE;Battle Fleet Proponent;Low;M19034;x
19090;Minister of Armament;佩特科 考宁 ;45;ST;Air to Ground Proponent;High;M19090;x
19091;Minister of Security;伊万 克拉斯诺夫斯基 ;37;PA;Efficient Sociopath;Medium;M19091;x
19092;Minister of Security;尼科拉耶 尼古拉耶夫 ;38;PA;Crime Fighter;Medium;M19092;x
19093;Minister of Security;尼科拉 内德夫 ;39;PA;Silent Lawyer;Medium;M19093;x
19094;Minister of Security;多乔 赫里斯托夫 ;43;PA;Crooked Kleptocrat;Medium;M19094;x
19095;Minister of Security;亚历山大 斯塔尼舍夫 ;44;PA;Prince of Terror;Medium;M19095;x
19096;Minister of Security;迪米塔尔 佩舍夫 ;39;FA;Compassionate Gentleman;Low;M19006;x
19097;Minister of Security;彼得 加布罗夫斯基 ;44;FA;Back Stabber;Low;M19022;x
19098;Minister of Security;亚历山大 格尔基诺夫 ;39;SC;Silent Lawyer;Medium;M19014;x
19099;Minister of Security;拉伊乔 佩基莫夫 ;43;SC;Efficient Sociopath;Medium;M19099;x
19100;Minister of Security;维基尔 迪莫夫 ;44;SC;Man of the People;Medium;M19100;x
19101;Minister of Security;尼科拉 穆沙诺夫 ;45;SC;Compassionate Gentleman;High;M19015;x
19102;Minister of Security;格奥尔基 库利彻夫 ;44;LWR;Crime Fighter;Very High;M19073;x
19103;Minister of Security;乌尔科 车尔文科夫 ;39;ST;Prince of Terror;High;M19103;x
19104;Minister of Security;安东 尤格夫 ;44;ST;Prince of Terror;High;M19035;x
19105;Head of Military Intelligence;基里尔 高内夫 ;39;PA;Naval Intelligence Specialist;Medium;M19004;x
19106;Head of Military Intelligence;斯蒂凡 诺伊科夫 ;43;PA;Political Specialist;Low;M19106;x
19107;Head of Military Intelligence;萨瓦 基罗夫 ;44;PA;Industrial Specialist;Low;M19079;x
19108;Head of Military Intelligence;基里尔 斯坦彻夫 ;39;FA;Dismal Enigma;Medium;M19026;x
19109;Head of Military Intelligence;伊万 罗格萨斯基 ;44;NS;Logistics Specialist;Medium;M19109;x
19110;Head of Military Intelligence;鲍里斯 博坦 ;39;SC;Naval Intelligence Specialist;Medium;M19110;x
19111;Head of Military Intelligence;阿塔纳斯 布罗夫 ;43;SC;Industrial Specialist;Medium;M19016;x
19112;Head of Military Intelligence;格奥尔基 库利彻夫 ;44;LWR;Naval Intelligence Specialist;Very High;M19073;x
19113;Head of Military Intelligence;特莱乔 科斯托夫 ;39;ST;Logistics Specialist;Medium;M19036;x
19114;Head of Military Intelligence;闵乔 内伊彻夫 ;45;ST;Political Specialist;Medium;M19114;x
19115;Chief of Staff;特奥多西 达斯卡洛夫 ;39;PA;School of Defence;Medium;M19115;x
19116;Chief of Staff;尼科拉 米霍夫 ;42;PA;School of Fire Support;Medium;M19116;x
19117;Chief of Staff;鲁西 卢瑟夫 ;43;PA;School of Mass Combat;High;M19117;x
19118;Chief of Staff;托多尔 格奥尔基耶夫 ;44;PA;School of Manoeuvre;Medium;M19008;x
19119;Chief of Staff;伊万 乌尔科夫 ;39;FA;School of Defence;High;M19027;x
19120;Chief of Staff;伊万 马里诺夫 ;39;SC;School of Manoeuvre;Very Low;M19017;x
19121;Chief of Staff;格奥尔基 佩特索夫 ;43;SC;School of Defence;Medium;M19019;x
19122;Chief of Staff;达姆扬 维尔彻夫 ;44;LWR;School of Psychology;Medium;M19122;x
19123;Chief of Staff;赫里斯托 米哈伊洛夫 ;39;ST;School of Mass Combat;Medium;M19037;x
19124;Chief of Staff;阿森 戈雷科夫 ;45;ST;School of Manoeuvre;Medium;M19124;x
19125;Chief of Army;约尔丹 佩耶夫 ;37;PA;Decisive Battle Doctrine;Medium;M19125;x
19126;Chief of Army;尼科拉 哈吉佩特科夫 ;39;PA;Static Defence Doctrine;Low;M19126;x
19127;Chief of Army;瓦西尔 博伊德夫 ;41;PA;Elastic Defence Doctrine;Medium;M19127;x
19128;Chief of Army;康斯坦丁 卢卡什 ;43;PA;Guns and Butter Doctrine;Medium;M19128;x
19129;Chief of Army;基里尔 斯坦彻夫 ;44;PA;Armoured Spearhead Doctrine;Medium;M19026;x
19130;Chief of Army;赫里斯托 卢科夫 ;39;FA;Static Defence Doctrine;High;M19007;x
19131;Chief of Army;特里丰 特里冯诺夫 ;44;FA;Elastic Defence Doctrine;Medium;M19131;x
19132;Chief of Army;伊万 马里诺夫 ;39;SC;Static Defence Doctrine;Low;M19017;x
19133;Chief of Army;拉伊乔 斯拉夫科夫 ;44;SC;Guns and Butter Doctrine;Medium;M19018;x
19134;Chief of Army;米哈伊尔 闵彻夫 ;44;LWR;Guns and Butter Doctrine;Medium;M19134;x
19135;Chief of Army;特斯弗亚特科 拉多伊诺夫 ;39;ST;Decisive Battle Doctrine;High;M19038;x
19136;Chief of Army;伊万 基诺夫 ;44;ST;Armoured Spearhead Doctrine;Medium;M19136;x
19137;Chief of Navy;伊万 瓦里勒驰科夫 ;38;PA;Base Control Doctrine;High;M19137;x
19138;Chief of Navy;阿森 托舍夫 ;39;PA;Open Seas Doctrine;High;M19138;x
19139;Chief of Navy;阿塔纳斯 沙拉帕托夫 ;39;FA;Decisive Naval Battle Doctrine;Medium;M19029;x
19141;Chief of Navy;拉乔 巴塔诺夫 ;44;LWR;Open Seas Doctrine;Medium;M19141;x
19142;Chief of Navy;基里尔 哈拉特彻夫 ;39;ST;Indirect Approach Doctrine;Medium;M19039;x
19143;Chief of Navy;斯蒂凡 扎内夫 ;45;ST;Decisive Naval Battle Doctrine;Very Low;M19143;x
19145;Chief of Air Force;迪米塔尔 埃尔亚诺夫 ;41;PA;Air Superiority Doctrine;Medium;M19145;x
19146;Chief of Air Force;楚多米尔 托普洛杜斯基 ;39;FA;Vertical Envelopment Doctrine;Medium;M19030;x
19147;Chief of Air Force;斯托扬 斯托亚诺夫 ;39;SC;Air Superiority Doctrine;Medium;M19020;x
19148;Chief of Air Force;格奥尔基 德雷尼科夫 ;44;SC;Carpet Bombing Doctrine;Medium;M19148;x
19149;Chief of Air Force;瓦西尔 维尔科夫 ;44;LWR;Vertical Envelopment Doctrine;Medium;M19149;x
19150;Chief of Air Force;扎哈里 扎哈里耶夫 ;39;ST;Vertical Envelopment Doctrine;Medium;M19150;x
19151;Head of State;维基尔 迪莫夫 ;45;PA;Insignificant Layman;High;M19100;x
19152;Head of State;维基尔 迪莫夫 ;47;SC;Insignificant Layman;High;M19100;x
19153;Head of State;格奥尔基 库利彻夫 ;45;LWR;Popular Figurehead;Very High;M19073;x
19154;Head of Government;维基尔 迪莫夫 ;45;PA;Silent Workhorse;High;M19100;x
19155;Head of Government;维基尔 迪莫夫 ;47;SC;Silent Workhorse;High;M19100;x
19156;Head of Government;格奥尔基 库利彻夫 ;46;LWR;Happy Amateur;Very High;M19073;x
19019;Chief of Navy;格奥尔基 佩特索夫 ;36;SC;Base Control Doctrine;Medium;M19019;x
19033;Foreign Minister;瓦西尔 科拉罗夫 ;36;ST;Ideological Crusader;High;M19031;x
19038;Chief of Army;特斯弗亚特科 拉多伊诺夫 ;36;ST;Decisive Battle Doctrine;High;M19038;x
19157;Head of State;乌尔科 车尔文科夫 ;49;ST;Stern Imperialist;High;M19103;x
19158;Head of Government;瓦西尔 科拉罗夫 ;49;ST;Flamboyant Tough Guy;High;M19031;x
19166;Head of Government;乌尔科 车尔文科夫 ;50;ST;Happy Amateur;High;M19103;x
19159;Foreign Minister;弗拉迪米尔 波普托莫夫 ;49;ST;Iron Fisted Brute;High;M19159;x
19160;Foreign Minister;闵乔 内伊彻夫 ;50;ST;The Cloak N Dagger Schemer;High;M19114;x
19161;Minister of Armament;格奥尔基 丹亚诺夫 ;46;ST;Tank Proponent;High;M19161;x
19162;Minister of Armament;彼得 潘彻夫斯基 ;49;ST;Military Entrepreneur;High;M19162;x
19163;Minister of Security;鲁西 赫里斯托佐夫 ;49;ST;Back Stabber;High;M19163;x
19164;Minister of Security;格奥尔基 詹科夫 ;51;ST;Crooked Kleptocrat;High;M19164;x
19165;Head of Military Intelligence;佩特科 库宁 ;50;ST;Industrial Specialist;Medium;M19165;x
