SCH;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
17093;Minister of Security;马克斯 怀贝尔 ;42;SL;Efficient Sociopath;Very High;M17093;x
17094;Minister of Security;特劳古特 梅耶 ;43;SD;man of the People;Medium;M17025;x
17095;Head of Military Intelligence;艾伯特 爱因斯坦 ;37;SL;Technical Specialist;Very High;M17067;x
17096;Head of Military Intelligence;威廉 拉帕德 ;38;ML;Industrial Specialist;Very High;M17096;x
17097;Head of Military Intelligence;吉勒斯 勒 皮埃尔 ;39;SL;Logistics Specialist;Very High;M17097;x
17098;Head of Military Intelligence;汉斯 康拉德  森德莱格 ;40;SD;Industrial Specialist;Very High;M17098;x
17099;Head of Military Intelligence;马克斯 怀贝尔 ;43;SL;Dismal Enigma;Very High;M17093;x
17100;Chief of Staff;汉斯 马克斯 休伯 ;37;ML;School of Psychology;Very High;M17100;x
17101;Chief of Staff;亨利 奎桑 ;38;SL;School of Mass Combat;Very High;M17101;x
17102;Chief of Staff;保罗 加特尔 ;42;SD;School of Psychology;Very High;M17102;x
17103;Chief of Army;恩内斯特 劳尔 ;36;ML;Guns and Butter Doctrine;Very High;M17103;x
17104;Chief of Army;亨利 奎桑 ;38;SL;Elastic Defence Doctrine;Very High;M17101;x
17105;Chief of Army;保罗 罗斯 ;41;SD;Guns and Butter Doctrine;Very High;M17105;x
17106;Chief of Navy;汉斯 彼得 毕克瑟-索汉 ;38;SL;Open Seas Doctrine;Very High;M17106;x
17107;Chief of Air Force;J.D. 德 蒙特纳切 ;37;SD;Vertical Envelopment Doctrine;Very High;M17107;x
17108;Chief of Air Force;弗里兹 雷内尔 ;38;SL;Army Aviation Doctrine;Very High;M17108;x
17109;Chief of Air Force;卡尔 布尔克哈特 德 雷诺 ;41;ML;Vertical Envelopment Doctrine;Very High;M17109;x
17110;Chief of Air Force;艾蒂安 普瑞毛特 ;44;SL;Air Superiority Doctrine;Very High;M17110;x
17011;Head of State;弗朗兹 伯利 ;36;FA;Insignificant Layman;High;M17011;x
17012;Head of Government;弗朗兹 伯利 ;36;FA;Old Admiral;High;M17011;x
17013;Foreign Minister;雅各布 洛仑兹 ;36;FA;Iron Fisted Brute;Medium;M17013;x
17014;Minister of Armament;汉斯 哈伊勒 ;36;FA;Military Entrepreneur;Medium;M17014;x
17015;Minister of Security;弗朗兹 伯利 ;36;FA;Crooked Kleptocrat;Medium;M17011;x
17016;Head of Military Intelligence;阿尔佛雷德 萨拉辛 ;36;PA;Dismal Enigma;Medium;M17016;x
17017;Chief of Staff;欧根 伯齐 ;36;FA;School of Psychology;Medium;M17017;x
17018;Chief of Army;欧根 伯齐 ;36;FA;Guns and Butter Doctrine;Medium;M17017;x
17019;Chief of Navy;汉斯 哈伊勒 ;36;FA;Decisive Naval Battle Doctrine;Medium;M17014;x
17020;Chief of Air Force;阿尔佛雷德 萨拉辛 ;36;FA;Naval Aviation Doctrine;Medium;M17016;x
17021;Head of State;何塞夫 维克托 怀德曼 ;36;LWR;Weary Stiffneck;High;M17021;x
17022;Head of Government;何塞夫 维克托 怀德曼 ;36;LWR;Ambitious Union Boss;High;M17021;x
17023;Foreign Minister;赫尔曼 海塞-洛仑兹 ;36;LWR;The Cloak N Dagger Schemer;Medium;M17023;x
17024;Minister of Armament;埃米尔 弗雷 ;36;LWR;Infantry Proponent;Medium;M17024;x
17026;Head of Military Intelligence;西奥 梅耶 ;36;LWR;Technical Specialist;Medium;M17026;x
17027;Chief of Staff;特劳古特 梅耶 ;36;LWR;School of Fire Support;Medium;M17025;x
17028;Chief of Army;埃米尔 弗雷 ;36;LWR;Armoured Spearhead Doctrine;Medium;M17024;x
17029;Chief of Navy;赫尔曼 海塞-洛仑兹 ;36;LWR;Indirect Approach Doctrine;Medium;M17023;x
17030;Chief of Air Force;何塞ef 维克托 怀德曼 ;36;LWR;Naval Aviation Doctrine;Medium;M17021;x
17111;Head of State;恩内斯特 诺布斯 ;49;SD;Benevolent Gentleman;High;M17074;x
17112;Head of State;马克斯 波蒂皮埃尔 ;50;SL;Popular Figurehead;High;M17054;x
17113;Head of Government;奥斯卡 雷姆格鲁贝 ;44;SC;Smiling Oilman;High;M17113;x
17114;Head of Government;查尔斯 奥瑟 ;51;SL;Corporate Suit;High;M17114;x
17115;Minister of Armament;卡尔 科贝特 ;44;ML;Infantry Proponent;Very High;M17040;x
17116;Minister of Security;菲利普 埃特尔 ;39;SL;Crime Fighter;Very High;M17033;x
17117;Head of Government;恩内斯特 诺布斯 ;49;SD;Happy Amateur;Very High;M17074;x
17118;Head of Government;马克斯 波蒂皮埃尔 ;50;SL;Political Protege;Very High;M17054;x
17119;Head of Government;埃杜拉德 冯 斯泰格尔 ;51;SC;Corporate Suit;Very High;M17039;x
