IRQ;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
91162;Chief of Navy;塔哈 阿尔 阿哈麦尼 ;36;LWR;Decisive Naval Battle Doctrine;Medium;M91029;x
91164;Chief of Air Force;阿兰 拉维林森 ;41;SC;Army Aviation Doctrine;Medium;M91164;x
91165;Chief of Air Force;阿米尔 阿尔 伊尔汗 ;36;PA;Air Superiority Doctrine;Medium;M91035;x
91166;Chief of Air Force;亚卜拉罕  阿尔-泰勒 ;40;PA;Naval Aviation Doctrine;Medium;M91166;x
91168;Chief of Air Force;加米尔 阿尔 米德法伊 ;44;PA;Carpet Bombing Doctrine;Medium;M91047;x
91169;Chief of Air Force;加齐之子 费萨尔二世 ;46;PA;Vertical Envelopment Doctrine;High;M91039;x
91170;Chief of Air Force;法赫米 萨伊德 ;36;FA;Air Superiority Doctrine;Medium;M91020;x
91171;Chief of Air Force;卡哈勒德 阿尔 达拉贝赫 ;36;LWR;Vertical Envelopment Doctrine;Medium;M91030;x
91172;Head of State;拉希德 阿里 阿尔-加伊拉尼 ;41;FA;Powerhungry Demagogue;High;M91011;x
91173;Chief of Navy;拉希德 阿里 阿尔-加伊拉尼 ;46;FA;Power Projection Doctrine;Medium;M91011;x
91174;Head of Government;希克梅特 苏莱曼 ;36;PA;Naive Optimist;High;M91054;x
91175;Head of Government;拉希德 阿里 阿尔 加伊拉尼 ;40;PA;Smiling Oilman;High;M91011;x
91176;Head of Government;加米尔 阿尔 米德法伊 ;41;PA;Smiling Oilman;High;M91047;x
91177;Head of Government;努里 赛义德 ;41;PA;Ambitious Union Boss;High;M91003;x
91178;Head of Government;努里 赛义德 ;46;PA;Flamboyant Tough Guy;High;M91003;x
91011;Head of State;拉希德 阿里 阿尔-加伊拉尼 ;36;FA;Powerhungry Demagogue;High;M91011;x
91012;Head of Government;拉希德 阿里 阿尔-加伊拉尼 ;36;FA;Smiling Oilman;High;M91011;x
91021;Head of State;叶哈雅 哈姆德 ;36;ST;Barking Buffoon;High;M91021;x
91022;Head of Government;叶哈雅 哈姆德 ;36;ST;Backroom Backstabber;High;M91021;x
91179;Head of Government;穆哈德 阿萨 萨德尔 ;48;PA;Naive Optimist;High;M91179;x
91180;Head of Government;穆扎赫姆 阿尔 拜雅吉 ;48;SC;Corporate Suit;High;M91180;x
91181;Head of Government;阿里 加瓦达 ;49;PA;Backroom Backstabber;High;M91064;x
91182;Head of Government;塔费奇 阿尔 苏维迪 ;50;PA;Ambitious Union Boss;High;M91056;x
91183;Head of Government;努瑞汀 麦哈穆德 ;52;PA;Old General;High;M91183;x
91184;Head of Government;穆斯塔法 阿尔 乌麦瑞 ;52;ML;Silent Workhorse;High;M91184;x
91185;Head of Government;穆哈德 法德赫勒 阿尔-贾马利 ;53;SC;Happy Amateur;High;M91185;x
91186;Head of Military Intelligence;努瑞汀 麦哈穆德 ;45;PA;Logistics Specialist;Medium;M91183;x
91187;Head of State;加齐之子 费萨尔二世 ;46;SC;Benevolent Gentleman;High;M91039;x
