UIC;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;Country
65637;Head of Military Intelligence;范萨里 客诺 ;36;NS;Naval Intelligence Specialist;Medium;M540031;x
65638;Chief of Staff;吉利 维奇特宋卡拉姆 ;36;NS;School of Manoeuvre;Low;M62094;x
65639;Chief of Staff;銮阿派 达库 ;36;NS;School of Fire Support;Medium;M540034;x
65640;Chief of Staff;曼坤 弗鲁莫约斯 ;36;NS;School of Mass Combat;Medium;M62025;x
65641;Chief of Staff;西索瓦 莫瑞斯 ;36;NS;School of Defence;Medium;M541046;x
65642;Chief of Staff;辛德胡 卡玛兰纳文 ;36;NS;School of Psychology;Low;M62017;x
65643;Chief of Army;格兰 山波 ;36;NS;Elastic Defence Doctrine;Medium;M563022;x
65644;Chief of Army;王宝 ;36;NS;Static Defence Doctrine;Medium;M540038;x
65645;Chief of Army;柏椰 切特纳宋哈拉 ;36;NS;Decisive Battle Doctrine;Low;M62026;x
65646;Chief of Army;西萨旺 ;36;NS;Armoured Spearhead Doctrine;Medium;M540037;x
65647;Chief of Army;萨维 布雅科特 ;36;NS;Guns and Butter Doctrine;Very High;M62098;x
65648;Chief of Navy;海斯亚 马格 索尔 卡 ;36;NS;Open Seas Doctrine;Medium;M563048;x
65649;Chief of Navy;胡晋泉 ;36;NS;Decisive Naval Battle Doctrine;Medium;M542051;x
65650;Chief of Navy;斯瓦特 弗鲁迪纳德斯 ;36;NS;Power Projection Doctrine;Medium;M62086;x
65651;Chief of Navy;萨克 索布 ;36;NS;Indirect Approach Doctrine;Medium;M563015;x
65652;Chief of Navy;浩宇 ;36;NS;Base Control Doctrine;Medium;M541041;x
65653;Chief of Air Force;柏椰 沙亚纳皮卡特 ;36;NS;Air Superiority Doctrine;Medium;M62063;x
65654;Chief of Air Force;尼尔森 ;36;NS;Naval Aviation Doctrine;Medium;M563050;x
65655;Chief of Air Force;王宝 ;36;NS;Army Aviation Doctrine;Medium;M540038;x
65656;Chief of Air Force;柏椰 查勒玛阿特;36;NS;Carpet Bombing Doctrine;Medium;M62061;x
65657;Chief of Air Force;塔伊克 杜恩 ;36;NS;Vertical Envelopment Doctrine;Medium;M563019;x
