FRA;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
1416;夏尔·戴高乐 ;T1416;7;1939;1999;small_unit_tactics;decentralized_execution;individual_courage;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1417;艾迪安·史兰伯杰 ;T1417;4;1942;1999;large_taskforce_tactics;naval_training;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1418;弗朗西斯·达尔朗 ;T1418;4;1930;1999;large_taskforce_tactics;naval_training;centralized_execution;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1419;弗朗西斯·维泽希 ;T1419;4;1930;1999;fighter_tactics;piloting;training;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1420;马塞尔·让苏尔 ;T1420;4;1930;1942;large_taskforce_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1421;马蒂尔·维林 ;T1421;6;1940;1999;fighter_tactics;piloting;training;bomber_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1422;莫里斯·甘末林 ;T1422;4;1930;1999;centralized_execution;large_unit_tactics;training;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1423;马克西姆·魏刚 ;T1423;4;1940;1942;centralized_execution;large_unit_tactics;training;infantry_focus;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1424;维克托·德南 ;T1424;4;1930;1940;bomber_tactics;combined_arms_focus;training;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1425;北方航空制造公司 ;T1425;5;1999;1999;aeronautics;electronics;general_equipment;artillery;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1426;德瓦蒂纳(南方)飞机厂 ;T1426;5;1999;1999;aeronautics;artillery;naval_engineering;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1427;西南航空制造公司 ;T1427;4;1999;1999;aeronautics;artillery;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1428;布罗契飞机公司 ;T1428;4;1930;1999;aeronautics;artillery;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1429;西方飞机制造公司 ;T1429;6;1999;1999;aeronautics;artillery;electronics;general_equipment;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1430;德拉飞机制造厂 ;T1430;7;1999;1999;aeronautics;artillery;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1431;维克托·德南 ;T1424;4;1930;1940;bomber_tactics;combined_arms_focus;aircraft_testing;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1432;路易·德布罗伊 ;T1425;7;1930;1999;nuclear_physics;mathematics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
