GER;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
15;容克 AG ;T4;9;1938;1999;aeronautics;bomber_tactics;electronics;aircraft_testing;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
16;阿拉多飞机制造厂 ;T40;6;1940;1999;aeronautics;technical_efficiency;electronics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
17;福克沃尔夫飞机制造厂 ;T28;8;1939;1999;rocketry;fighter_tactics;bomber_tactics;electronics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
18;亨克尔飞机公司 ;T2;7;1930;1999;aeronautics;aircraft_testing;electronics;bomber_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
19;布洛姆福斯造船厂 ;T1;7;1930;1999;naval_engineering;electronics;naval_artillery;general_equipment;carrier_design;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
20;威廉港海军造船厂 ;T6;7;1930;1999;naval_engineering;naval_training;naval_artillery;electronics;submarine_design;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
33;阿尔伯特·斯佩尔 ;T604;9;1999;1999;mechanics;industrial_engineering;mathematics;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
21;康拉德·楚泽 ;T5;7;1935;1999;mathematics;electronics;mechanics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
22;沃纳·海森堡 ;T16;7;1927;1999;nuclear_physics;nuclear_engineering;mathematics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
23;韦恩赫·冯·布劳恩 ;T17;9;1932;1999;rocketry;aeronautics;electronics;mechanics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
24;卡尔·邓尼茨 ;T25;9;1930;1999;submarine_tactics;small_taskforce_tactics;seamanship;decentralized_execution;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
25;埃里希·雷德尔 ;T19;7;1930;1999;large_taskforce_tactics;naval_training;seamanship;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
26;埃里希·冯·曼施坦因 ;T20;9;1930;1999;combined_arms_focus;large_unit_tactics;decentralized_execution;training;small_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
27;海因茨·古德里安 ;T22;9;1930;1999;combined_arms_focus;small_unit_tactics;centralized_execution;training;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12;埃尔温·隆美尔 ;T6003;9;1999;1999;infantry_focus;combined_arms_focus;small_unit_tactics;decentralized_execution;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
28;雨果·斯佩尔 ;T24;7;1999;1999;large_taskforce_tactics;bomber_tactics;training;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
29;恩斯特·乌德特 ;T21;6;1930;1948;training;decentralized_execution;small_taskforce_tactics;bomber_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
30;沃尔夫姆·冯·里奇特霍芬 ;T26;7;1999;1999;centralized_execution;fighter_tactics;training;small_taskforce_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
31;阿道夫·格兰德 ;T18;8;1940;1999;fighter_tactics;small_taskforce_tactics;training;decentralized_execution;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32;赫尔曼·戈林 ;T23;4;1930;1999;bomber_tactics;piloting;large_taskforce_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
34;海因里希·希姆莱;Heinrich_Himmler;3;1930;1999;management;rt_user_4;rt_user_3;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
35;格里高利·叶菲莫维奇·拉斯普京;Grigori_Efimovich_Rasputin;9;1930;1999;rt_user_1;rt_user_2;rt_user_3;rt_user_5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
36;卡尔·克鲁南;Karl_Kroenen;4;1930;1999;rt_user_4;rt_user_2;rt_user_3;rt_user_5;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
