##;;;;;;;;;;;X
##### Open this document in Excel, version 5 or later.;;;;;;;;;;;X
##### To convert the semicolon-separated list to a normal Excel table, first click on the 'A' above to select the entire 'A' column.;;;;;;;;;;;X
##### Select 'Data' -> 'Text to Columns' -> 'Delimited' -> 'Next';;;;;;;;;;;X
##### Check 'Semicolon' (ONLY!) -> 'Finish';;;;;;;;;;;X
##### Select column 'A' through 'K' (click + drag on letters above columns);;;;;;;;;;;X
##### Right-click anywhere on the sheet (inside the selection) and select 'Column width' and set it so that only THREE columns are visible ('45' with 1024 x 768 screen resolution);;;;;;;;;;;X
##### Right-click anywhere on the sheet again (still inside the selection) and select 'Format Cells' -> 'Alignment' -> check 'Wrap Text' + select 'Vertical: Top' -> 'OK';;;;;;;;;;;X
##### Place the cursor in cell C1 and select 'Window' -> 'Freeze Panes' (allows you to scroll horizontally to see any language in the rightmost coulmn while still having the string names/comments and the english original text in the left and middle column;;;;;;;;;;;X
##### CAREFULLY read the instructions in cells B18 ? B36;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTES TO TRANSLATORS:;;;;;;;;;;X
##;Err:510;;;;;;;;;;X
##;;;;;;;;;;;X
##;1) '%s' is for indicating where another string is inserted, and MAY NEVER BE REMOVED! If there are more than one '%s' in a string, they may NOT CHANGE PLACES.;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;3) '%t' is for indicating where the player's 'title' is inserted, however only in game message boxes.';;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;5) A dollar sign, '$' will always automatically be replaced by the 'ducats' icon.;;;;;;;;;;X
##;6) Any row with a '#' in the first column (column 'A') will be ignored. However, you cannot use any paragraph characters in these rows!!!;;;;;;;;;;X
##;7) To insert a carriage return, insert a '\n' (backslash + n);;;;;;;;;;X
##;8) No formatting can be done in this file. To change the color of a text, insert the following codes in front of the word:;;;;;;;;;;X
##;TEXT COLORS:;;;;;;;;;;X
##;? = 0,64,0;;;;;;;;;;X
##;? = 0,0,192;;;;;;;;;;X
##;? = 128,0,0;;;;;;;;;;X
##;? = 255,255,0;;;;;;;;;;X
##;? = 255,0,255;;;;;;;;;;X
##;? = 255,128,0;;;;;;;;;;X
##;? = 0,100,0;;;;;;;;;;X
##;? = 128,128, 128;;;;;;;;;;X
##;? = 0,0,255;;;;;;;;;;X
##;? = 0,192,0;;;;;;;;;;X
##;? = 100,255,100;;;;;;;;;;X
##;? = 255,100,100;;;;;;;;;;X
##;? = 240,0,0;;;;;;;;;;X
##;? = 255,255,255;;;;;;;;;;X
##;? = 208,232,248;;;;;;;;;;X
##;? = 0,0,0;;;;;;;;;;X
##;Ё - restores old color;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;10) ALL CELLS in column 'L' in this document MUST contain a character!;;;;;;;;;;X
##;11) The LAST CELL in the 'A' column MUST contain the string '#EOF';;;;;;;;;;X
##;12) If you want to begin a string with a ' (citation mark), you will need to type it twice (Excel will read the first one as a commentary which is not  exported into the actual text database file);;;;;;;;;;X
##;;;;;;;;;;;X
##;WHEN DONE: save as 'Semicolon Separated (.csv)' format, and make sure the file is called 'Text.csv'.;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTE: If Excel complains about an 'Error in formula' when the cell content begins with a '+' or '-' sign, type a ' (citation mark) in front of the plus or minus.;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;X
#  ========================;========================;========================;========================;========================;========================;========================;========================;========================;;========================;X
NPERSONALITY_SILENT_LAWYER;沉默的律师 ;;;;;;;;;;X
NPERSONALITY_COMPASSIONATE_GENTLEMAN;怜悯绅士 ;;;;;;;;;;X
NPERSONALITY_CRIME_FIGHTER;罪恶斗士 ;;;;;;;;;;X
NPERSONALITY_PRINCE_OF_TERROR;罪恶王子 ;;;;;;;;;;X
NPERSONALITY_BACK_STABBER;幕后刺客 ;;;;;;;;;;X
NPERSONALITY_MAN_OF_THE_PEOPLE;人民代表 ;;;;;;;;;;X
NPERSONALITY_EFFICIENT_SOCIOPATH;有效率的反社会者 ;;;;;;;;;;X
NPERSONALITY_TECHNICAL_SPECIALIST;技术专家 ;;;;;;;;;;X
NPERSONALITY_LOGISTICS_SPECIALIST;后勤专家 ;;;;;;;;;;X
NPERSONALITY_POLITICAL_SPECIALIST;政治专家 ;;;;;;;;;;X
NPERSONALITY_DISMAL_ENIGMA;阴沉的神秘客 ;;;;;;;;;;X
NPERSONALITY_INDUSTRIAL_SPECIALIST;工业专家 ;;;;;;;;;;X
NPERSONALITY_NAVAL_INTELLIGENCE_SPECIALIST;海军情报专家 ;;;;;;;;;;X
NPERSONALITY_SCHOOL_OF_MANOEUVRE;机动作战学派 ;;;;;;;;;;X
NPERSONALITY_SCHOOL_OF_FIRE_SUPPORT;火力支援学派 ;;;;;;;;;;X
NPERSONALITY_SCHOOL_OF_MASS_COMBAT;人海战术学派 ;;;;;;;;;;X
NPERSONALITY_SCHOOL_OF_PSYCHOLOGY;心理战学派 ;;;;;;;;;;X
NPERSONALITY_SCHOOL_OF_DEFENCE;防御学派 ;;;;;;;;;;X
NPERSONALITY_ELASTIC_DEFENCE_DOCTRINE;弹性防御学说 ;;;;;;;;;;X
NPERSONALITY_STATIC_DEFENCE_DOCTRINE;战略防御学说 ;;;;;;;;;;X
NPERSONALITY_DECISIVE_BATTLE_DOCTRINE;战略决战学说 ;;;;;;;;;;X
NPERSONALITY_ARMOURED_SPEARHEAD_DOCTRINE;装甲先锋学说 ;;;;;;;;;;X
NPERSONALITY_GUNS_AND_BUTTER_DOCTRINE;军事后勤并重 ;;;;;;;;;;X
NPERSONALITY_OPEN_SEAS_DOCTRINE;海洋开放学说 ;;;;;;;;;;X
NPERSONALITY_DECISIVE_BATTLE_DOCTRINE2;战略决战学说 ;;;;;;;;;;X
NPERSONALITY_POWER_PROJECTION_DOCTRINE;大规模作战学说 ;;;;;;;;;;X
NPERSONALITY_INDIRECT_APPROACH_DOCTRINE;迂回接近学说 ;;;;;;;;;;X
NPERSONALITY_BASE_CONTROL_DOCTRINE;基地控制学说 ;;;;;;;;;;X
NPERSONALITY_AIR_SUPERIORITY_DOCTRINE;空中优势学说 ;;;;;;;;;;X
NPERSONALITY_NAVAL_AVIATION_DOCTRINE;海军航空兵学说 ;;;;;;;;;;X
NPERSONALITY_ARMY_AVIATION_DOCTRINE;陆军航空兵学说 ;;;;;;;;;;X
NPERSONALITY_CARPET_BOMBING_DOCTRINE;地毯式轰炸学说 ;;;;;;;;;;X
NPERSONALITY_VERTICAL_ENVELOPMENT_DOCTRINE;垂直包围学说 ;;;;;;;;;;X
NPERSONALITY_UNDISTINGUISHED_SUIT;无特征的人 ;;;;;;;;;;X
NPERSONALITY_AIR_SUPERIORITY_PROPONENT;空中优势论者 ;;;;;;;;;;X
NPERSONALITY_CORRUPT_KLEPTOCRAT;腐败政客 ;;;;;;;;;;X
NPERSONALITY_CROOKED_KLEPTOCRAT;坑蒙拐骗的政客 ;;;;;;;;;;X
NPERSONALITY_POWER_HUNGRY_DEMAGOGUE;渴望力量的煽动者 ;;;;;;;;;;X
NPERSONALITY_BARKING_BUFFOON;咆哮的小丑 ;;;;;;;;;;X
NPERSONALITY_STERN_IMPERIALIST;严厉的帝国主义者 ;;;;;;;;;;X
NPERSONALITY_RUTHLESS_POWERMONGER;残忍的权利投机者 ;;;;;;;;;;X
NPERSONALITY_AUTOCRATIC_CHARMER;独裁魔术师 ;;;;;;;;;;X
NPERSONALITY_RESIGNED_GENERALISSIMO;听天命的大元帅 ;;;;;;;;;;X
NPERSONALITY_BENEVOLENT_GENTLEMAN;慈善绅士 ;;;;;;;;;;X
NPERSONALITY_WEARY_STIFF_NECK;令人生厌的造作者 ;;;;;;;;;;X
NPERSONALITY_INSIGNIFICANT_LAYMAN;无关紧要的外行 ;;;;;;;;;;X
NPERSONALITY_DIE_HARD_REFORMER;顽固的改革家 ;;;;;;;;;;X
NPERSONALITY_PIG_HEADED_ISOLATIONIST;愚蠢的孤立主义者 ;;;;;;;;;;X
NPERSONALITY_POPULAR_FIGUREHEAD;受欢迎但有名无实的领袖 ;;;;;;;;;;X
NPERSONALITY_SILENT_WORKHORSE;沈默的实干家 ;;;;;;;;;;X
NPERSONALITY_NAIVE_OPTIMIST;天真的乐观主义者 ;;;;;;;;;;X
NPERSONALITY_FLAMBOYANT_TOUGH_GUY;精力过人的硬汉 ;;;;;;;;;;X
NPERSONALITY_HAPPY_AMATEUR;快乐的业余政治家 ;;;;;;;;;;X
NPERSONALITY_BACKROOM_BACKSTABBER;密谋的暗害者 ;;;;;;;;;;X
NPERSONALITY_SMILING_OILMAN;微笑的石油商 ;;;;;;;;;;X
NPERSONALITY_OLD_GENERAL;老陆军将军 ;;;;;;;;;;X
NPERSONALITY_OLD_ADMIRAL;老海军上将 ;;;;;;;;;;X
NPERSONALITY_OLD_AIR_MARSHAL;老空军元帅 ;;;;;;;;;;X
NPERSONALITY_POLITICAL_PROTEGE;政治上的受保护人 ;;;;;;;;;;X
NPERSONALITY_AMBITIOUS_UNION_BOSS;野心勃勃的联盟领导人 ;;;;;;;;;;X
NPERSONALITY_CORPORATE_SUIT;法人代表 ;;;;;;;;;;X
NPERSONALITY_OIL_BARON;石油大亨 ;;;;;;;;;;X
NPERSONALITY_STEEL_MAGNATE;钢铁大王 ;;;;;;;;;;X
NPERSONALITY_INDUSTRIAL_CHEMIST;工业化学家 ;;;;;;;;;;X
NPERSONALITY_MEDIA_MAGNATE;传媒巨子 ;;;;;;;;;;X
NPERSONALITY_GENERIC;无特征的人 ;;;;;;;;;;X
DPERSONALITY_GENERIC;“无特征人”是形容这类部长最好的词语。他们在各方面表现平平，不过是占着这个位置不让它看上去空缺而已。 ;;;;;;;;;;X
NPERSONALITY_NONE;无 ;;;;;;;;;;X
DPERSONALITY_NONE;无特点 ;;;;;;;;;;X
NPERSONALITY_LOCAL_TYRANT;土皇帝 ;;;;;;;;;;X
DPERSONALITY_LOCAL_TYRANT;土皇帝用铁腕对他的国家进行恐怖统治。由于他的国家实力有限，他很少支持扩张—事实上他经常把自己的权力归功于外国独裁者—但是他无法避免将整个国家的权力集中于自己的双手。 ;;;;;;;;;;X
DPERSONALITY_BIASED_INTELLECTUAL;他是个优雅的学院派知识份子，而他的学术工作造成了他对其他国家与人民的偏见。他对于那些他不喜欢的国家通常是傲慢自大的，但对于他所喜爱的国家则是吹捧而又逢迎的。 ;;;;;;;;;;X
DPERSONALITY_IDEOLOGICAL_CRUSADER;意识形态的十字军战士将自己视为是本身政治体系的奉献者，不过对于别人来说他只是个极端主义者。如果他是法西斯主义者，他会评断所有的非法西斯政体是懦弱且颓废的，如果他是个民主主义者，他宁可输掉战争而非顺从其他非民主政体的任何要求，如果他是个共产主义者，他会把民主主义者视为邪恶的资本主义者，把法西斯主义者视为邪恶的虚伪资本主义者。只要他已然找到本身的救赎之后，谈及意识型态就无法和他争辩。 ;;;;;;;;;;X
DPERSONALITY_APOLOGETIC_CLERK;道歉的职员通常是个聪明的人，不过总缺乏自信，并对自己国家的政治体系总是存有疑问。一个认错的事务员也有可能是一个真正相信本身政治体系正确的人，不过不幸地他同时也相信另外一方终将赢得战争。 ;;;;;;;;;;X
DPERSONALITY_IRON_FISTED_BRUTE;他是个因为军方或政党从而提升自己的地位的简单的人。他把世界视为一个二分的世界：吃人的人还有被吃的人。他通常是残忍的，偶尔是个反社会者。他总是在制订政策时缺乏怜悯。 ;;;;;;;;;;X
DPERSONALITY_GREAT_COMPROMISER;伟大的妥协者是个最被大家喜爱的，随遇而安的性格温和者。通常他是个智者般的老人，且由于多年的经验而是位专业的外交家。他可以打造出长存的友谊，并且将许多人的意志融合为一，朝向共同的目标前进。 ;;;;;;;;;;X
DPERSONALITY_GENERAL_STAFFER;他可能是一个前军方人员或是战争学院的老师，他选择重新投入了外交事务的范围，一个一直是他的兴趣的领域。他总是喜欢遵从着他的旧式的军队政治观，并且将焦点集中于透过军队权力来行使外交。然而，也因此别人总认为他是一个头脑简单的人，欠缺想像力并且极度的无聊。 ;;;;;;;;;;X
DPERSONALITY_THE_CLOAK_N_DAGGER_SCHEMER;阴谋家是个极端秘密的人。他喜欢采用非常规的手段，经常利用对手的弱点来消灭他们。阴谋家通常都有秘密部门的背景，这种经历让他变得狡猾而慎言。基本上阴谋家不算是很好的外交官，不过他的不择手段通常也会给他带来预期的成果。 ;;;;;;;;;;X
DPERSONALITY_ADMINISTRATIVE_GENIUS;他是个热心的劳动者，将他的全体员工以及现代科技投入到增加战争的动力。通常他是个年轻的工程师或是科学家，一个自由思考者，而且具有革新精神。他通常想“客观地”且“不偏不倚地”让生活越来越好。 ;;;;;;;;;;X
DPERSONALITY_RESOURCE_INDUSTRIALIST;资源产业工业家通常都是来自重工业领域，他被任命管理国家的工业。他希望国家可以象煤矿一样运作，不断提高和增强它的基础。通常他是很好的组织者，但是有时候会忽略军事工业的一些关键部分。 ;;;;;;;;;;X
DPERSONALITY_LAISSEZ_FAIRES_CAPITALIST;他是个市场经济的专家。他最坚定的信念是政府不应对市场做任何干涉，市场调节那只看不见的手将会对国家的战争或非战争资源作最好的调整。 ;;;;;;;;;;X
DPERSONALITY_THEORETICAL_SCIENTIST;理论科学家是出自国家顶尖大学的聪明的老教授。他当然是理论和实际科学的专家。然而他似乎并不优先关注军事科技，他更致力于民用科学的研究。这是他更支持电子和通信的中间区域的研究，但有时他很古怪，秘密武器也是他关注的领域。 ;;;;;;;;;;X
DPERSONALITY_MILITARY_ENTREPRENEUR;他从前是个军人，很可能是参加过一战的老战士。他试图把武备和补给都交给前线的部队。这种倾向会导致忽视科技某些方面的最新发展。 ;;;;;;;;;;X
DPERSONALITY_BATTLE_FLEET_PROPONENT;他不仅是一个有才干的管理者和政治家，而且也喜欢在整体战略中出谋划策。他相信国家最需要的还是战舰。 ;;;;;;;;;;X
DPERSONALITY_SUBMARINE_PROPONENT;他不仅是一个有才干的管理者和政治家，而且也喜欢在整体战略中出谋划策。他相信潜艇是海战的决定性武器。 ;;;;;;;;;;X
DPERSONALITY_TANK_PROPONENT;他不仅是一个有才干的管理者和政治家，而且也喜欢在整体战略中出谋划策。他相信坦克现在是最重要的战争武器。 ;;;;;;;;;;X
DPERSONALITY_INFANTRY_PROPONENT;他不仅是一个有才干的管理者和政治家，而且也喜欢在整体战略中出谋划策。他相信步兵现在仍然是最重要的作战力量。 ;;;;;;;;;;X
DPERSONALITY_AIR_TO_GROUND_PROPONENT;他不仅是一个有才干的管理者和政治家，而且也喜欢在整体战略中出谋划策。他相信空军现在是击败敌人陆军的最好力量。 ;;;;;;;;;;X
DPERSONALITY_AIR_TO_SEA_PROPONENT;他不仅是一个有才干的管理者和政治家，而且也喜欢在整体战略中出谋划策。他相信空军现在是战胜海军的最好力量。 ;;;;;;;;;;X
DPERSONALITY_STRATEGIC_AIR_PROPONENT;他不仅是一个有才干的管理者和政治家，而且也喜欢在整体战略中出谋划策。他相信轰炸敌人的工业设施是未来战争的获胜之道 ;;;;;;;;;;X
DPERSONALITY_SILENT_LAWYER;他的领导特点是对部门没有多少幻想和创新，不过他很公正。 ;;;;;;;;;;X
DPERSONALITY_COMPASSIONATE_GENTLEMAN;他是一位想要讨好所有人的老好人。人民通常很喜欢他，不过他为人所熟知的是对于犯罪以及恐怖主义的温和态度。 ;;;;;;;;;;X
DPERSONALITY_CRIME_FIGHTER;犯罪斗士立足于与犯罪行为的对抗。民众喜欢他的坚强手腕并觉得自己很安全。 ;;;;;;;;;;X
DPERSONALITY_PRINCE_OF_TERROR;他的原则就是：害怕比敬爱更好。然而，过多的暴力措施会增加反抗度，他无法看到这一点。 ;;;;;;;;;;X
DPERSONALITY_BACK_STABBER;他用他的职位来根除精英份子中的不满度以及不忠诚的因素，不过由于他的不可靠使得他无法处理所占领地区的问题。 ;;;;;;;;;;X
DPERSONALITY_MAN_OF_THE_PEOPLE;他了解如何与社会的高低层人物同时进行对话。对他而言，降低穷人的负担是神圣的使命。然而当他在尝试着帮助占领区的人民时，他总是身处於一个尴尬的位置，并且总是被军队缚手缚脚。 ;;;;;;;;;;X
DPERSONALITY_EFFICIENT_SOCIOPATH;有效率的反社会者欠缺怜悯心，而且无所不用其极的朝着他的目标前进。然而，他总是躲在暗影中活动，尝试着向人民以及其它部长来掩盖他以及属下的滥用暴力程度。 ;;;;;;;;;;X
DPERSONALITY_TECHNICAL_SPECIALIST;技术专家关注研究外国装备和部队的现代化，并得出如何击败他们的结论。 ;;;;;;;;;;X
DPERSONALITY_LOGISTICS_SPECIALIST;后勤专家利用旧式的总参谋部技术分析后勤的运作，从而得出新的威胁点。 ;;;;;;;;;;X
DPERSONALITY_POLITICAL_SPECIALIST;政治专家运用“技术使馆人员”来于敌人的反谍报人员进行秘密的战争。 ;;;;;;;;;;X
DPERSONALITY_DISMAL_ENIGMA;他是一个神秘的人，如果他不能持续的创造“情报奇迹”，他可能早就丢掉工作了。 ;;;;;;;;;;X
DPERSONALITY_INDUSTRIAL_SPECIALIST;工业专家关注敌人公开的工业和经济资源，从而分析得到他们现在正在制造的东西。 ;;;;;;;;;;X
DPERSONALITY_NAVAL_INTELLIGENCE_SPECIALIST;海军技术专家利用旧式的海军参谋技术分析敌方舰船，从而得到新的威胁点。 ;;;;;;;;;;X
DPERSONALITY_SCHOOL_OF_MANOEUVRE;这位参谋长属于机动作战学派，他提倡协调的调动和绝对的速度是现代战争的根本。 ;;;;;;;;;;X
DPERSONALITY_SCHOOL_OF_FIRE_SUPPORT;这位参谋长属于火力支援学派，他提倡火力支援是现代战争胜利的关键。 ;;;;;;;;;;X
DPERSONALITY_SCHOOL_OF_MASS_COMBAT;这位参谋长相信人民战争理论，他提倡大规模作战和广泛的游击战是现代战争胜利的关键。 ;;;;;;;;;;X
DPERSONALITY_SCHOOL_OF_PSYCHOLOGY;这位参谋长属于心理学派，他认为士气和小部队的领导是现代战争胜利的关键。 ;;;;;;;;;;X
DPERSONALITY_SCHOOL_OF_DEFENCE;这位参谋长属于防御学派，他宣扬民兵部队和战略纵深是现代战争胜利的关键。 ;;;;;;;;;;X
DPERSONALITY_ELASTIC_DEFENCE_DOCTRINE;他指挥陆军的立足点就是弹性防御理论。这意味着他认为一个由重武装化步兵所组成的纤细防御线以及由补充兵员以及突击团队组成的第二线对于消耗敌方以及赢得战争是绝对必要的。 ;;;;;;;;;;X
DPERSONALITY_STATIC_DEFENCE_DOCTRINE;他希望按照静态防御理论优化国家的陆军。这意味着建立多重由步兵要塞和炮兵阵地组成的防线，靠它来拖跨敌人的意志，从而赢得战争。 ;;;;;;;;;;X
DPERSONALITY_DECISIVE_BATTLE_DOCTRINE;他指挥陆军的立足点就是战略决战理论。这意味着集中大规模的优势力量压跨敌人对于战争的胜利是至关重要的。 ;;;;;;;;;;X
DPERSONALITY_ARMOURED_SPEARHEAD_DOCTRINE;他指挥陆军的立足点就是装甲先锋理论。这意味着利用坦克部队快速进攻，随行步兵快速跟进，这对于战争的胜利至关重要。 ;;;;;;;;;;X
DPERSONALITY_GUNS_AND_BUTTER_DOCTRINE;他指挥陆军的立足点就是军事后勤并重。这意味着他认为创造出让指挥官充分发挥的各种客观条件是拖跨敌人和赢得战争的关键。 ;;;;;;;;;;X
DPERSONALITY_OPEN_SEAS_DOCTRINE;他指挥海军的立足点就是开放海洋理论。这意味着控制海上航路是战争胜利的关键。 ;;;;;;;;;;X
DPERSONALITY_DECISIVE_BATTLE_DOCTRINE2;他指挥海军的立足点就是战略决战理论。这意味着集中大规模的海军舰队和在外海摧毁敌军力量对于战争的胜利是至关重要的。 ;;;;;;;;;;X
DPERSONALITY_POWER_PROJECTION_DOCTRINE;他指挥海军的立足点就是战力投放战理论，这意味着在某一地区集中所有的飞机，鱼雷和炮火来确保赢得战争的胜利。 ;;;;;;;;;;X
DPERSONALITY_INDIRECT_APPROACH_DOCTRINE;他指挥海军的立足点就是迂回接近理论。这意味着避免进行决战，通过摧毁敌方的运输船和军备来获得胜利。 ;;;;;;;;;;X
