Quote;Author;FR;FR;ITA;ITA;SPA;SPA;GER;GER;POL;POL;POR;POR;RUS;RUS
“战争在你认输之前就还有希望” ;埃里克·冯·曼施坦因 ;;;;;;;;;;;;;;X
“我们在第一场战争之后应该学到更多的” ;冯·龙德施泰特 ;;;;;;;;;;;;;;X
“战火从未熄灭，它只是变微弱，忽明忽暗、然后它又死灰复燃” ;斯蒂芬·劳恩 ;;;;;;;;;;;;;;X
“历史不会委托柔弱胆小的人来维持自由很久” ;怀特D·艾森豪威尔 ;;;;;;;;;;;;;;X
“如果士兵开始思考，军队就做鸟兽散了。” ;弗里德里希大帝 ;;;;;;;;;;;;;;X
“战争中，士气对于装备的重要性就像3对于1一样” ;拿破仑·波拿巴 ;;;;;;;;;;;;;;X
“富人挑起战争，穷人为之送命” ;让·保罗·萨特 ;;;;;;;;;;;;;;X
“多流汗，少流血。多流血，少送命。多动脑，少流血也少送命。” ;埃德温·隆美尔 ;;;;;;;;;;;;;;X
“战争并不决定谁胜谁负，它仅仅决定谁活着” ;佐尔坦·巴索利 ;;;;;;;;;;;;;;X
“当战争本事是一种犯罪的时候，它又犯了什么罪？” ;卡尔文·奥斯汀 ;;;;;;;;;;;;;;X
“让我们口衔匕首，手持炸弹，内心充满无尽的蔑视” ;贝尼托·墨索里尼 ;;;;;;;;;;;;;;X
“真相是人类厌倦了自由” ;贝尼托·墨索里尼 ;;;;;;;;;;;;;;X
“鲜血独自推动着历史的车轮” ;贝尼托·墨索里尼 ;;;;;;;;;;;;;;X
“在悲伤之后，让我们坚毅、纯净、充满信心。世界上最光辉的荣耀，属于永不放弃的人” ;查尔斯·戴高乐 ;;;;;;;;;;;;;;X
“剑是世界的轴心，伟大不能被一分为二” ;查尔斯·戴高乐 ;;;;;;;;;;;;;;X
“领导人在厄运到来之前总是孤独的” ;查尔斯·戴高乐 ;;;;;;;;;;;;;;X
“不管你喜欢与否，历史总是站在我们这边，我们会杀了你（民族主义者）。” ;尼基塔·赫鲁晓夫 ;;;;;;;;;;;;;;X
“我担心的是，我们所做的一切只是唤醒一个熟睡的巨人，并且给他可怕的决心” ;山本五十六 1941年12月7日 ;;;;;;;;;;;;;;X
“如果坦克成功了，胜利就到来了。” ;海因策·古德里安 ;;;;;;;;;;;;;;X
“政治是不流血的战争，战争是留学的政治” ;毛泽东 ;;;;;;;;;;;;;;X
“杀人越多越革命” ;毛泽东 ;;;;;;;;;;;;;;X
“没有人民军队，人民一无所有” ;毛泽东 ;;;;;;;;;;;;;;X
“战争需要武器，但最终的胜利还是要靠人” ;乔治·S·巴顿 ;;;;;;;;;;;;;;X
“不要告诉人们怎么做，告诉他们去做什么，他们会用自己的才智令你惊讶” ;乔治·S·巴顿 ;;;;;;;;;;;;;;X
“不要去打一场没有战果的战争” ;乔治·S·巴顿 ;;;;;;;;;;;;;;X
“怀着坚毅的心和必胜的热情，让我们走向胜利” ;伯纳德·劳·蒙哥马利 1944年6月5日 ;;;;;;;;;;;;;;X
“不能捍卫战果的革命是无意义的” ;弗拉基米尔·列宁 ;;;;;;;;;;;;;;X
“和平主义，大概的说就是对和平的说教，是一种欺骗工人阶级的手段” ;弗拉基米尔·列宁 ;;;;;;;;;;;;;;X
“压迫是权力的本质” ;恩斯特·卡尔滕布伦纳 ;;;;;;;;;;;;;;X
“从历史我们可以知道我们从历史当中什么都没有学到” ;乔治·萧伯纳 ;;;;;;;;;;;;;;X
“那些没有从历史中学到东西的肯定要重蹈历史的覆辙” ;乔治·桑塔亚娜 ;;;;;;;;;;;;;;X
“历史会自己重复，第一次像悲剧，第二次像闹剧” ;卡尔·马克思 ;;;;;;;;;;;;;;X
“历史会温柔的对我，因为我将书写历史” ;温斯顿·丘吉尔 ;;;;;;;;;;;;;;X
“英雄并不比凡夫勇敢多少，他只是比他们勇敢的更久一点。” ;拉尔夫·瓦尔德·埃莫生 ;;;;;;;;;;;;;;X
“我们最伟大的胜利不是从不失败，而是每次失败后我们都能站起来” ;拉尔夫·瓦尔德·埃莫生 ;;;;;;;;;;;;;;X
“所有的战争都是内战，因为所有的人都是兄弟” ;弗朗索瓦·范尼隆 ;;;;;;;;;;;;;;X
“千万不要有这样的念头，战争如果是必要的，有正当理由，就不是犯罪” ;欧内斯特·海明威 ;;;;;;;;;;;;;;X
“没有体面的杀戮，没有温柔的摧毁。战争，除了结束，没有一样事情是好的。” ;亚伯拉罕·林肯 ;;;;;;;;;;;;;;X
“我们战争的目的不是让你为国捐躯，而是让另一个混蛋为此而亡” ;乔治·S·巴顿 ;;;;;;;;;;;;;;X
“当你爬到了绳索的尽头，打个结然后上吊去” ;富兰克林·D·罗斯福 ;;;;;;;;;;;;;;X
“战争并不区分对错，只区分死活” ;伯特兰·罗素 ;;;;;;;;;;;;;;X
“死一个人是悲剧，死一百万个人就只是统计数字了。” ;约瑟夫·斯大林 1945年在波兹坦对丘吉尔的评论 ;;;;;;;;;;;;;;X
“死亡解决了所有问题。没有人，就没有问题” ;约瑟夫·斯大林 ;;;;;;;;;;;;;;X
“在苏联军队里面，撤退比进攻需要更大的勇气” ;约瑟夫·斯大林 ;;;;;;;;;;;;;;X
“如果对手投降，那太好了。如果他们不想，我们帮他们。” ;约瑟夫·斯大林 ;;;;;;;;;;;;;;X
“我们是幸运的少数，我们是相系相依的兄弟，谁今日与我共同浴血，他就是我的兄弟” ;威廉·莎士比亚 ;;;;;;;;;;;;;;X
“我们的世界是一个核武巨人和道德婴儿。比起和平我们更了解战争，比起生活，我们更了解杀戮。” ;欧马·布雷德利 ;;;;;;;;;;;;;;X
“杀戮和策略能够赢得战争。将军越伟大，他对策略贡献的越多，他需要的杀戮就越少。” ;温斯顿·丘吉尔 ;;;;;;;;;;;;;;X
“我们将守卫英伦三岛，不管付出什么代价。我们会在滩头血战、我们会在着陆场血战、我们会在田野和街道上血战、我们会在山岗上血战。我们永不投降！” ;温斯顿·丘吉尔 ;;;;;;;;;;;;;;X
“我不知道战争是和平的间奏，还是和平是战争的间奏。” ;乔治·克莱蒙梭 ;;;;;;;;;;;;;;X
“政客都是一个德行，他们许诺建一座桥但根本就没有河。” ;尼基塔·赫鲁晓夫 ;;;;;;;;;;;;;;X
“接受命运的人会幸福，反抗他们命运的人会取得荣耀。” ;tutu公主 ;;;;;;;;;;;;;;X
“我们的国家进入战时经济是通用的政治误导模式的一部分。这种情况是人为引起的战争癔病所产生，并由于对于恐惧的持续宣传而进一步加强。” ;道格拉斯·麦克阿瑟 ;;;;;;;;;;;;;;X
“现在的一代人是被进化论教育，叫嚣着权力来自于政府的一代” ;肯特 ;;;;;;;;;;;;;;X
“穿过被摧毁的德国城市会令人对文明的延续性产生怀疑” ;乔治·奥威尔 ;;;;;;;;;;;;;;X
“如果你想知道未来的蓝图，想象一下靴子踩在人脸上的样子，永远。” ;乔治·奥威尔 ;;;;;;;;;;;;;;X
“战争就是和平，自由就是奴役，无知就是力量” ;乔治·奥威尔 ;;;;;;;;;;;;;;X
“战争是战争，唯一的好人是死去的那个” ;乔治·奥威尔 ;;;;;;;;;;;;;;X
“我们不是敌人，而是朋友。我们决不能成为敌人。虽然激情可能褪去，但是这不会割断，我们感情上的联系。那神秘的记忆和弦在再次触动时，定会由我们天性中更好的天使所伴随喷涌而出。" ;亚伯拉罕·林肯 ;;;;;;;;;;;;;;X
“一个自己分裂的房子没法站牢” ;亚伯拉罕·林肯 ;;;;;;;;;;;;;;X
“如果它能动，向它敬礼，如果它不能动，就捡起来。如果你没法捡起来，就在它上面画画。” ;匿名 1940年代的谚语 ;;;;;;;;;;;;;;X
“右翼压力很大，我的中路正在退守，不可能机动。情况良好，我正在进攻” ;费迪南德·福熙元帅马恩河战役 ;;;;;;;;;;;;;;X
“这不是和平，这是20年的休战期” ;费迪南德·福熙元帅 ;;;;;;;;;;;;;;X
“在波兰，我们不知道和平需要多少代价，对于人生，民族，国家来说有一样东西是无价的，这就是荣誉。” ;波兰外长约瑟夫·贝克 1939年5月5日 ;;;;;;;;;;;;;;X
“战败却不屈服，是胜利。战胜却是依靠别人的功劳，是失败。” ;约瑟夫·毕苏斯基 ;;;;;;;;;;;;;;X
“做一天的雄狮胜过做 100年的绵羊” ;贝尼托·墨索里尼 ;;;;;;;;;;;;;;X
“一个粗暴但是能现在执行的计划要比一个策划完美但是下周才能执行的强” ;乔治·S·巴顿 ;;;;;;;;;;;;;;X
“为死去的人悲伤是愚蠢和错误的，我们应该感谢上帝他曾经活过。” ;乔治·S·巴顿 ;;;;;;;;;;;;;;X
“从来没有人能成功的防守住，只有进攻，进攻，再进攻” ;乔治·S·巴顿 ;;;;;;;;;;;;;;X
“战争需要武器，但最终的胜利还是要靠人。领袖和他的精神决定了胜利” ;乔治·S·巴顿 ;;;;;;;;;;;;;;X
“我们牧羊，我们放牛，我们领导人民。带领我，跟随我，不然别挡路。” ;乔治·S·巴顿 ;;;;;;;;;;;;;;X
“别让那些混蛋奴役你” ;约瑟夫·W·史迪威尔 ;;;;;;;;;;;;;;X
“我们不能不使用炸弹去空袭” ;约瑟夫·W·史迪威尔 ;;;;;;;;;;;;;;X
“任何有能力的军官都可以指挥装甲师，但补给它却需要一个天才。” ;哈索-埃卡德·佛瑞赫·冯·曼托菲尔 ;;;;;;;;;;;;;;X
“我想这是个好主意” ;莫罕达斯·卡拉姆昌德·甘地 ;;;;;;;;;;;;;;X
“总的来说，我们的将军们都过于普通了” ;约翰·亚当斯 ;;;;;;;;;;;;;;X
“我不知道第三次世界大战人类会使用什么武器，但是第四次世界大战，人类肯定用的是木棍和石头。” ;阿尔伯特·爱因斯坦 ;;;;;;;;;;;;;;X
“士兵们赢得了胜利，将军们替他们领了勋章” ;拿破仑·波拿巴 ;;;;;;;;;;;;;;X
“元首，我们出征了！英勇的意大利军队在今天拂晓跨越了希腊-阿尔巴尼亚前线。” ;贝尼托·墨索里尼（向阿道夫·希特勒） 1940年10月28日 ;;;;;;;;;;;;;;X
“对那些参加硫磺岛战争的士兵们来说，他们表现出的非同寻常的勇气是他们共同的优点” ;海军上将彻斯特·W·尼米兹 ;;;;;;;;;;;;;;X
“攻击城市是战略正义的，因为它缩短战争的时间，保护盟军的生命。” ;空军指挥元帅“轰炸者”亚瑟·哈里斯 1945年3月29日 ;;;;;;;;;;;;;;X
“在这个美好的日子我们庆祝元首的生日，因为他，德国今天依然屹立。” ;约瑟夫·戈培尔宣传部长 1945年4月26日 ;;;;;;;;;;;;;;X
“技术的进步就像是病态的罪犯手中的斧头” ;阿尔伯特·爱因斯坦 ;;;;;;;;;;;;;;X
“遵从命令的英雄行为，冷酷的暴行，这所有令人憎恶的一切都举着爱国主义的大旗---我是多么的憎恨这些” ;阿尔伯特·爱因斯坦 ;;;;;;;;;;;;;;X
“把你的暴行一次施尽” ;尼科洛马基雅弗利 ;;;;;;;;;;;;;;X
“乐观的军官学英语，悲观的军官学俄语” ;德国笑话 ;;;;;;;;;;;;;;X
“什么是最快乐的事情，击溃你的敌人，让他们供你随意驱使，听到他们女人的哀嚎” ;野蛮人柯南 ;;;;;;;;;;;;;;X
“我不能听太多的瓦格纳，我心中涌动着征服波兰的念头。” ;伍迪·艾伦 ;;;;;;;;;;;;;;X
“枪杆子里出政权” ;毛泽东 ;;;;;;;;;;;;;;X
“我死后在地下腐烂的躯体是花朵生长所需的养份，如此我也变成了它们的一部份，也变成了永恒。” ;爱德华·孟克 ;;;;;;;;;;;;;;X
“除了鲜血、无私辛勤劳作、眼泪和甜蜜我无所奉献” ;温斯顿·丘吉尔 ;;;;;;;;;;;;;;X
“我们唯一害怕的是害怕本身” ;富兰克林·D·罗斯福 ;;;;;;;;;;;;;;X
“死人才见到过战争的终点” ;柏拉图 ;;;;;;;;;;;;;;X
“我们也许会被摧毁，如果是这样，我们会带着全世界一起下葬，一个充满战火的世界。” ;阿道夫·希特勒 ;;;;;;;;;;;;;;X
“成功不是终点，失败不是末路。坚持下去的勇气才是关键因素” ;温斯顿·丘吉尔 ;;;;;;;;;;;;;;X
“从来没有好的战争或是坏的和平” ;本杰明·富兰克林 ;;;;;;;;;;;;;;X
“想要和平的人，要做好战争的准备” ;维吉休斯 ;;;;;;;;;;;;;;X
“爱国者总是谈论为国捐躯但不为国杀戮” ;伯兰德·罗素 ;;;;;;;;;;;;;;X
“害怕被征服的人肯定会被征服” ;拿破仑·波拿巴 ;;;;;;;;;;;;;;X
“你不能说文明不是先进的，因为每一场战争中，它都会用一种新方法把你干掉。” ;威尔·罗杰 ;;;;;;;;;;;;;;X
“ 18 12年战争的唯一赢家是图哈切夫斯基” ;所罗门·肖特 ;;;;;;;;;;;;;;X
“如果你正在穿过地狱，继续” ;温斯顿·丘吉尔 ;;;;;;;;;;;;;;X
“我梦想着我的孩子能问我：“妈妈，过去说的是战争是什么东西？”” ;艾娃·玛丽安 ;;;;;;;;;;;;;;X
“征啤酒入伍吧，别征人” ;鲍勃·迪兰 ;;;;;;;;;;;;;;X
“选举比子弹更有力” ;亚伯拉罕·林肯 ;;;;;;;;;;;;;;X
“在战争中，每个和平主义者，就像被肉食围绕的素食者一样。” ;科尔曼·麦肯锡 ;;;;;;;;;;;;;;X
“响彻人类历史的是战鼓的声音” ;阿瑟·库斯勒 ;;;;;;;;;;;;;;X
“如果死人能复活，战争就结束了” ;斯坦利·巴尔德文 ;;;;;;;;;;;;;;X
“加入军队，纵览全球，遇到有意思的人们，然后杀掉他们。” ;和平徽章 ;;;;;;;;;;;;;;X
“战争会延续到未来的某一天，直到据服兵役者一样拥有今天战士们所拥有的名誉和荣誉” ;约翰·F·肯尼迪 ;;;;;;;;;;;;;;X
“我想战争是上帝教授我们地理学的一种方式” ;保罗·罗奇格 ;;;;;;;;;;;;;;X
“人类没有杀戮他们同类的权利，即使穿上军装也不能例外。他这么做仅仅是使战争更臭名昭著一点。” ;雪莱 ;;;;;;;;;;;;;;X
“每个在看到倒在战场上垂死士兵眼中怒火的人都会在发动战争前三思” ;奥托·冯·俾斯麦 ;;;;;;;;;;;;;;X
“战争有加快历史进程的作用” ;皮特·盖伊 ;;;;;;;;;;;;;;X
“战争不是冒险，它是疾病，就像斑疹伤寒” ;安东尼·圣·埃克苏佩里 ;;;;;;;;;;;;;;X
“领袖将拥有埃塞尔比亚，不管是不是有埃塞尔比亚人的” ;鲁道福·格拉齐亚尼 ;;;;;;;;;;;;;;X
“对一个敌人仁慈比拥有一千个仇家更可怕” ;鲁道福·格拉齐亚尼 ;;;;;;;;;;;;;;X
“民主在理论上很美，但是实际上谬论。你们美国人迟早会看到这点” ;贝尼托·墨索里尼 ;;;;;;;;;;;;;;X
“种族？这是一种感觉，不是一种事实。没有什么能令我信服时至今日还有生物学上的纯种的人种存在。” ;贝尼托·墨索里尼 ;;;;;;;;;;;;;;X
“永远永远永远不要相信任何战争会是流畅而简单的，不然任何人能在一次陌生的航行中，掌握所有他会遇到的潮汐和风暴” ;温斯顿·丘吉尔 ;;;;;;;;;;;;;;X
“坦克引擎的威力堪比它的主炮” ;海因策·古德里安 ;;;;;;;;;;;;;;X
“我们严重低估了苏联人，他们的广袤国土和严峻的气候。这是现实的复仇。” ;海因策·古德里安 ;;;;;;;;;;;;;;X
“这是我们历史上第二次带着和平从德国回到唐宁街。我相信我们的时代是和平的” ;内维尔·张伯伦  1938 ;;;;;;;;;;;;;;X
“战争自给自足” ;马库斯·普塞瑟斯·卡多 ;;;;;;;;;;;;;;X
“战争是一种驱使我们的对手满足我们愿望的暴力行为” ;卡尔·冯·克劳塞维茨 ;;;;;;;;;;;;;;X
“战争是政治的另一种延续” ;卡尔·冯·克劳塞维茨 ;;;;;;;;;;;;;;X
“我的后勤部净是一群没有幽默感的人。他们知道，一旦我吃了败仗，我會先杀他们” ;亚历山大大帝 ;;;;;;;;;;;;;;X
